,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BFIT        ,  18.45 ,  18.44 ,  17.33 ,  11.29 ,  10.10 ,  64.15 ,  52.00 ,  154.63 ,  56.66 ,,  62.43 ,  68.19 ,  72.79 ,  71.10 
BGT         ,,,,,,  50.50 ,  18.97 ,  34.42 ,  15.47 ,  12.16 ,  20.36 ,  21.49 ,,
BH          ,,,  52.65 ,  51.84 ,  49.82 ,  36.29 ,  48.92 ,  49.70 ,  52.09 ,  50.45 ,  49.17 ,  54.91 ,  52.04 ,  49.84 
BIGC        ,  27.97 ,  47.62 ,  57.03 ,  66.40 ,  58.87 ,  49.96 ,  45.81 ,  54.76 ,  54.41 ,  29.97 ,  30.02 ,  30.16 ,  29.88 ,  31.34 
BJC         ,  51.45 ,  50.89 ,  53.51 ,  58.14 ,  54.92 ,  45.57 ,  22.13 ,  26.42 ,  29.17 ,  32.82 ,  34.20 ,  55.07 ,  56.88 ,  47.91 
BKI         ,  77.66 ,  57.06 ,  76.59 ,  78.67 ,  97.12 ,  85.96 ,  69.03 ,  64.77 ,  68.40 ,"  1,754.14 ",  112.42 ,  73.07 ,  55.41 ,  55.68 
BLA         ,,,,,,,,  15.18 ,  25.75 ,  25.28 ,  26.42 ,  35.24 ,  32.53 ,  26.55 
BLAND       ,,,,,,,,,,,  57.29 ,  23.11 ,  78.79 ,  85.85 
BLISS       ,,,  70.90 ,  80.15 ,,,,,,,,,,
BOL         ,,,  60.31 ,  69.61 ,  69.08 ,  74.68 ,  100.32 ,  97.37 ,  95.73 ,  81.44 ,  82.98 ,  78.72 ,  49.76 ,  77.86 
BRC         ,,,,,,,,,,,,,,
BROCK       ,,,,,,  49.07 ,  53.55 ,  82.08 ,  73.00 ,  77.85 ,  9.78 ,,,  248.16 
BROOK       ,,,,,  11.58 ,  53.78 ,,,  43.45 ,,  18.35 ,  140.75 ,  139.46 ,  41.23 
BSBM        ,,,,,  87.54 ,  126.48 ,  165.00 ,  80.41 ,  88.58 ,  89.81 ,,  88.21 ,  354.08 ,
BSM         ,,,,,,,,  40.17 ,,,,  241.18 ,  15.01 ,  32.53 
BTC         ,,  12.87 ,,,,,,,,,,,,
BTNC        ,,  88.76 ,  86.21 ,  59.42 ,,  16.73 ,  41.57 ,  60.78 ,  49.82 ,  43.85 ,  258.62 ,,  (116.28),
BTS         ,,,,,,,,,,  707.40 ,  65.53 ,  295.58 ,  28.27 ,  259.11 
BUI         ,  21.39 ,  47.11 ,  26.98 ,  18.54 ,  60.53 ,  61.02 ,  61.38 ,  59.91 ,  57.06 ,,,  77.80 ,  19.83 ,  67.62 
BWG         ,,,,,,  50.91 ,  47.79 ,,  15.60 ,  36.67 ,  37.67 ,  192.61 ,  47.29 ,  44.76 
CCET        ,  56.73 ,  61.33 ,  55.37 ,  61.77 ,  64.17 ,  54.04 ,  36.85 ,  33.31 ,  36.30 ,  127.19 ,  54.41 ,  77.00 ,  35.65 ,  38.31 
CCP         ,,  41.15 ,  26.07 ,,,,,,,,,  48.75 ,  3.80 ,  112.30 
CEN         ,,,,,,,,  21.19 ,,,  124.63 ,"  (1,463.21)",  25.62 ,
CENTEL      ,  60.62 ,  48.35 ,  41.58 ,  41.98 ,  42.07 ,  44.21 ,  41.69 ,  127.14 ,  (132.08),  36.79 ,  25.62 ,  40.85 ,  45.44 ,  40.28 
CFRESH      ,  74.28 ,,,  100.26 ,  102.68 ,  474.60 ,  215.39 ,  97.00 ,  49.70 ,  91.44 ,  60.09 ,,,  55.60 
CGD         ,,,,,,,,,,,,,,
CHARAN      ,  89.09 ,  96.32 ,  89.24 ,  72.72 ,  63.02 ,  69.99 ,  73.56 ,  102.31 ,  73.98 ,,  59.67 ,  985.23 ,  138.98 ,  66.75 
CHOTI       ,,,  59.34 ,  60.82 ,  59.95 ,  58.64 ,  59.91 ,  63.70 ,  90.08 ,  90.01 ,  70.32 ,  104.68 ,,  95.45 
CHOW        ,,,,,,,,,,  43.03 ,,  76.07 ,,
CHUO        ,  29.52 ,  33.39 ,  35.30 ,  49.15 ,  52.58 ,  49.63 ,  57.97 ,  157.42 ,  51.04 ,  (31.38),  (15.48),  128.82 ,  137.21 ,
CI          ,  35.10 ,  34.28 ,,  40.33 ,  22.38 ,  86.12 ,  5.19 ,  8.88 ,  (27.04),  (36.56),  14.83 ,  26.16 ,  (269.52),  12.03 
CIG         ,,,,  68.64 ,  119.73 ,,  (74.44),,,,,,,
CIMBT       ,  5.48 ,,,,,,,,,,  6.67 ,  15.09 ,  17.06 ,  17.65 
CITY        ,,,,,  37.81 ,  35.92 ,  41.48 ,  41.03 ,  37.20 ,  37.32 ,  34.60 ,  38.32 ,  32.31 ,  26.07 
CK          ,,,  52.35 ,  56.92 ,,"  1,989.42 ",  26.55 ,  161.15 ,  (49.32),  62.37 ,  101.76 ,  8.89 ,  40.57 ,  50.21 
CM          ,  69.18 ,  63.39 ,  57.43 ,  89.10 ,  74.48 ,  104.03 ,  73.05 ,  90.25 ,  84.33 ,  95.63 ,  61.07 ,  87.00 ,  63.08 ,  63.76 
CMO         ,,,  54.60 ,  79.86 ,  80.86 ,"  2,840.91 ",,,  79.95 ,,  27.03 ,  57.35 ,,
CMR         ,  57.60 ,  47.92 ,  55.59 ,  52.19 ,  79.52 ,  167.21 ,  (478.26),  30.14 ,  80.97 ,  56.47 ,  48.25 ,  32.88 ,  37.43 ,  33.42 
CNS         ,  99.59 ,  99.46 ,  98.21 ,  96.77 ,  80.70 ,  84.01 ,  87.33 ,  99.25 ,  99.29 ,  657.66 ,  61.01 ,  92.78 ,  91.03 ,  93.06 
CNT         ,,,  3.44 ,  29.46 ,  30.60 ,  34.23 ,  824.38 ,  52.44 ,  68.33 ,  91.17 ,  55.98 ,  34.02 ,  (14.19),
COLOR       ,,,,,,,,,,  73.14 ,,,,
CPALL       ,,  57.49 ,  58.53 ,  88.24 ,  83.63 ,  107.40 ,  81.66 ,  72.00 ,  94.40 ,  70.14 ,  73.34 ,  76.73 ,  70.78 ,  59.09 
CPF         ,  57.98 ,  45.92 ,  50.95 ,  52.54 ,  56.92 ,  50.13 ,  44.02 ,  50.50 ,  54.57 ,  56.04 ,  45.33 ,  54.80 ,  54.98 ,  52.51 
CPH         ,,,  32.02 ,  27.82 ,,,,,,,,,,
CPI         ,  62.42 ,  60.61 ,  58.76 ,  (1.62),  86.80 ,  91.66 ,  50.91 ,  48.43 ,,  40.80 ,  53.14 ,  185.73 ,  67.39 ,  (103.86)
CPL         ,  54.64 ,  60.67 ,  31.57 ,,  57.97 ,  (85.89),  51.49 ,  75.15 ,  69.98 ,  64.53 ,  108.19 ,  80.12 ,  74.19 ,  112.61 
CPN         ,  42.21 ,  36.77 ,  37.10 ,  26.45 ,  40.08 ,  40.32 ,  32.89 ,  25.52 ,  48.18 ,  39.17 ,  33.45 ,  39.23 ,  39.92 ,  39.87 
CPR         ,,,,  55.74 ,  36.96 ,  186.21 ,  40.42 ,  40.84 ,  34.28 ,  33.54 ,  28.58 ,  35.11 ,  34.28 ,  36.94 
CRANE       ,,,,,,,,,,,,,  3.64 ,
CSC         ,,,,,,  24.49 ,  24.68 ,  27.35 ,  24.60 ,  24.68 ,  26.92 ,  26.95 ,  27.74 ,  28.13 
CSL         ,,,  76.16 ,  95.77 ,  41.16 ,  92.11 ,  161.03 ,  83.65 ,  73.96 ,  95.76 ,  91.45 ,  90.01 ,  (226.01),  83.02 
CSP         ,,,,  108.36 ,  104.19 ,  118.93 ,  225.12 ,,  74.43 ,  65.63 ,  74.00 ,  83.71 ,  56.52 ,
CSR         ,  96.90 ,  101.69 ,  87.37 ,  75.15 ,  69.76 ,  64.25 ,  64.90 ,  62.93 ,  61.97 ,  68.88 ,  63.91 ,  60.99 ,  60.07 ,  60.16 
CTW         ,  47.94 ,  62.60 ,  79.32 ,  72.84 ,  53.25 ,  104.99 ,,,  36.46 ,  117.90 ,  44.88 ,  94.15 ,  123.34 ,  (80.93)
CWT         ,,,  40.09 ,,,,,,,  59.32 ,  4.25 ,,,  44.37 
DCC         ,  53.26 ,  52.82 ,  71.29 ,  70.84 ,  69.81 ,  70.61 ,  76.77 ,  85.35 ,  100.00 ,  100.10 ,  100.11 ,"  1,528.74 ",  826.51 ,  95.61 
DCON        ,,,  42.82 ,  55.81 ,  61.89 ,  49.33 ,  59.72 ,  519.18 ,  50.40 ,  59.58 ,  59.70 ,"  1,363.26 ",  130.45 ,  48.57 
DELTA       ,  100.11 ,  50.12 ,  77.39 ,  65.06 ,  82.66 ,  63.25 ,  47.36 ,  85.46 ,  51.07 ,  52.26 ,  68.86 ,  62.19 ,  62.77 ,  57.60 
DEMCO       ,,,,,,,,,,  46.93 ,  50.78 ,  29.08 ,  49.76 ,  (17.91)
