,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
LANNA       ,,  60.29 ,  184.74 ,  35.89 ,  42.40 ,  61.03 ,  59.43 ,  53.47 ,  54.47 ,  60.38 ,  38.22 ,  68.80 ,  91.47 ,  127.18 
LEE         ,  80.86 ,  67.95 ,  69.05 ,  65.20 ,  63.36 ,  60.52 ,  66.71 ,  89.95 ,  59.78 ,  53.00 ,  59.74 ,  86.75 ,  88.35 ,  76.02 
LH          ,  28.44 ,  50.08 ,  79.75 ,  79.93 ,  83.36 ,  101.64 ,  78.58 ,  87.22 ,  85.84 ,  71.50 ,  80.05 ,  61.90 ,  84.86 ,  88.99 
LHBANK      ,,,,,,,,,,  8.57 ,  15.13 ,  49.57 ,  4.20 ,  27.25 
LHK         ,,,,,,,  27.88 ,,  47.40 ,  50.61 ,  79.40 ,  82.83 ,  54.11 ,  66.83 
LOXLEY      ,,  42.04 ,  49.41 ,,  16.12 ,,,,  (72.02),  50.32 ,  38.02 ,  33.80 ,  64.25 ,  53.95 
LPN         ,  57.30 ,  50.94 ,  58.23 ,  55.18 ,  50.14 ,  50.90 ,  50.19 ,  54.21 ,  50.48 ,  50.03 ,  50.59 ,  53.23 ,  58.40 ,  55.03 
LRH         ,  249.77 ,  33.83 ,  19.13 ,,  19.02 ,  36.19 ,  33.23 ,  274.97 ,  117.90 ,,  50.34 ,  50.70 ,  114.86 ,  34.24 
LST         ,  59.80 ,  68.04 ,  44.32 ,  45.66 ,  71.64 ,  45.34 ,  46.30 ,  57.21 ,  61.82 ,  39.01 ,  59.04 ,  65.51 ,  43.08 ,  39.50 
LTX         ,  27.78 ,  32.80 ,  29.31 ,  33.65 ,  32.29 ,  51.79 ,  108.60 ,  144.52 ,  68.44 ,  50.68 ,  99.19 ,  19.28 ,  27.97 ,  113.20 
LVT         ,,,  47.81 ,  62.77 ,,  52.17 ,  31.91 ,  49.05 ,,,,,,
MACO        ,,,,,,,,,,,,  865.89 ,  595.17 ,  84.63 
MAJOR       ,  71.94 ,  83.43 ,  (7.40),  84.86 ,  92.91 ,  75.16 ,  89.70 ,  88.20 ,  88.29 ,  92.51 ,  95.05 ,  84.40 ,  86.03 ,  87.66 
MAKRO       ,  89.21 ,  63.54 ,  59.63 ,  190.06 ,  107.92 ,  97.55 ,  93.18 ,  90.37 ,  89.31 ,  96.76 ,  84.37 ,  89.33 ,  75.66 ,  75.86 
MALEE       ,,,,,,,,,,,  32.51 ,  51.98 ,  50.63 ,  50.79 
MANRIN      ,  59.68 ,  50.06 ,  79.74 ,  78.67 ,  79.76 ,  97.27 ,,,  22.51 ,,,,,
MATCH       ,,,,,,,  68.98 ,,  18.46 ,  168.67 ,  25.30 ,  60.36 ,  99.23 ,
MATI        ,  55.05 ,  56.48 ,  59.69 ,  60.33 ,  55.30 ,  43.19 ,  51.49 ,  36.17 ,  42.75 ,  52.33 ,  62.30 ,  67.89 ,  (91.12),
MAX         ,,,,,,,,,,,,,,
MBAX        ,,,,,,  111.57 ,  42.84 ,  35.97 ,,,  43.44 ,  134.45 ,  90.40 ,  95.33 
MBK         ,  61.78 ,  67.92 ,  57.28 ,  69.89 ,  56.08 ,  58.83 ,  53.83 ,  64.88 ,  37.03 ,  144.12 ,  54.76 ,  264.03 ,  71.12 ,  65.47 
MBKET       ,,  48.78 ,  78.41 ,  89.95 ,  89.36 ,  88.67 ,  84.24 ,  99.31 ,  101.02 ,  101.80 ,  96.63 ,,  74.50 ,  100.25 
M-CHAI      ,  38.62 ,  40.81 ,  45.95 ,  44.12 ,  48.83 ,  43.69 ,  42.93 ,  42.81 ,  40.68 ,  40.41 ,  40.61 ,  40.00 ,  40.72 ,  40.10 
MCOT        ,,,  41.47 ,  80.92 ,  73.05 ,  79.80 ,  89.50 ,  89.02 ,  91.76 ,  101.31 ,  89.85 ,  94.95 ,  75.01 ,  95.09 
MCS         ,,,,  53.23 ,  51.08 ,  50.16 ,  42.43 ,  52.06 ,  49.32 ,  52.49 ,  54.56 ,  25.44 ,  121.91 ,  56.61 
MDX         ,,,,,,,,,,,,,,
METCO       ,  32.29 ,  33.98 ,  30.53 ,  30.35 ,  39.46 ,  34.66 ,  29.40 ,  260.80 ,  46.56 ,  55.99 ,  (12.87),  (7.53),  35.62 ,  50.79 
MFC         ,  166.76 ,  81.29 ,  94.18 ,  80.83 ,  81.73 ,  72.93 ,  117.40 ,  84.35 ,  181.70 ,  128.05 ,  103.94 ,  88.02 ,  86.29 ,  105.40 
MFEC        ,,  93.93 ,  74.30 ,  93.29 ,  75.94 ,  85.21 ,  70.71 ,  78.20 ,  186.42 ,  71.50 ,  79.52 ,  85.35 ,  81.62 ,  74.12 
MIDA        ,,  88.93 ,  79.79 ,,,,,,,,,  5.98 ,  16.54 ,
MILL        ,,,,,,,  12.82 ,,  50.61 ,,,  (3.84),,  9.07 
MINT        ,  60.17 ,  55.10 ,  40.87 ,  33.70 ,  34.26 ,  28.47 ,  55.23 ,  34.86 ,  39.46 ,  17.06 ,  34.76 ,  37.56 ,  25.00 ,  21.89 
MJD         ,,,,,,  62.56 ,  47.18 ,  51.65 ,,,,,,
MK          ,,  1.87 ,  34.81 ,  24.29 ,  29.67 ,  36.59 ,  32.13 ,  39.85 ,  39.17 ,  66.18 ,  66.20 ,  60.23 ,  67.32 ,  39.57 
ML          ,,,,,,,,,,,,  4.78 ,  6.17 ,  30.11 
MODERN      ,  166.21 ,  88.66 ,  78.70 ,  74.61 ,  70.10 ,  81.45 ,  69.36 ,  80.13 ,  84.23 ,  86.74 ,  87.80 ,  98.10 ,  95.56 ,  113.21 
MOONG       ,,,,,,,,  24.96 ,  47.29 ,  44.53 ,  47.57 ,  47.54 ,  72.92 ,  28.94 
MPIC        ,,,,,,,,,,  73.43 ,,,,
MSC         ,  45.75 ,  50.46 ,  50.15 ,  49.91 ,  56.10 ,  55.27 ,  52.18 ,  53.31 ,  57.73 ,  86.40 ,  57.13 ,  52.86 ,  61.36 ,  52.39 
MTI         ,,,,,,,,  60.81 ,  59.97 ,  77.62 ,,  40.03 ,  39.99 ,  40.06 
NBC         ,,,,,,,,,  74.51 ,  59.37 ,  65.34 ,  62.83 ,  399.23 ,  (208.36)
NC          ,,  43.33 ,,,,,,  26.39 ,  22.12 ,  28.21 ,  23.46 ,  18.30 ,  20.78 ,  27.69 
NCH         ,,,  44.48 ,  55.31 ,,,,  42.29 ,  38.75 ,  43.10 ,  41.48 ,  40.22 ,  40.39 ,  5.54 
NEP         ,,,,,,,,,,,,,,
NEW         ,,,,,  (14.16),  21.68 ,  39.53 ,  27.58 ,  18.74 ,,  46.42 ,  27.57 ,  31.54 ,  38.45 
NFC         ,,,,,,,,,,,,,,
NINE        ,,,,,,,,,  61.54 ,  72.94 ,  45.20 ,  82.89 ,  689.54 ,  (20.39)
NKI         ,  76.39 ,  34.14 ,  34.16 ,  52.29 ,  52.88 ,  36.15 ,  87.96 ,  66.22 ,  60.89 ,,  79.35 ,  39.95 ,  42.04 ,  132.85 
NMG         ,,  58.52 ,  64.32 ,,,,,,,,,  26.25 ,  144.06 ,  342.95 
NNCL        ,,,  72.33 ,  51.65 ,  66.83 ,  51.18 ,  58.11 ,  151.02 ,  54.48 ,,  54.84 ,  50.54 ,,
NOBLE       ,  25.82 ,  25.66 ,  25.92 ,  27.00 ,  31.76 ,  29.67 ,  32.73 ,  35.40 ,  20.58 ,  39.62 ,  42.18 ,  42.39 ,  27.96 ,
NPK         ,,,,,,,,,,,  6.15 ,  6.49 ,  5.94 ,  7.15 
NSI         ,,,,,,,,,,  11.85 ,  23.67 ,  49.37 ,  51.19 ,  87.09 
NTV         ,  80.10 ,  80.65 ,  82.08 ,  74.81 ,  60.39 ,  60.08 ,  59.99 ,  60.04 ,  60.07 ,  60.09 ,  60.52 ,  60.36 ,  60.29 ,  60.08 
NUSA        ,,,,,,,,,,,,,,
NWR         ,,,,,,,,,,,  34.58 ,,,
OCC         ,  38.17 ,  39.36 ,  49.70 ,  42.70 ,  43.38 ,  58.16 ,  48.42 ,  45.49 ,  46.93 ,  42.02 ,  45.40 ,  47.35 ,  47.12 ,  50.68 
OGC         ,  59.98 ,  50.02 ,  50.08 ,  50.06 ,  49.98 ,  50.00 ,  31.11 ,"  (1,394.70)",  50.10 ,  50.20 ,,,  49.90 ,  50.04 
OHTL        ,  74.97 ,  109.55 ,  87.49 ,  91.78 ,  89.17 ,  105.16 ,  112.05 ,  94.27 ,  100.00 ,  111.03 ,  83.38 ,  101.29 ,  118.72 ,  115.64 
OISHI       ,,,  38.48 ,  51.08 ,  51.56 ,  90.67 ,  94.94 ,  79.86 ,  59.44 ,  51.04 ,  63.09 ,  53.50 ,  57.15 ,  52.65 
PAE         ,,,,,,,,,,,,,,
PAF         ,  125.77 ,  (11.68),  93.88 ,,,,,,,,,,,  6.76 
PAP         ,,,  40.74 ,,  73.05 ,  63.67 ,  90.70 ,  61.95 ,  57.24 ,  68.11 ,  62.26 ,  64.82 ,  58.32 ,
PATO        ,  93.93 ,  91.46 ,  133.02 ,  91.12 ,  111.41 ,  82.91 ,  93.10 ,  84.64 ,  85.34 ,  87.72 ,  98.49 ,  95.41 ,  99.73 ,  99.84 
PB          ,  50.75 ,  54.15 ,  50.12 ,  50.13 ,  49.97 ,  50.06 ,  50.11 ,  49.86 ,  49.98 ,  49.69 ,  50.07 ,  50.04 ,  50.14 ,  50.01 
PDI         ,,,  41.65 ,  44.29 ,  66.57 ,  66.56 ,  69.92 ,  70.16 ,  69.66 ,"  2,642.96 ",,  (12.79),  19.60 ,  29.98 
PE          ,,,,,,,,,,,,,,
PERM        ,,,,  51.02 ,  50.78 ,,,,  51.93 ,  54.04 ,  50.45 ,,  138.43 ,
PF          ,,,  30.79 ,  25.07 ,,  45.93 ,  35.25 ,  48.79 ,  47.23 ,  38.73 ,  80.21 ,,  64.72 ,  63.77 
PG          ,  43.90 ,  45.35 ,  47.58 ,  42.22 ,  47.56 ,  49.34 ,  44.33 ,  44.88 ,  47.36 ,  52.25 ,  49.93 ,  51.41 ,  60.04 ,  496.44 
PHOL        ,,,,,,,,,  34.26 ,  93.54 ,  39.24 ,  73.43 ,  83.39 ,  94.43 
PICO        ,,,  41.70 ,  85.24 ,  59.54 ,  68.61 ,  67.57 ,,,  24.08 ,  33.89 ,  57.48 ,  (885.62),  70.96 
PL          ,  51.88 ,  53.22 ,  52.76 ,  54.13 ,  57.03 ,  58.63 ,  61.39 ,  337.41 ,  63.73 ,  77.82 ,  74.40 ,  65.47 ,  58.18 ,  59.30 
PLE         ,  37.85 ,  63.58 ,  54.88 ,  62.46 ,  90.13 ,  76.50 ,,,,  (10.79),  (141.39),  587.67 ,  115.18 ,
PM          ,,,,,,,,  33.33 ,  44.48 ,  49.95 ,  54.16 ,  77.38 ,  87.98 ,  80.09 
POMPUI      ,,  8.34 ,,,,,,,,,,,,
POST        ,  96.10 ,  96.54 ,  77.24 ,  97.71 ,  72.08 ,  81.06 ,  226.55 ,,  84.13 ,  98.84 ,  63.31 ,  93.11 ,,
PPM         ,,,  46.26 ,  38.36 ,  52.39 ,  31.18 ,  74.09 ,  73.29 ,  32.25 ,  57.89 ,  30.02 ,  40.02 ,  63.07 ,  (28.95)
PR          ,  36.19 ,  35.67 ,  49.22 ,  49.96 ,  49.99 ,  49.98 ,  50.05 ,  49.86 ,  49.91 ,  49.66 ,  49.97 ,  49.90 ,  50.15 ,  50.03 
PRANDA      ,  27.80 ,  46.05 ,  57.35 ,  59.63 ,  58.36 ,  53.66 ,  86.06 ,  82.22 ,  82.30 ,  53.03 ,  54.24 ,  49.71 ,  42.21 ,  (36.71)
PREB        ,,,,  48.96 ,,,  24.69 ,  79.45 ,  32.70 ,  30.25 ,  4.91 ,  47.22 ,  60.54 ,  50.93 
PRECHA      ,,,,,,,,  21.70 ,  37.16 ,  32.61 ,  187.29 ,  265.26 ,,
PRG         ,  (386.62),  104.42 ,  38.80 ,  223.30 ,  73.70 ,  118.72 ,  53.33 ,  100.23 ,  115.32 ,  327.20 ,  114.29 ,  918.23 ,  91.40 ,  97.75 
PRIN        ,,,,  39.57 ,  40.40 ,  38.66 ,,  31.15 ,  23.17 ,  29.94 ,  34.42 ,  12.72 ,  81.88 ,  91.86 
PRO         ,,,  43.74 ,  20.99 ,,,,,,,,,,
PS          ,,,,  30.55 ,  33.36 ,  37.87 ,  30.54 ,  33.51 ,  31.64 ,  31.18 ,  28.49 ,  32.57 ,  33.46 ,  50.84 
PSL         ,,  42.30 ,  27.20 ,  25.02 ,  56.81 ,  56.28 ,  58.94 ,  20.47 ,  25.28 ,  21.70 ,  73.71 ,  103.12 ,  (169.62),
PT          ,,,,,  21.96 ,,  47.30 ,  (202.95),  74.99 ,  55.31 ,  28.98 ,  49.33 ,  37.76 ,  47.05 
PTL         ,,,,  38.83 ,  39.93 ,  39.78 ,  78.67 ,  35.70 ,  58.88 ,  27.81 ,  9.99 ,  30.10 ,,  20.72 
PTT         ,  32.53 ,  28.40 ,  30.13 ,  30.26 ,  30.88 ,  33.07 ,  10.92 ,  40.39 ,  35.09 ,  18.99 ,  35.48 ,  39.23 ,  56.31 ,  143.27 
PTTEP       ,  36.41 ,  36.61 ,  37.06 ,  37.22 ,  37.54 ,  37.95 ,  42.95 ,  40.04 ,  39.96 ,  40.06 ,  37.00 ,  42.42 ,  83.13 ,  (37.70)
PTTGC       ,,,,,,,,,,  277.21 ,  32.49 ,  46.07 ,  71.07 ,  61.58 
PYLON       ,,,,  16.78 ,  20.76 ,  80.86 ,  10.27 ,  117.17 ,  49.45 ,  52.87 ,  9.34 ,  52.44 ,  92.58 ,  98.42 
Q-CON       ,,,  32.82 ,,,,,,  31.57 ,  33.48 ,  32.16 ,  42.74 ,  43.66 ,  775.52 
QH          ,  50.54 ,  45.76 ,  45.39 ,  45.80 ,  64.68 ,  48.53 ,  43.54 ,  59.29 ,  50.80 ,  9.20 ,  46.19 ,  51.84 ,  28.49 ,  48.29 
QLT         ,,,,,,,,  32.14 ,  51.41 ,  28.99 ,  51.04 ,  75.18 ,  65.48 ,  61.76 
QTC         ,,,,,,,,,,  45.20 ,  52.15 ,  56.37 ,  65.11 ,  53.87 
RAM         ,  36.61 ,  40.13 ,  41.94 ,  52.15 ,  34.27 ,  40.59 ,  32.77 ,  31.82 ,  20.12 ,  15.74 ,  12.65 ,  16.29 ,  14.25 ,  14.14 
RATCH       ,  45.99 ,  46.78 ,  44.70 ,  47.80 ,  49.87 ,  52.24 ,  49.13 ,  48.41 ,  62.50 ,  67.40 ,  21.96 ,  53.20 ,  52.42 ,  103.25 
RCI         ,,  14.34 ,  32.11 ,  12.40 ,  31.47 ,,,,,,,,,
RCL         ,  21.62 ,  37.71 ,  36.06 ,  34.53 ,  32.37 ,  26.06 ,,,,,,,  22.92 ,  9.38 
RICH        ,,,,,  61.26 ,,,,,,,,,
RML         ,,,  19.94 ,  47.40 ,,,,,,,,,,  21.83 
ROBINS      ,,,,,  13.35 ,  51.40 ,  43.33 ,  45.75 ,  40.21 ,  49.69 ,  48.45 ,  50.34 ,  51.86 ,  51.59 
ROCK        ,,,,,,  14.60 ,  10.51 ,,  17.71 ,,  5.62 ,,,  25.60 
ROH         ,  89.99 ,  90.75 ,  90.06 ,  89.93 ,  80.03 ,  68.55 ,  35.16 ,,,,  (103.00),  (390.66),,
ROJNA       ,  46.16 ,  47.95 ,  60.20 ,  74.52 ,  75.52 ,  83.42 ,  37.27 ,  65.24 ,  72.33 ,  (41.85),  35.76 ,  76.70 ,  4.84 ,  126.99 
RPC         ,,  35.26 ,  63.66 ,  51.02 ,  99.99 ,  54.75 ,  (16.28),,  31.87 ,  15.52 ,,,,
RS          ,,,,,  67.89 ,,,,  41.81 ,  63.24 ,  77.67 ,  86.03 ,  82.68 ,  83.03 
S & J       ,  40.61 ,  39.58 ,  53.16 ,  51.46 ,  50.48 ,  47.95 ,  54.35 ,  46.22 ,  39.17 ,  53.09 ,  48.93 ,  53.31 ,  58.67 ,  59.24 
SABINA      ,,,,,,,  25.06 ,  37.82 ,  173.57 ,  16.60 ,  43.25 ,  38.56 ,  40.21 ,  39.88 
SAFARI      ,,,,,,,,,,,,,,
SALEE       ,,,,  29.88 ,  38.97 ,,  45.33 ,  40.03 ,  78.96 ,  73.66 ,  20.80 ,  18.80 ,  458.58 ,  92.91 
SAM         ,,,,,,,  (113.58),,,,  113.07 ,  80.31 ,,
SAMART      ,,,,  49.50 ,  20.47 ,  61.28 ,  35.93 ,  51.58 ,  61.40 ,  60.32 ,  36.99 ,  54.60 ,  57.64 ,  62.31 
SAMCO       ,  53.34 ,  43.61 ,  61.41 ,  58.07 ,  60.94 ,  55.27 ,  44.85 ,  42.17 ,  50.45 ,  145.04 ,  52.94 ,  39.82 ,  88.50 ,  58.14 
SAMTEL      ,,,  91.40 ,  67.71 ,  57.94 ,  53.61 ,  54.09 ,  49.69 ,  59.38 ,  50.57 ,  52.62 ,  54.02 ,  56.99 ,  61.44 
SAT         ,,,,  30.60 ,  33.89 ,  35.52 ,  14.18 ,,  37.59 ,  37.48 ,  30.00 ,  32.99 ,  39.26 ,  39.77 
SAUCE       ,  60.91 ,  89.90 ,  98.89 ,  105.86 ,  95.91 ,  82.14 ,  83.94 ,  84.56 ,  90.34 ,  91.81 ,  83.84 ,  97.14 ,  107.61 ,  105.66 
SAWANG      ,  51.63 ,  65.99 ,  53.51 ,  184.05 ,,,,  (75.35),,  58.04 ,  55.22 ,,,
SC          ,,,  37.99 ,  29.72 ,  43.30 ,  32.99 ,  34.55 ,  37.81 ,  39.42 ,  39.61 ,  9.65 ,  46.34 ,  21.46 ,  39.69 
SCAN        ,,,,,,  24.47 ,,,,,,,,
SCB         ,,  16.17 ,  18.57 ,  29.90 ,  28.52 ,  21.90 ,  23.23 ,  40.85 ,  42.05 ,  32.74 ,  29.53 ,  35.47 ,  38.19 ,  39.57 
SCC         ,  24.65 ,  36.08 ,  49.34 ,  55.84 ,  61.12 ,  59.30 ,  53.67 ,  41.90 ,  40.13 ,  54.98 ,  55.98 ,  50.93 ,  44.62 ,  42.29 
SCCC        ,  76.94 ,  68.42 ,  74.55 ,  81.64 ,  83.98 ,  99.68 ,  79.74 ,  85.87 ,  93.68 ,  90.79 ,  82.24 ,  71.94 ,  67.88 ,  75.34 
SCG         ,,,  88.90 ,  91.56 ,  77.85 ,  91.94 ,  54.85 ,  61.18 ,  68.12 ,  57.03 ,  63.48 ,  60.64 ,  78.02 ,  153.93 
SCP         ,,,,,,  12.48 ,  13.09 ,  12.87 ,  14.56 ,  14.05 ,  15.02 ,  21.85 ,  36.13 ,  40.96 
SEAFCO      ,,,  46.86 ,  46.83 ,  46.70 ,  47.29 ,,  20.87 ,,,  4.32 ,  44.23 ,  42.12 ,  49.87 
SE-ED       ,  94.09 ,  73.87 ,  75.26 ,  102.13 ,  92.87 ,  98.65 ,  98.19 ,  98.71 ,  97.28 ,  59.13 ,  70.41 ,  97.59 ,  86.81 ,  66.36 
SENA        ,,,,,,,,  40.08 ,  40.00 ,  30.51 ,  40.10 ,  52.45 ,  5.14 ,  45.31 
SF          ,,,  60.19 ,  39.43 ,  43.99 ,  41.45 ,,  66.25 ,  29.90 ,  2.03 ,  1.16 ,  4.82 ,  5.64 ,  18.93 
SFP         ,  43.71 ,  45.97 ,  51.51 ,  56.16 ,  47.62 ,,  70.68 ,  51.51 ,,  50.98 ,  324.10 ,  61.67 ,,
SGF         ,,,,,,,,,,,,,,
SGP         ,,,,,,,  34.70 ,  36.62 ,  25.07 ,  41.59 ,  44.99 ,  34.41 ,  (62.54),  41.17 
SHANG       ,  30.25 ,  55.55 ,  45.18 ,  67.07 ,  47.13 ,  52.94 ,  42.45 ,  (66.22),  (65.96),  (43.15),  97.64 ,  19.02 ,  11.06 ,  39.07 
SIAM        ,,,,,  27.74 ,  33.33 ,  31.30 ,  47.70 ,  17.95 ,  30.82 ,  32.54 ,,,  12.40 
SIM         ,,  62.82 ,  55.35 ,  53.77 ,  54.62 ,  83.02 ,  169.64 ,  74.42 ,  63.83 ,  51.41 ,  65.42 ,  59.65 ,  55.76 ,  177.61 
SIMAT       ,,,,,,  46.33 ,  90.41 ,  17.07 ,  35.96 ,  3.94 ,  9.81 ,  10.22 ,,
SINGER      ,  56.19 ,  56.23 ,  51.31 ,  30.69 ,,,,,  30.21 ,  37.91 ,  35.81 ,  37.90 ,  59.27 ,  56.58 
SIRI        ,,  22.87 ,  47.28 ,  35.88 ,  47.39 ,  47.88 ,  48.39 ,  47.67 ,  9.36 ,  49.32 ,  47.11 ,  55.36 ,  48.75 ,  48.90 
SIS         ,,,  19.90 ,  22.79 ,  30.34 ,  38.90 ,  34.42 ,  33.62 ,  35.31 ,  22.07 ,,  36.83 ,  38.05 ,  62.22 
SITHAI      ,,  53.90 ,  45.44 ,  51.34 ,  51.27 ,  77.69 ,  96.59 ,  164.20 ,  60.68 ,  72.07 ,  55.01 ,  556.49 ,  57.65 ,  60.89 
SKR         ,,,,,,,  10.01 ,  42.17 ,  33.06 ,  50.67 ,  58.78 ,  62.33 ,  64.53 ,  67.52 
SMC         ,,,,,,,,,,,,,,
SMIT        ,,,,  40.94 ,  39.47 ,  44.58 ,  40.88 ,  66.03 ,  49.52 ,  51.54 ,  55.93 ,  52.16 ,  59.97 ,  86.55 
SMK         ,  56.07 ,  53.03 ,  53.03 ,  52.57 ,  50.29 ,  43.39 ,  43.25 ,  37.16 ,  33.22 ,  39.50 ,  35.08 ,  33.91 ,  34.99 ,  38.99 
SMM         ,,,,  22.19 ,,,,,  32.51 ,  62.62 ,  5.36 ,  30.75 ,,
SMPC        ,,,,,,,,,,,,,  171.89 ,  51.86 
SMT         ,,,,,,,,  39.94 ,  48.95 ,  (5.54),,,,
SNC         ,,,  76.37 ,  65.49 ,  55.50 ,  65.87 ,  136.37 ,  62.23 ,  75.47 ,  88.59 ,  93.24 ,  68.00 ,  50.33 ,  63.19 
SOLAR       ,,,,  24.02 ,,,,,,,  13.12 ,  20.70 ,  36.97 ,
SORKON      ,  (354.25),  (15.08),  43.63 ,  4.58 ,  15.96 ,  (60.35),  63.95 ,  27.41 ,  24.38 ,  47.72 ,  63.31 ,  82.49 ,  76.95 ,  69.25 
SPACK       ,,,  63.07 ,  80.08 ,  69.54 ,  70.43 ,  86.00 ,  95.75 ,  31.01 ,  95.62 ,  162.93 ,  (16.73),  (4.61),  (23.28)
SPALI       ,,  29.83 ,  50.59 ,  37.54 ,  48.09 ,  46.82 ,  22.41 ,  40.38 ,  40.17 ,  43.45 ,  40.67 ,  41.69 ,  38.33 ,  39.47 
SPC         ,  39.68 ,  40.41 ,  28.14 ,  33.36 ,  37.30 ,  31.71 ,  33.32 ,  29.20 ,  31.74 ,  30.81 ,  32.78 ,  31.22 ,  26.61 ,  25.93 
SPCG        ,,,,,,,,,,,,,  47.44 ,  52.74 
SPG         ,  43.18 ,  43.14 ,  49.47 ,  49.84 ,  43.94 ,  40.48 ,  40.00 ,  40.64 ,  40.85 ,  51.90 ,  51.62 ,  47.69 ,  54.48 ,  49.50 
SPI         ,  14.28 ,  17.06 ,  12.77 ,  11.75 ,  13.71 ,  16.69 ,  10.70 ,  9.85 ,  10.64 ,  11.12 ,  8.70 ,  8.74 ,  9.88 ,  8.63 
SPORT       ,,  92.01 ,  70.02 ,  69.64 ,  73.29 ,"  (1,062.53)",  120.67 ,  121.87 ,  107.08 ,  89.93 ,  100.51 ,  173.70 ,,
SPPT        ,,,,  52.05 ,  55.36 ,  77.46 ,  76.73 ,  44.25 ,  80.40 ,  (19.62),  14.85 ,  70.49 ,,
SSC         ,  40.88 ,  61.32 ,  44.50 ,  51.84 ,  50.92 ,  72.21 ,  142.88 ,  150.37 ,  71.03 ,  361.73 ,  110.68 ,,,
SSF         ,  (415.83),,  49.64 ,  51.16 ,  62.53 ,  65.68 ,  46.76 ,  55.73 ,  103.74 ,  55.10 ,  47.47 ,"  (1,239.99)",  42.31 ,  67.51 
SSI         ,,,  36.85 ,,  12.18 ,  71.50 ,,,,,,,,
SSSC        ,,,,  5.70 ,  48.44 ,  50.20 ,  16.44 ,  39.92 ,  49.71 ,  53.45 ,  49.58 ,  49.27 ,  51.15 ,  51.85 
SST         ,  79.68 ,  107.22 ,  92.62 ,  124.25 ,  91.01 ,  91.59 ,  80.48 ,  31.05 ,  92.83 ,  0.80 ,  (2.76),  (10.69),  4.25 ,  (7.20)
STA         ,  34.40 ,  50.07 ,  32.43 ,  (28.89),  51.52 ,  184.54 ,  31.88 ,  28.01 ,  41.53 ,  49.00 ,  46.41 ,  45.93 ,  49.34 ,  45.79 
STANLY      ,  32.84 ,  33.30 ,  37.61 ,  33.14 ,  33.04 ,  32.27 ,  31.34 ,  34.56 ,  40.02 ,  34.89 ,  31.64 ,  31.87 ,  30.91 ,  31.77 
STAR        ,,,,,,,  49.71 ,  80.74 ,  72.20 ,,,,,
STEC        ,,  50.26 ,  49.31 ,  57.63 ,,,,  50.59 ,  58.81 ,  72.21 ,  3.23 ,  44.00 ,  40.12 ,  32.97 
STHAI       ,,,,,,,,,,,,,,
STPI        ,,,,,  5.10 ,,  60.45 ,  59.60 ,  62.85 ,  29.15 ,  33.81 ,  28.95 ,  30.93 ,  23.17 
SUC         ,  38.93 ,  36.34 ,  88.34 ,  43.78 ,  31.22 ,  67.97 ,  106.58 ,  45.81 ,  28.79 ,  60.97 ,  36.61 ,  63.93 ,  52.33 ,  49.06 
SUPER       ,,,,,,,,,,,,,,
SUSCO       ,,  64.14 ,  46.47 ,  50.21 ,,,,  48.05 ,  67.35 ,  58.93 ,  12.46 ,  74.21 ,  25.72 ,  56.74 
SVH         ,,,,,,,  21.11 ,  41.70 ,  42.75 ,  52.12 ,  42.55 ,  54.76 ,  62.44 ,  73.67 
SVI         ,,  29.82 ,,  27.95 ,  29.66 ,  23.10 ,  13.91 ,  48.95 ,  49.34 ,,,  20.89 ,  (59.53),  8.93 
SVOA        ,  40.12 ,  44.07 ,  43.78 ,  41.63 ,  40.57 ,  5.60 ,,  28.12 ,  30.56 ,  30.12 ,  16.98 ,  14.03 ,  14.75 ,  31.80 
SWC         ,,,  71.43 ,  64.41 ,  65.25 ,  67.33 ,  58.00 ,  55.44 ,  58.56 ,  60.28 ,  64.76 ,  56.09 ,  68.31 ,  55.30 
SYMC        ,,,,,,,,,  80.18 ,  74.88 ,  74.28 ,  76.76 ,  77.00 ,  34.07 
SYNEX       ,,,,,,,  65.53 ,  72.59 ,  62.28 ,  48.66 ,  42.00 ,  52.09 ,  55.05 ,  64.43 
SYNTEC      ,,,,,,,,  15.09 ,  23.59 ,  32.90 ,,  99.26 ,  28.24 ,  27.49 
TAPAC       ,,,,  45.55 ,  46.66 ,  289.92 ,  54.25 ,  50.40 ,  45.82 ,  57.88 ,  54.81 ,  91.24 ,  55.53 ,  59.11 
TASCO       ,,,,  49.86 ,  50.88 ,  39.86 ,,,,  25.92 ,,  183.51 ,  255.62 ,  27.36 
TBSP        ,  67.36 ,  67.65 ,  67.49 ,  71.30 ,  67.51 ,  70.32 ,  68.55 ,  71.97 ,  101.21 ,  71.17 ,  81.37 ,  186.77 ,  99.96 ,  102.63 
TC          ,  49.65 ,  40.61 ,  72.67 ,  67.57 ,  (25.03),  (24.17),  24.51 ,  31.53 ,  50.93 ,  31.75 ,  34.04 ,  (132.54),  29.96 ,  27.50 
TCAP        ,  38.68 ,  29.96 ,  31.29 ,  34.36 ,  72.66 ,  42.58 ,  42.14 ,  23.76 ,  27.19 ,  30.65 ,  32.64 ,  22.15 ,  39.93 ,  42.31 
