Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BANPU       ,  21.74 ,  15.00 ,  13.05 ,  13.32 ,  12.26 ,  15.85 ,  12.25 ,  13.33 ,  15.97 ,  13.77 ,  14.58 ,  14.83 ,  14.33 ,  16.02 
BAT-3K      ,  15.05 ,  18.42 ,  15.35 ,  14.42 ,  15.65 ,  14.33 ,  14.82 ,  19.16 ,  16.23 ,  17.31 ,  18.10 ,  18.27 ,  17.86 ,  20.33 
BAY         ,  34.15 ,  38.78 ,  42.17 ,  40.86 ,  34.11 ,  43.24 ,  40.23 ,  46.91 ,  54.43 ,  48.69 ,  47.65 ,  48.59 ,  45.98 ,  47.53 
BBL         ,  39.82 ,  48.11 ,  47.07 ,  43.94 ,  38.55 ,  34.25 ,  36.74 ,  46.30 ,  49.76 ,  44.07 ,  39.74 ,  37.79 ,  41.64 ,  43.39 
BCP         ,  2.76 ,  3.34 ,  2.08 ,  2.35 ,  2.15 ,  2.35 ,  2.19 ,  2.90 ,  2.48 ,  2.42 ,  2.48 ,  2.30 ,  2.45 ,  3.42 
BEC         ,  13.38 ,  13.84 ,  15.30 ,  18.42 ,  19.67 ,  17.55 ,  16.45 ,  17.32 ,  12.97 ,  12.88 ,  12.17 ,  11.85 ,  12.54 ,  13.35 
BFIT        ,  60.60 ,  77.57 ,  108.48 ,  128.42 ,  119.36 ,  119.51 ,  128.01 ,  150.47 ,  94.89 ,,  29.95 ,  29.98 ,  34.49 ,  37.29 
BGT         ,,,,,,  42.28 ,  42.49 ,  36.84 ,  37.79 ,  37.60 ,  42.24 ,  42.78 ,  45.35 ,
BH          ,  28.50 ,  20.82 ,  17.80 ,  19.23 ,  19.34 ,  16.26 ,  16.18 ,  16.82 ,  16.94 ,  16.87 ,  17.93 ,  17.62 ,  18.02 ,  17.66 
BIGC        ,  16.14 ,  15.81 ,  15.59 ,  15.68 ,  16.35 ,  16.70 ,  17.14 ,  17.51 ,  17.64 ,  16.42 ,  15.47 ,  16.50 ,  16.61 ,  16.49 
BJC         ,  19.02 ,  17.55 ,  18.27 ,  17.47 ,  18.79 ,  15.20 ,  15.06 ,  17.45 ,  16.84 ,  15.45 ,  16.34 ,  16.62 ,  17.56 ,  16.74 
BKI         ,  10.85 ,  10.92 ,  9.52 ,  11.28 ,  10.43 ,  11.54 ,  12.05 ,  10.72 ,  9.12 ,  8.40 ,  8.01 ,  11.94 ,  7.48 ,  8.59 
BLA         ,,,,,,,,  5.32 ,  4.43 ,  4.02 ,  4.33 ,  4.43 ,  3.68 ,  4.65 
BLAND       ,  53.95 ,  45.98 ,  71.84 ,  (41.35),  54.64 ,  73.38 ,  34.38 ,  45.94 ,  34.96 ,  30.30 ,  28.49 ,  27.78 ,  23.45 ,  36.67 
BLISS       ,,,  5.50 ,  4.73 ,  7.18 ,  10.97 ,  15.86 ,  16.50 ,  22.57 ,  22.27 ,  27.23 ,  28.50 ,  17.06 ,  13.74 
BOL         ,,,  35.72 ,  35.53 ,  30.13 ,  25.75 ,  25.31 ,  27.25 ,  23.82 ,  20.67 ,  26.42 ,  24.51 ,  23.50 ,  35.98 
BRC         ,  50.13 ,  8.08 ,  9.08 ,  8.18 ,  7.84 ,  7.76 ,  7.15 ,  7.24 ,  9.30 ,  8.37 ,  6.13 ,  6.67 ,  6.54 ,  6.63 
BROCK       ,,,,,,  16.61 ,  12.74 ,  24.74 ,  27.43 ,  30.45 ,  23.30 ,  75.59 ,  35.52 ,  45.64 
BROOK       ,  88.77 ,  52.59 ,  68.99 ,  95.54 ,  23.26 ,  55.10 ,  101.63 ,  76.88 ,  41.62 ,  61.60 ,  21.77 ,  12.70 ,  33.31 ,  5.38 
BSBM        ,,,,  2.78 ,  3.03 ,  3.22 ,  2.63 ,  3.53 ,  3.72 ,  3.36 ,  3.09 ,  2.95 ,  3.29 ,  3.38 
BSM         ,,,,,,,  18.66 ,  23.12 ,  26.47 ,  28.28 ,  23.99 ,  21.61 ,  21.28 ,  24.14 
BTC         ,,  10.45 ,  15.80 ,  20.08 ,  15.69 ,  15.30 ,  19.81 ,  42.37 ,  42.82 ,  32.18 ,,  33.07 ,  70.26 ,  89.28 
BTNC        ,  50.77 ,  52.91 ,  46.88 ,  48.59 ,  55.44 ,  53.47 ,  51.81 ,  53.17 ,  48.16 ,  48.19 ,  51.89 ,  51.43 ,  49.78 ,  54.04 
BTS         ,,,,  25.92 ,  203.89 ,  46.81 ,  29.04 ,  33.87 ,  32.69 ,  21.11 ,  17.42 ,  22.76 ,  22.66 ,  18.55 
BUI         ,  47.53 ,  50.51 ,  62.05 ,  57.41 ,  61.39 ,  78.90 ,  71.62 ,  73.58 ,  53.10 ,  48.06 ,  54.01 ,  34.27 ,  41.80 ,  36.19 
BWG         ,,,,,,  18.43 ,  26.91 ,  20.85 ,  20.70 ,  17.70 ,  16.27 ,  16.02 ,  15.90 ,  16.74 
CCET        ,  2.29 ,  2.80 ,  2.01 ,  2.07 ,  1.54 ,  1.51 ,  1.32 ,  1.94 ,  2.30 ,  2.61 ,  2.85 ,  3.61 ,  2.88 ,  3.01 
CCP         ,,  4.75 ,  5.27 ,  9.71 ,  9.36 ,  9.94 ,  10.37 ,  11.05 ,  9.62 ,  8.81 ,  7.59 ,  6.41 ,  6.90 ,  7.87 
CEN         ,  10.78 ,  8.07 ,  6.76 ,  7.46 ,  8.41 ,  7.58 ,  10.05 ,  10.39 ,  10.15 ,  8.47 ,  7.52 ,  6.88 ,  6.73 ,  12.06 
CENTEL      ,  45.28 ,  46.00 ,  42.49 ,  43.61 ,  45.78 ,  27.84 ,  47.25 ,  50.86 ,  51.62 ,  46.54 ,  30.66 ,  29.39 ,  30.86 ,  29.63 
CFRESH      ,  13.01 ,  8.45 ,  10.27 ,  13.88 ,  11.68 ,  12.38 ,  13.15 ,  10.26 ,  10.82 ,  7.50 ,  7.95 ,  7.75 ,  6.50 ,  7.11 
CGD         ,  32.04 ,  31.71 ,  24.93 ,  24.01 ,  28.47 ,,,,,,,,  35.12 ,  109.35 
CHARAN      ,  39.07 ,  45.83 ,  50.08 ,  50.13 ,  50.84 ,  50.20 ,  57.03 ,  54.55 ,  61.89 ,  47.21 ,  52.80 ,  37.18 ,  24.73 ,  25.70 
CHOTI       ,  5.04 ,  5.91 ,  6.28 ,  6.86 ,  6.75 ,  7.62 ,  6.78 ,  5.50 ,  5.21 ,  4.76 ,  4.81 ,  5.04 ,  5.30 ,  6.01 
CHOW        ,,,,,,,,,,  1.91 ,  2.42 ,  2.82 ,  3.93 ,  12.08 
CHUO        ,  107.65 ,  87.50 ,  33.79 ,  27.16 ,  99.84 ,  90.52 ,  94.53 ,  61.79 ,  59.85 ,  60.42 ,  60.16 ,  62.76 ,  58.65 ,  78.88 
CI          ,  24.95 ,  8.00 ,  25.81 ,  20.14 ,  30.74 ,  35.25 ,  29.10 ,  27.33 ,  29.90 ,  31.43 ,  22.30 ,  31.90 ,  31.28 ,  25.15 
CIG         ,,,,  9.32 ,  8.17 ,,  15.25 ,  18.49 ,  16.52 ,  13.72 ,  15.55 ,  11.73 ,  14.77 ,  15.82 
CIMBT       ,  26.09 ,  54.60 ,  44.01 ,  38.25 ,  40.25 ,  37.89 ,  49.46 ,  67.25 ,  75.83 ,  65.60 ,  52.37 ,  49.25 ,  51.27 ,  48.75 
