,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
HYDRO       ,,,,,,,,,,  0.82 ,  0.90 ,  0.85 ,  0.72 ,  0.49 
ICC         ,  26.19 ,  29.20 ,  31.11 ,  33.62 ,  36.31 ,  37.48 ,  38.29 ,  40.61 ,  44.60 ,  47.34 ,  55.42 ,  52.61 ,  54.14 ,  55.06 
IEC         ,  0.10 ,  0.09 ,  0.08 ,  0.08 ,  0.06 ,  0.07 ,  0.03 ,  0.02 ,  0.00 ,  0.00 ,  0.00 ,  0.01 ,  0.02 ,  0.02 
IFEC        ,  (1.18),  (0.93),  0.41 ,  0.47 ,  0.65 ,  0.77 ,  0.83 ,  0.88 ,  1.05 ,  1.07 ,  1.18 ,  1.73 ,  2.37 ,  2.71 
IFS         ,,,,,,,,,  1.70 ,  1.76 ,  1.90 ,  2.05 ,  2.21 ,  2.32 
IHL         ,,,,  0.26 ,  0.29 ,  1.20 ,  1.51 ,  1.77 ,  1.74 ,  1.69 ,  2.15 ,  2.51 ,  2.62 ,  2.70 
ILINK       ,,,  1.53 ,  1.91 ,  2.72 ,  4.19 ,  4.84 ,  5.58 ,  5.79 ,  6.16 ,  6.91 ,  9.78 ,  5.71 ,  5.40 
INET        ,  2.63 ,  2.61 ,  2.68 ,  2.65 ,  2.61 ,  2.58 ,  2.44 ,  2.44 ,  2.34 ,  1.96 ,  1.96 ,  1.97 ,  1.85 ,  2.01 
INOX        ,,,  1.67 ,  1.53 ,  1.59 ,  1.57 ,  1.37 ,  1.45 ,  1.51 ,,  1.34 ,  1.07 ,  1.10 ,  1.12 
INSURE      ,  28.61 ,  31.08 ,  28.61 ,  27.66 ,  24.80 ,  26.53 ,  20.78 ,  19.97 ,  22.81 ,  18.04 ,  13.01 ,  15.35 ,  12.62 ,  20.72 
INTUCH      ,  9.09 ,  11.10 ,  12.37 ,  13.16 ,  13.15 ,  12.47 ,  11.58 ,  11.24 ,  6.99 ,  6.60 ,  7.03 ,  7.43 ,  7.70 ,  7.95 
IRC         ,  3.21 ,  4.03 ,  4.75 ,  5.42 ,  5.94 ,  7.11 ,  8.02 ,  8.87 ,  9.99 ,  10.24 ,  10.14 ,  11.98 ,  12.75 ,  14.32 
IRCP        ,,  0.88 ,  1.57 ,  1.41 ,  1.51 ,  1.36 ,  0.91 ,  0.97 ,  1.18 ,  1.28 ,  1.36 ,  1.58 ,  1.91 ,  1.87 
IRPC        ,  0.06 ,  0.79 ,  1.26 ,  5.16 ,  4.25 ,  4.63 ,  3.51 ,  3.62 ,  3.74 ,  3.71 ,  3.63 ,  3.69 ,  3.32 ,  3.71 
IT          ,,  2.29 ,  2.78 ,  2.78 ,  2.94 ,  2.82 ,  2.95 ,  2.86 ,  2.95 ,  3.00 ,  2.97 ,  2.96 ,  2.93 ,  2.99 
ITD         ,  2.40 ,  2.67 ,  2.95 ,  3.86 ,  3.33 ,  3.60 ,  2.70 ,  2.43 ,  2.48 ,  1.84 ,  2.00 ,  2.38 ,  2.66 ,  2.52 
IVL         ,,,,,,,,,  7.40 ,  12.18 ,  12.37 ,  12.57 ,  15.26 ,  16.58 
JAS         ,  (0.13),  0.78 ,  0.85 ,  0.97 ,  1.00 ,  0.95 ,  0.61 ,  0.62 ,  0.89 ,  0.98 ,  1.20 ,  1.60 ,  1.67 ,  2.23 
JCT         ,  33.96 ,  34.68 ,  37.22 ,  38.27 ,  38.87 ,  40.10 ,  42.01 ,  45.52 ,  46.27 ,  55.58 ,  60.64 ,  60.94 ,  66.62 ,  68.85 
JMART       ,,,,,,,,  1.53 ,  1.62 ,  1.76 ,  2.99 ,  3.30 ,  3.61 ,  5.34 
JTS         ,,,,,  2.61 ,  2.58 ,  2.35 ,  2.49 ,  2.29 ,  2.08 ,  1.78 ,  1.77 ,  1.58 ,  1.52 
JUBILE      ,,,,,,,,  1.91 ,  2.18 ,  2.52 ,  2.88 ,  3.59 ,  4.07 ,  4.04 
JUTHA       ,  (3.51),  (0.37),  1.00 ,  1.95 ,  4.24 ,  5.64 ,  6.71 ,  7.47 ,  8.70 ,  7.66 ,  7.63 ,  4.60 ,  4.39 ,  4.53 
KAMART      ,  (0.02),  1.60 ,  1.94 ,  1.63 ,  1.30 ,  1.09 ,  0.90 ,  0.45 ,  0.55 ,  0.74 ,  0.92 ,  1.00 ,  0.96 ,  1.09 
KASET       ,,,,  0.92 ,  0.94 ,  0.96 ,  1.28 ,  1.30 ,  1.32 ,  1.88 ,  1.32 ,  1.08 ,  1.04 ,  1.26 
KBANK       ,  14.91 ,  20.52 ,  28.00 ,  32.80 ,  36.97 ,  41.78 ,  47.49 ,  51.42 ,  56.38 ,  64.68 ,  77.28 ,  91.60 ,  107.41 ,  119.42 
KBS         ,,,,,,,,,,  4.40 ,  5.11 ,  6.24 ,  6.84 ,  6.62 
KC          ,,  1.15 ,  1.31 ,  1.52 ,  1.59 ,  1.59 ,  1.63 ,  1.65 ,  1.62 ,  1.54 ,  1.58 ,  1.58 ,  1.61 ,  1.58 
KCAR        ,,,,  2.65 ,  2.99 ,  3.41 ,  3.82 ,  4.38 ,  5.08 ,  5.58 ,  6.37 ,  6.49 ,  6.83 ,  7.15 
KCE         ,  4.52 ,  5.07 ,  5.52 ,  5.45 ,  5.13 ,  5.37 ,  4.49 ,  4.85 ,  5.63 ,  5.34 ,  6.48 ,  8.51 ,  11.25 ,  14.05 
KDH         ,  18.70 ,  34.58 ,  35.06 ,  34.77 ,  18.30 ,,  18.76 ,  17.01 ,  16.20 ,  18.00 ,  16.80 ,  28.28 ,  26.60 ,  24.51 
KGI         ,  4.11 ,  2.12 ,  2.14 ,  2.12 ,  2.18 ,  2.25 ,  2.23 ,  2.26 ,  2.51 ,  2.43 ,  2.40 ,  2.56 ,  2.59 ,  2.53 
KIAT        ,,,,,,,,,  0.22 ,  0.26 ,  0.30 ,  0.28 ,  0.30 ,  0.41 
KKC         ,  0.58 ,  1.48 ,  1.79 ,  1.79 ,  1.65 ,  1.61 ,  1.19 ,  1.47 ,  2.31 ,  2.16 ,  2.36 ,  2.37 ,  1.94 ,  2.21 
KSL         ,,,,  1.50 ,  1.57 ,  2.02 ,  2.07 ,  2.15 ,  2.01 ,  2.38 ,  2.47 ,  2.69 ,  2.85 ,  3.04 
KTB         ,  5.48 ,  6.31 ,  6.38 ,  6.95 ,  7.80 ,  8.05 ,  8.72 ,  9.47 ,  10.59 ,  10.93 ,  12.90 ,  14.75 ,  16.61 ,  17.59 
KTC         ,  9.77 ,  19.38 ,  20.80 ,,  22.09 ,  23.11 ,  23.91 ,  24.30 ,  25.36 ,  18.86 ,  20.13 ,  23.77 ,  28.58 ,  33.87 
KTECH       ,,,  0.43 ,  0.80 ,  0.77 ,  (0.14),  (1.71),  (1.96),  (2.17),  (2.34),  (0.88),  (0.83),  0.18 ,  0.33 
KTP         ,  3.14 ,  3.15 ,  2.90 ,  2.92 ,  2.84 ,  2.70 ,  2.45 ,  2.16 ,  1.69 ,  1.17 ,  0.72 ,  1.27 ,  1.02 ,  0.71 
KWC         ,  43.93 ,  49.58 ,  46.82 ,  47.19 ,  48.86 ,  50.61 ,  45.83 ,  54.37 ,  64.02 ,  66.89 ,  74.06 ,  80.79 ,  87.24 ,  91.36 
KYE         ,  77.96 ,  83.67 ,  83.79 ,  95.14 ,  99.86 ,  95.48 ,  97.92 ,  115.52 ,  148.59 ,  156.77 ,  168.48 ,  191.76 ,  199.30 ,  229.37 
L&E         ,,,,,,,,,,,,,  2.39 ,  2.37 
LALIN       ,  0.46 ,  3.11 ,  3.48 ,  3.87 ,  4.04 ,  4.04 ,  4.18 ,  4.40 ,  4.60 ,  4.76 ,  4.92 ,  5.20 ,  5.47 ,  5.68 
LANNA       ,  0.29 ,  2.84 ,  2.46 ,  2.89 ,  3.27 ,  3.54 ,  3.97 ,  4.59 ,  5.00 ,  6.23 ,  6.88 ,  7.63 ,  7.97 ,  8.11 
LEE         ,  1.77 ,  1.84 ,  1.90 ,  2.03 ,  2.28 ,  2.48 ,  2.46 ,  2.80 ,  2.79 ,  2.93 ,  2.79 ,  2.77 ,  2.74 ,  2.73 
LH          ,  2.79 ,  3.18 ,  2.74 ,  2.78 ,  2.65 ,  2.76 ,  2.59 ,  2.61 ,  2.74 ,  2.93 ,  3.08 ,  3.35 ,  3.90 ,  3.88 
LHBANK      ,,,,,,,,,,  1.06 ,  1.12 ,  1.13 ,  1.19 ,  1.32 
LHK         ,,,,,,,  2.31 ,  2.04 ,  2.36 ,  2.64 ,  2.68 ,  3.11 ,  3.32 ,  3.47 
LOXLEY      ,  1.71 ,  2.37 ,  2.48 ,  1.75 ,  1.86 ,  1.94 ,  1.85 ,  2.05 ,  1.91 ,  2.00 ,  2.19 ,  2.42 ,  2.69 ,  2.72 
LPN         ,  1.06 ,  1.38 ,  1.93 ,  2.03 ,  2.24 ,  2.59 ,  3.04 ,  3.57 ,  4.12 ,  4.83 ,  5.67 ,  6.52 ,  7.05 ,  7.85 
LRH         ,  16.12 ,  16.92 ,  19.92 ,  19.09 ,  21.83 ,  106.76 ,  111.48 ,  95.14 ,  99.23 ,  85.83 ,  86.40 ,  66.73 ,  66.75 ,  68.34 
LST         ,  1.46 ,  1.51 ,  1.54 ,  1.71 ,  1.99 ,  2.01 ,  2.35 ,  2.59 ,  2.59 ,  2.66 ,  2.92 ,  3.07 ,  3.36 ,  3.53 
LTX         ,  41.76 ,  46.66 ,  53.15 ,  58.05 ,  63.34 ,  65.55 ,  65.49 ,  67.29 ,  72.75 ,  77.78 ,  77.66 ,  87.75 ,  93.03 ,  94.67 
LVT         ,,,  0.27 ,  1.43 ,  1.56 ,  1.82 ,  2.49 ,  2.31 ,  1.31 ,  1.23 ,  0.68 ,  0.37 ,,
MACO        ,,,,,,,,,,,,  0.23 ,  0.22 ,  0.24 
MAJOR       ,  0.38 ,  3.52 ,  3.65 ,  4.11 ,  5.30 ,  6.39 ,  6.16 ,  6.00 ,  6.28 ,  6.69 ,  7.10 ,  6.88 ,  7.11 ,  7.37 
MAKRO       ,  1.86 ,  1.82 ,  1.94 ,  1.84 ,  1.82 ,  1.73 ,  1.78 ,  1.82 ,  1.91 ,  2.02 ,  2.22 ,  2.30 ,  2.66 ,  2.96 
MALEE       ,  1.44 ,  0.47 ,  1.13 ,  1.18 ,  1.02 ,  0.37 ,  (1.73),  2.33 ,  2.80 ,  3.90 ,  7.64 ,  7.49 ,  7.23 ,  8.93 
MANRIN      ,  20.29 ,  21.18 ,  21.35 ,  22.34 ,  22.85 ,  21.89 ,  19.58 ,  18.53 ,  22.69 ,  21.07 ,  20.27 ,  18.90 ,  17.77 ,  16.99 
MATCH       ,,,,  3.01 ,  2.00 ,  1.78 ,  1.92 ,  1.67 ,  1.72 ,  1.66 ,  1.86 ,  2.67 ,  2.47 ,  2.31 
MATI        ,  7.64 ,  8.10 ,  8.13 ,  8.66 ,  7.74 ,  8.30 ,  8.52 ,  9.65 ,  9.58 ,  8.35 ,  8.66 ,  9.35 ,  8.55 ,  7.73 
MAX         ,  (37.13),  (37.78),  (37.74),,  0.19 ,  0.24 ,  0.24 ,  0.09 ,  0.11 ,  0.11 ,  0.04 ,  0.03 ,  0.05 ,  0.05 
MBAX        ,,,,,,  2.43 ,  2.48 ,  2.47 ,  2.15 ,  2.01 ,  2.42 ,  2.37 ,  2.51 ,  2.68 
MBK         ,  3.44 ,  3.41 ,  3.91 ,  3.99 ,  4.32 ,  4.86 ,  5.21 ,  5.85 ,  5.91 ,  6.35 ,  7.68 ,  7.51 ,  7.99 ,  8.59 
MBKET       ,,  6.54 ,  7.13 ,  7.43 ,  7.32 ,  7.50 ,  7.45 ,  7.94 ,  8.12 ,  7.74 ,  7.91 ,,  8.56 ,  8.44 
M-CHAI      ,  20.17 ,  21.67 ,  22.75 ,  25.15 ,  26.72 ,  27.77 ,  30.17 ,  32.40 ,  35.97 ,  40.47 ,  46.91 ,  53.59 ,  57.09 ,  68.34 
MCOT        ,,,  8.72 ,  9.06 ,  9.87 ,  10.14 ,  10.45 ,  10.85 ,  11.07 ,  11.05 ,  11.61 ,  11.50 ,  10.81 ,  10.70 
MCS         ,,,,  2.08 ,  2.35 ,  2.68 ,  3.08 ,  3.84 ,  4.49 ,  4.68 ,  4.76 ,  4.71 ,  4.14 ,  4.74 
MDX         ,  (53.44),  (49.36),  (13.11),  (12.25),  0.95 ,  1.27 ,  1.54 ,  1.63 ,  1.93 ,  2.15 ,  3.36 ,  3.51 ,  4.03 ,  4.61 
METCO       ,  142.07 ,  173.27 ,  210.04 ,  237.38 ,  247.19 ,  267.04 ,  284.25 ,  272.63 ,  300.96 ,  298.39 ,  265.39 ,  234.62 ,  257.07 ,  282.95 
MFC         ,  1.09 ,  1.14 ,  11.82 ,  10.68 ,  10.72 ,  11.07 ,  10.96 ,  11.25 ,  12.08 ,  10.66 ,  10.44 ,  11.27 ,  11.25 ,  10.77 
MFEC        ,,  1.48 ,  1.72 ,  2.55 ,  2.68 ,  2.92 ,  3.06 ,  3.02 ,  2.93 ,  3.83 ,  3.92 ,  4.15 ,  4.35 ,  4.29 
MIDA        ,,  0.53 ,  1.07 ,  1.17 ,  1.29 ,  1.29 ,  1.31 ,  1.32 ,  1.36 ,  1.39 ,  1.23 ,  1.40 ,  1.43 ,  1.48 
MILL        ,,,,,,,  1.14 ,  1.18 ,  1.67 ,  1.56 ,  1.62 ,  1.59 ,  1.43 ,  1.71 
MINT        ,  1.12 ,  1.08 ,  1.24 ,  1.48 ,  1.96 ,  2.32 ,  2.69 ,  2.84 ,  3.27 ,  3.63 ,  4.47 ,  5.70 ,  6.37 ,  7.45 
MJD         ,,,,,,  2.89 ,  3.12 ,  3.40 ,  3.53 ,  3.11 ,  2.98 ,  2.74 ,  3.51 ,  4.11 
MK          ,  2.84 ,  3.79 ,  4.23 ,  4.90 ,  5.17 ,  5.42 ,  4.97 ,  5.33 ,  5.71 ,  5.65 ,  5.81 ,  6.13 ,  6.35 ,  6.52 
ML          ,,,  0.30 ,  0.68 ,  0.74 ,  0.78 ,  0.83 ,  0.90 ,  1.04 ,  1.15 ,  1.29 ,  1.43 ,  1.52 ,  1.62 
MODERN      ,  2.46 ,  2.48 ,  2.56 ,  2.68 ,  2.80 ,  2.92 ,  3.01 ,  3.06 ,  2.77 ,  2.78 ,  3.15 ,  3.72 ,  3.58 ,  3.39 
MOONG       ,,,,,,,,  2.09 ,  2.30 ,  2.46 ,  2.64 ,  2.94 ,  3.18 ,  3.52 
MPIC        ,,  0.35 ,  0.09 ,  0.04 ,  (0.05),  (0.01),  0.43 ,  0.72 ,  0.77 ,  0.83 ,  0.41 ,  0.12 ,  0.68 ,  0.61 
MSC         ,  2.27 ,  2.15 ,  2.24 ,  2.55 ,  2.90 ,  3.00 ,  3.15 ,  3.13 ,  3.38 ,  3.27 ,  3.63 ,  3.88 ,  4.06 ,  4.33 
MTI         ,,,,,,,  56.43 ,  64.55 ,  70.79 ,  65.24 ,  51.18 ,  61.32 ,  70.21 ,  77.37 
NBC         ,,,,,,,,,  1.02 ,  1.02 ,  1.12 ,  2.71 ,  2.64 ,  2.46 
NC          ,  10.55 ,  15.57 ,  12.09 ,  9.16 ,  10.02 ,  9.74 ,  10.31 ,  12.51 ,  16.34 ,  19.40 ,  24.31 ,  23.55 ,  25.05 ,  24.48 
NCH         ,,,  1.71 ,  1.73 ,  1.68 ,  1.63 ,  1.59 ,  1.64 ,  1.69 ,  1.78 ,  1.80 ,  1.84 ,  1.90 ,  1.97 
NEP         ,  0.42 ,  0.49 ,  0.73 ,  0.48 ,  0.53 ,  0.54 ,  0.48 ,  0.45 ,  0.43 ,  0.45 ,  0.66 ,  0.62 ,  0.47 ,  0.39 
NEW         ,  9.25 ,  7.73 ,  5.36 ,  29.50 ,  33.98 ,  28.23 ,  28.19 ,  29.04 ,  29.59 ,  28.05 ,  28.48 ,  30.29 ,  30.94 ,  31.89 
NFC         ,  (0.09),  (0.28),  1.11 ,  0.84 ,  0.34 ,  0.04 ,  (0.04),  0.03 ,  0.03 ,  (0.01),  (0.04),  (0.06),  (0.08),  0.01 
NINE        ,,,,,,,,,  1.05 ,  1.11 ,  1.22 ,  3.11 ,  3.03 ,  2.86 
NKI         ,  39.49 ,  49.26 ,  49.72 ,  55.02 ,  56.85 ,  62.86 ,  54.19 ,  61.23 ,  67.76 ,  54.98 ,  64.38 ,  65.51 ,  68.17 ,  64.82 
NMG         ,  0.73 ,  0.83 ,  0.81 ,  0.67 ,  0.58 ,  0.30 ,  0.28 ,  0.29 ,  0.40 ,  0.41 ,  0.48 ,  1.00 ,  1.01 ,  0.96 
NNCL        ,,,  1.61 ,  1.72 ,  1.87 ,  1.81 ,  1.83 ,  1.81 ,  1.69 ,  1.65 ,  1.68 ,  1.80 ,  1.41 ,  1.24 
NOBLE       ,  3.73 ,  5.22 ,  5.53 ,  6.34 ,  6.73 ,  7.06 ,  7.67 ,  8.43 ,  8.17 ,  8.48 ,  8.89 ,  9.30 ,  9.36 ,  8.23 
NPK         ,,,,,,,,,,  16.70 ,  21.61 ,  25.22 ,  27.50 ,  30.10 
NSI         ,  54.71 ,  45.81 ,  39.44 ,  42.34 ,  41.88 ,  40.18 ,  39.21 ,  49.72 ,  58.98 ,  64.72 ,  69.30 ,  84.38 ,  89.80 ,  93.11 
NTV         ,  3.35 ,  3.58 ,  3.73 ,  3.89 ,  4.34 ,  4.76 ,  5.27 ,  5.72 ,  6.28 ,  6.44 ,  7.38 ,  8.00 ,  8.75 ,  9.64 
NUSA        ,  5.77 ,  3.89 ,  3.18 ,  1.54 ,  (2.22),  (2.68),  0.73 ,  0.69 ,  0.93 ,  0.97 ,  1.01 ,  1.00 ,  1.07 ,  1.07 
NWR         ,  1.48 ,  0.87 ,  0.94 ,  0.91 ,  0.86 ,  0.44 ,  0.52 ,  0.56 ,  0.93 ,  0.85 ,  1.17 ,  1.51 ,  1.48 ,  1.41 
OCC         ,  4.06 ,  5.20 ,  5.78 ,  6.61 ,  7.37 ,  7.52 ,  8.18 ,  8.78 ,  9.57 ,  9.86 ,  10.93 ,  12.16 ,  12.98 ,  13.48 
OGC         ,  40.86 ,  43.23 ,  49.88 ,  66.21 ,  68.46 ,  71.46 ,  72.81 ,  71.35 ,  74.90 ,  76.06 ,  71.26 ,  67.14 ,  72.65 ,  78.11 
OHTL        ,  66.15 ,  64.93 ,  81.79 ,  84.67 ,  88.46 ,  89.24 ,  84.76 ,  75.25 ,  73.75 ,  71.00 ,  81.03 ,  57.43 ,  51.46 ,  48.56 
OISHI       ,,,  8.03 ,  10.36 ,  9.67 ,  11.42 ,  12.58 ,  12.45 ,  14.27 ,  15.49 ,  16.65 ,  18.18 ,  19.34 ,  21.68 
PAE         ,  (155.70),  (3.46),  0.32 ,  0.27 ,  0.33 ,  0.29 ,  0.23 ,  0.09 ,  0.00 ,  0.03 ,  0.06 ,  0.03 ,  0.01 ,  (0.05)
PAF         ,  7.72 ,  4.18 ,  3.78 ,  2.37 ,  2.84 ,  2.56 ,  2.55 ,  1.82 ,  0.76 ,  0.75 ,  (0.50),  0.05 ,  0.10 ,  0.40 
PAP         ,,,  0.24 ,  2.17 ,  2.35 ,  2.34 ,  2.36 ,  2.51 ,  2.70 ,  2.90 ,  3.03 ,  3.40 ,  3.28 ,  3.05 
PATO        ,  0.23 ,  0.24 ,  0.22 ,  0.25 ,  0.24 ,  0.26 ,  0.30 ,  3.34 ,  3.71 ,  3.75 ,  3.30 ,  3.70 ,  3.72 ,  3.60 
PB          ,  1.27 ,  1.38 ,  1.51 ,  1.73 ,  3.84 ,  4.14 ,  4.67 ,  5.26 ,  6.03 ,  7.03 ,  7.92 ,  9.07 ,  10.28 ,  11.83 
PDI         ,  12.53 ,  12.53 ,  13.49 ,  15.35 ,  22.01 ,  20.89 ,  19.27 ,  19.78 ,  20.71 ,  19.31 ,  16.20 ,  13.88 ,  15.59 ,  15.84 
PE          ,  (7.57),  (5.37),  (4.96),  0.26 ,  0.18 ,  0.29 ,  0.28 ,  0.34 ,  0.38 ,  0.46 ,  0.57 ,  0.61 ,  0.56 ,  0.42 
PERM        ,,,,  1.76 ,  1.74 ,  1.75 ,  1.73 ,  1.57 ,  1.67 ,  1.69 ,  1.75 ,  1.70 ,  1.73 ,  1.16 
PF          ,  4.69 ,  0.95 ,  0.96 ,  1.11 ,  1.05 ,  1.13 ,  1.24 ,  1.26 ,  1.33 ,  1.53 ,  1.45 ,  1.47 ,  1.53 ,  1.43 
PG          ,  3.81 ,  4.68 ,  5.16 ,  7.28 ,  10.62 ,  10.96 ,  11.77 ,  13.05 ,  14.02 ,  15.04 ,  16.90 ,  15.62 ,  16.20 ,  15.32 
PHOL        ,,,,,,,,,  1.75 ,  1.68 ,  1.78 ,  1.92 ,  1.99 ,  2.00 
PICO        ,,,  0.41 ,  1.28 ,  1.43 ,  1.50 ,  1.59 ,  1.35 ,  1.59 ,  1.88 ,  1.94 ,  2.00 ,  1.98 ,  2.09 
PL          ,  0.15 ,  0.16 ,  0.18 ,  2.95 ,  3.10 ,  3.46 ,  3.59 ,  3.86 ,  4.10 ,  4.12 ,  4.30 ,  4.35 ,  4.38 ,  4.43 
PLE         ,  0.14 ,  2.86 ,  3.44 ,  5.56 ,  5.32 ,  5.38 ,  4.45 ,  2.68 ,  2.65 ,  2.26 ,  2.17 ,  2.12 ,  2.04 ,  0.26 
PM          ,,,,,,,  1.22 ,  1.57 ,  1.67 ,  1.67 ,  2.06 ,  2.33 ,  2.69 ,  2.95 
POMPUI      ,  1.73 ,  11.90 ,  (8.35),  (10.76),  (10.85),  (11.09),  (11.19),  (11.31),  (10.97),  (7.21),  (6.54),  (6.90),  (7.51),  (6.92)
POST        ,  1.73 ,  1.81 ,  1.89 ,  1.86 ,  1.86 ,  1.84 ,  1.80 ,  1.56 ,  1.67 ,  1.58 ,  1.68 ,  1.72 ,  1.21 ,  1.87 
PPM         ,,,  1.99 ,  2.05 ,  2.93 ,  2.78 ,  2.72 ,  2.74 ,  3.04 ,  3.09 ,  3.36 ,  3.52 ,  3.52 ,  3.35 
PR          ,  8.24 ,  9.08 ,  9.50 ,  10.01 ,  10.64 ,  11.07 ,  11.93 ,  13.12 ,  14.26 ,  15.56 ,  17.02 ,  20.56 ,  22.51 ,  24.38 
PRANDA      ,  7.60 ,  7.31 ,  7.56 ,  7.41 ,  7.31 ,  7.15 ,  7.07 ,  7.17 ,  6.75 ,  6.37 ,  6.84 ,  6.65 ,  6.97 ,  6.53 
PREB        ,,,,  2.05 ,  1.78 ,  1.70 ,  1.85 ,  1.86 ,  2.03 ,  2.23 ,  2.70 ,  3.59 ,  4.18 ,  4.56 
PRECHA      ,  (0.46),  0.12 ,  1.26 ,  1.50 ,  1.51 ,  1.26 ,  1.21 ,  1.76 ,  1.78 ,  1.86 ,  1.84 ,  1.84 ,  1.75 ,  1.69 
PRG         ,  2.89 ,  3.63 ,  4.49 ,  4.30 ,  4.67 ,  4.70 ,  5.82 ,  4.97 ,  6.31 ,  7.02 ,  8.33 ,  10.44 ,  10.91 ,  10.62 
PRIN        ,,,,  0.87 ,  1.07 ,  1.79 ,  2.02 ,  2.42 ,  2.78 ,  2.84 ,  3.08 ,  3.15 ,  3.19 ,  3.19 
PRO         ,,,  0.38 ,  0.38 ,  0.31 ,  0.78 ,  0.83 ,  0.36 ,  0.19 ,  0.05 ,  (0.01),  (0.03),  (0.03),  0.13 
PS          ,,,,  2.84 ,  3.38 ,  3.75 ,  4.61 ,  5.90 ,  6.92 ,  7.69 ,  9.07 ,  11.22 ,  13.34 ,  15.34 
PSL         ,  0.47 ,  1.40 ,  3.88 ,  7.30 ,  8.83 ,  10.33 ,  11.88 ,  12.58 ,  12.28 ,  11.26 ,  10.64 ,  11.48 ,  11.23 ,  10.57 
PT          ,  (2.85),  (1.00),  (0.08),  0.63 ,  1.10 ,  1.14 ,  1.71 ,  1.68 ,  1.90 ,  1.80 ,  2.22 ,  2.78 ,  3.47 ,  3.90 
PTL         ,,,,  4.00 ,  4.32 ,  4.36 ,  5.37 ,  5.69 ,  6.21 ,  10.37 ,  10.36 ,  10.06 ,  10.61 ,  9.48 
PTT         ,  28.52 ,  39.46 ,  57.63 ,  82.52 ,  102.62 ,  128.31 ,  135.83 ,  151.45 ,  172.31 ,  194.63 ,  212.09 ,  239.00 ,  244.22 ,  244.07 
PTTEP       ,  11.95 ,  14.00 ,  17.48 ,  21.89 ,  26.94 ,  32.38 ,  40.55 ,  43.17 ,  51.94 ,  60.25 ,  82.65 ,  96.94 ,  104.19 ,  102.98 
PTTGC       ,,,,,,,,,,  44.05 ,  49.33 ,  52.90 ,  53.10 ,  51.35 
PYLON       ,,,,  0.71 ,  0.75 ,  0.77 ,  0.92 ,  1.29 ,  1.32 ,  1.54 ,  1.63 ,  2.21 ,  2.41 ,  2.45 
Q-CON       ,,,  3.85 ,  3.69 ,  3.49 ,  3.22 ,  3.14 ,  3.20 ,  3.36 ,  3.78 ,  4.70 ,  4.96 ,  5.03 ,  4.88 
QH          ,  0.57 ,  0.78 ,  0.83 ,  0.88 ,  0.94 ,  0.98 ,  1.07 ,  1.17 ,  1.25 ,  1.23 ,  1.45 ,  1.61 ,  1.79 ,  2.01 
QLT         ,,,,,,,,  2.10 ,  2.40 ,  2.87 ,  3.55 ,  3.72 ,  4.24 ,  4.54 
QTC         ,,,,,,,,,,  1.90 ,  2.30 ,  2.38 ,  2.44 ,  2.85 
RAM         ,  78.67 ,  95.66 ,  109.97 ,  79.36 ,  100.00 ,  126.72 ,  158.01 ,  189.48 ,  245.77 ,  267.56 ,  378.39 ,  423.49 ,  557.82 ,  618.55 
RATCH       ,  15.57 ,  17.06 ,  19.63 ,  21.72 ,  23.93 ,  25.85 ,  28.26 ,  30.71 ,  32.07 ,  33.05 ,  36.53 ,  37.72 ,  41.92 ,  41.51 
RCI         ,  1.74 ,  2.26 ,  2.46 ,  2.63 ,  2.73 ,  2.43 ,  1.98 ,  1.62 ,  1.26 ,  0.83 ,  0.77 ,  1.27 ,  1.59 ,  1.67 
RCL         ,  9.48 ,  10.32 ,  16.31 ,  21.59 ,  22.20 ,  25.44 ,  23.69 ,  17.39 ,  15.90 ,  15.47 ,  12.93 ,  11.20 ,  11.72 ,  12.96 
RICH        ,,,,,  0.03 ,  0.42 ,  0.86 ,  0.87 ,  0.95 ,  0.73 ,  0.50 ,  0.19 ,  0.43 ,  0.37 
RML         ,  (0.48),  0.59 ,  0.88 ,  0.96 ,  0.83 ,  0.83 ,  0.89 ,  0.72 ,  0.78 ,  0.18 ,  0.43 ,  0.64 ,  0.99 ,  1.24 
ROBINS      ,  1.13 ,  1.68 ,  2.07 ,  2.84 ,  4.53 ,  4.99 ,  5.49 ,  6.00 ,  7.17 ,  7.87 ,  9.06 ,  10.21 ,  11.04 ,  12.12 
ROCK        ,  5.53 ,  10.32 ,  10.33 ,  12.00 ,  11.57 ,  13.65 ,  14.79 ,  14.18 ,  17.45 ,  12.36 ,  17.66 ,  19.86 ,  19.35 ,  22.74 
ROH         ,  13.34 ,  12.48 ,  14.17 ,  14.68 ,  15.43 ,  13.75 ,  15.88 ,  13.55 ,  11.06 ,  9.14 ,  8.55 ,  9.30 ,  7.16 ,  8.05 
ROJNA       ,  4.08 ,  4.49 ,  5.12 ,  5.23 ,  5.48 ,  5.68 ,  6.02 ,  5.82 ,  5.85 ,  3.79 ,  4.67 ,  4.53 ,  5.55 ,  6.05 
RPC         ,,  0.23 ,  1.82 ,  1.90 ,  1.90 ,  2.34 ,  1.23 ,  1.76 ,  2.19 ,  2.45 ,  1.41 ,  1.17 ,  0.96 ,  1.04 
