,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BAFS        ,  2.49 ,  2.70 ,  2.84 ,  3.28 ,  3.62 ,  4.15 ,  4.43 ,  4.90 ,  5.34 ,  5.72 ,  6.43 ,  7.46 ,  7.80 ,  8.49 
BANPU       ,  3.08 ,  6.18 ,  6.38 ,  6.02 ,  6.10 ,  9.54 ,  11.25 ,  13.46 ,  16.95 ,  21.09 ,  21.49 ,  20.44 ,  19.83 ,  18.49 
BAT-3K      ,  56.48 ,  60.48 ,  68.08 ,  74.75 ,  79.02 ,  91.34 ,  63.75 ,  76.89 ,  82.59 ,  88.29 ,  70.82 ,  78.51 ,  85.93 ,  93.08 
BAY         ,  9.14 ,  10.03 ,  11.43 ,  13.72 ,  9.67 ,  13.51 ,  14.04 ,  15.21 ,  16.28 ,  16.87 ,  18.66 ,  19.98 ,  21.60 ,  25.88 
BBL         ,  37.85 ,  53.56 ,  60.23 ,  72.94 ,  77.67 ,  86.95 ,  91.66 ,  103.09 ,  120.79 ,  127.73 ,  143.30 ,  155.03 ,  169.47 ,  189.56 
BCP         ,  8.78 ,  5.86 ,  14.81 ,  18.72 ,  16.66 ,  18.96 ,  17.62 ,  22.11 ,  21.52 ,  21.59 ,  23.34 ,  25.22 ,  24.19 ,  25.77 
BEC         ,  0.37 ,  0.29 ,  3.06 ,  2.85 ,  3.02 ,  3.25 ,  3.54 ,  3.59 ,  3.79 ,  3.63 ,  4.04 ,  4.41 ,  4.32 ,  3.98 
BFIT        ,  6.29 ,  6.39 ,  6.98 ,  8.03 ,  11.27 ,  11.79 ,  10.07 ,  10.38 ,  10.87 ,,  9.82 ,  9.50 ,  9.70 ,  9.94 
BGT         ,,,,,,  0.13 ,  0.14 ,  0.75 ,  0.89 ,  1.03 ,  1.13 ,  1.19 ,  1.17 ,
BH          ,  1.32 ,  1.88 ,  2.83 ,  3.59 ,  4.51 ,  5.97 ,  6.68 ,  7.51 ,  8.33 ,  9.24 ,  11.52 ,  13.17 ,  14.94 ,  17.48 
BIGC        ,  13.39 ,  14.69 ,  15.86 ,  17.07 ,  18.09 ,  19.65 ,  21.65 ,  23.60 ,  25.50 ,  29.32 ,  38.62 ,  44.87 ,  51.06 ,  56.56 
BJC         ,  4.20 ,  4.68 ,  5.02 ,  5.23 ,  5.42 ,  5.66 ,  5.99 ,  6.52 ,  7.19 ,  7.92 ,  8.64 ,  9.28 ,  9.55 ,  10.72 
BKI         ,  59.48 ,  93.38 ,  95.57 ,  106.11 ,  120.20 ,  128.44 ,  86.44 ,  127.66 ,  167.57 ,  171.66 ,  210.34 ,  203.56 ,  262.72 ,  323.62 
BLA         ,,,,,,,,  4.30 ,  6.50 ,  7.99 ,  11.82 ,  13.12 ,  15.06 ,  15.84 
BLAND       ,  0.75 ,  0.60 ,  1.10 ,  0.83 ,  0.97 ,  0.96 ,  1.30 ,  1.40 ,  1.43 ,  1.48 ,  1.51 ,  2.24 ,  2.32 ,  2.18 
BLISS       ,,,  0.02 ,  0.25 ,  0.11 ,  0.19 ,  0.01 ,  0.00 ,  0.02 ,  0.01 ,  0.00 ,  0.01 ,  0.01 ,  0.04 
BOL         ,,,  0.02 ,  0.02 ,  0.02 ,  0.29 ,  0.29 ,  0.29 ,  0.30 ,  0.32 ,  0.34 ,  0.38 ,  0.43 ,  0.47 
BRC         ,  3.81 ,  (12.72),  (16.08),  (16.94),  (17.07),  (14.95),  (14.36),  (13.62),  (20.03),  (22.43),  (20.85),  (19.70),  (18.41),  (16.70)
BROCK       ,,,,,,  1.17 ,  1.21 ,  1.18 ,  1.18 ,  1.18 ,  1.20 ,  1.19 ,  1.20 ,  1.21 
BROOK       ,  0.03 ,  0.06 ,  0.04 ,  0.07 ,  0.11 ,  0.11 ,  0.09 ,  0.11 ,  0.16 ,  0.14 ,  0.21 ,  0.27 ,  0.30 ,  0.40 
BSBM        ,,,,  1.92 ,  1.82 ,  1.81 ,  1.61 ,  1.71 ,  1.71 ,  1.68 ,  1.65 ,  1.71 ,  1.64 ,  1.56 
BSM         ,,,,,,,  0.11 ,  0.13 ,  0.11 ,  0.10 ,  0.11 ,  0.15 ,  0.14 ,  0.15 
BTC         ,,  0.78 ,  0.75 ,  0.79 ,  0.99 ,  0.67 ,  0.47 ,  0.35 ,  0.19 ,  0.09 ,,  0.04 ,  0.02 ,  0.07 
BTNC        ,  32.89 ,  34.36 ,  34.45 ,  34.53 ,  32.03 ,  32.62 ,  32.50 ,  33.00 ,  34.32 ,  33.19 ,  33.28 ,  34.70 ,  35.69 ,  35.88 
BTS         ,,,,  (40.97),  (314.89),  2.15 ,  3.69 ,  3.71 ,  3.74 ,  3.89 ,  3.86 ,  4.27 ,  4.86 ,  4.26 
BUI         ,  8.33 ,  15.91 ,  12.83 ,  20.81 ,  19.40 ,  19.47 ,  15.67 ,  18.21 ,  20.23 ,  19.46 ,  16.52 ,  17.91 ,  20.00 ,  22.78 
BWG         ,,,,,,  0.44 ,  0.45 ,  0.40 ,  0.43 ,  0.43 ,  0.44 ,  0.51 ,  0.53 ,  0.66 
CCET        ,  1.92 ,  2.08 ,  2.36 ,  2.62 ,  2.96 ,  3.27 ,  3.49 ,  3.72 ,  3.79 ,  3.87 ,  3.45 ,  3.63 ,  3.70 ,  3.95 
CCP         ,,  0.10 ,  0.52 ,  0.49 ,  0.36 ,  0.33 ,  0.25 ,  0.16 ,  0.16 ,  0.17 ,  0.29 ,  0.50 ,  0.52 ,  0.53 
CEN         ,  0.27 ,  0.30 ,  1.18 ,  3.29 ,  2.70 ,  3.05 ,  3.49 ,  3.82 ,  4.00 ,  3.96 ,  4.06 ,  3.49 ,  3.77 ,  3.43 
CENTEL      ,  1.96 ,  2.02 ,  2.51 ,  2.66 ,  3.04 ,  3.15 ,  4.52 ,  4.42 ,  4.29 ,  4.29 ,  6.95 ,  7.66 ,  8.09 ,  6.86 
CFRESH      ,  3.24 ,  3.06 ,  3.33 ,  3.34 ,  3.23 ,  3.11 ,  3.05 ,  3.23 ,  2.88 ,  3.21 ,  3.96 ,  2.51 ,  3.41 ,  4.45 
CGD         ,  0.00 ,  (0.00),  (0.00),  (0.00),  0.72 ,,,,,,,,  0.68 ,  0.76 
CHARAN      ,  41.73 ,  45.14 ,  43.82 ,  46.30 ,  49.13 ,  52.12 ,  46.24 ,  50.14 ,  55.01 ,  43.58 ,  48.94 ,  45.30 ,  48.19 ,  48.90 
CHOTI       ,  131.55 ,  129.51 ,  142.58 ,  142.52 ,  143.57 ,  153.65 ,  160.67 ,  173.87 ,  185.57 ,  184.83 ,  181.17 ,  166.66 ,  162.83 ,  163.79 
CHOW        ,,,,,,,,,,  1.60 ,  1.59 ,  1.60 ,  1.62 ,  1.51 
