Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BANPU       ,  12.86 ,  10.42 ,  14.88 ,  20.56 ,  12.80 ,  16.99 ,  20.33 ,  25.03 ,  21.98 ,  17.82 ,  10.84 ,  5.42 ,  5.34 ,  3.09 
BAT-3K      ,  13.27 ,  10.08 ,  13.15 ,  12.34 ,  8.56 ,  14.66 ,  (10.52),  10.95 ,  7.39 ,  8.70 ,  (4.78),  5.54 ,  7.86 ,  8.52 
BAY         ,  0.47 ,  0.63 ,  0.87 ,  1.00 ,  0.24 ,  (0.59),  0.78 ,  1.07 ,  1.50 ,  1.72 ,  1.88 ,  1.41 ,  1.53 ,  1.62 
BBL         ,  0.50 ,  0.88 ,  1.29 ,  1.61 ,  1.60 ,  1.85 ,  1.80 ,  1.70 ,  1.95 ,  1.68 ,  1.78 ,  1.79 ,  1.68 ,  1.54 
BCP         ,  6.60 ,  (0.20),  10.87 ,  11.22 ,  2.32 ,  8.05 ,  (0.58),  23.36 ,  8.23 ,  11.33 ,  8.99 ,  9.39 ,  2.30 ,  8.04 
BEC         ,  28.90 ,  35.59 ,  32.68 ,  18.59 ,  33.11 ,  42.72 ,  49.66 ,  44.54 ,  53.03 ,  54.11 ,  62.42 ,  62.74 ,  38.35 ,  24.76 
BFIT        ,  2.23 ,  2.37 ,  3.43 ,  5.20 ,  5.37 ,  2.92 ,  1.85 ,  0.42 ,  1.25 ,,  2.35 ,  2.48 ,  2.88 ,  2.41 
BGT         ,,,,,,  14.22 ,  14.80 ,  14.97 ,  17.24 ,  15.93 ,  6.92 ,  5.06 ,  2.01 ,  2.45 
BH          ,  9.14 ,  20.05 ,  23.77 ,  25.53 ,  26.22 ,  30.65 ,  21.86 ,  20.80 ,  20.70 ,  20.19 ,  23.89 ,  19.90 ,  19.82 ,  21.94 
BIGC        ,  6.73 ,  7.49 ,  9.03 ,  9.99 ,  10.91 ,  11.46 ,  11.00 ,  11.26 ,  10.46 ,  12.71 ,  9.88 ,  9.98 ,  9.87 ,  9.32 
BJC         ,  9.67 ,  14.92 ,  13.69 ,  10.25 ,  9.03 ,  11.02 ,  8.32 ,  8.58 ,  12.30 ,  11.56 ,  10.12 ,  9.08 ,  6.58 ,  9.67 
BKI         ,  5.74 ,  5.73 ,  5.05 ,  5.05 ,  4.52 ,  4.66 ,  6.27 ,  7.17 ,  7.09 ,  1.13 ,  1.32 ,  4.01 ,  5.18 ,  4.83 
BLA         ,,,,,,,,  2.31 ,  4.57 ,  4.81 ,  3.73 ,  3.37 ,  1.60 ,  2.10 
BLAND       ,  0.58 ,  1.37 ,  4.22 ,  (2.91),  2.72 ,  0.87 ,  16.54 ,  5.42 ,  2.58 ,  3.26 ,  2.55 ,  7.13 ,  4.95 ,  2.82 
BLISS       ,,,  12.92 ,  9.69 ,  (22.81),  25.71 ,  (80.95),  (10.82),  23.02 ,  (23.94),  (29.16),  13.49 ,  3.80 ,  3.36 
BOL         ,,,  10.69 ,  9.35 ,  18.78 ,  24.91 ,  29.58 ,  28.98 ,  31.42 ,  32.56 ,  27.69 ,  25.44 ,  20.11 ,  13.35 
BRC         ,  (25.23),  (69.98),  (16.12),  1.04 ,  4.45 ,  5.27 ,  9.74 ,  6.32 ,  (33.62),  (46.16),  13.14 ,  8.43 ,  8.34 ,  9.02 
BROCK       ,,,,,,  8.98 ,  8.86 ,  1.94 ,  1.48 ,  1.39 ,  3.19 ,  (1.02),  1.21 ,  0.82 
BROOK       ,  (123.26),  6.47 ,  (18.11),  (14.38),  48.58 ,  9.26 ,  (15.35),  19.53 ,  37.83 ,  (4.35),  53.51 ,  19.29 ,  30.31 ,  54.70 
BSBM        ,,,,  (3.05),  10.20 ,  5.91 ,  5.42 ,  6.55 ,  8.62 ,  6.55 ,  (0.60),  5.79 ,  0.76 ,  (3.88)
BSM         ,,,,,,,  5.14 ,  8.44 ,  (5.19),  (0.66),  10.29 ,  15.46 ,  10.97 ,  6.08 
BTC         ,,  6.22 ,  8.99 ,  5.21 ,  0.01 ,  (3.32),  (19.08),  (16.22),  (22.29),  (17.30),,  (57.44),  (12.79),  (9.29)
BTNC        ,  2.08 ,  2.61 ,  3.18 ,  3.26 ,  (2.51),  2.54 ,  1.54 ,  2.12 ,  4.29 ,  3.91 ,  2.38 ,  1.51 ,  1.59 ,  0.18 
BTS         ,,,,  (1.42),  (0.72),  25.58 ,  15.84 ,  0.77 ,  3.69 ,  5.73 ,  5.88 ,  3.78 ,  25.03 ,  6.31 
BUI         ,  1.27 ,  0.61 ,  3.34 ,  3.78 ,  1.53 ,  3.20 ,  3.35 ,  3.97 ,  4.41 ,  1.20 ,  (2.53),  3.14 ,  5.07 ,  3.62 
BWG         ,,,,,,  13.21 ,  9.08 ,  (2.97),  6.00 ,  9.22 ,  7.11 ,  11.12 ,  11.20 ,  13.46 
CCET        ,  12.04 ,  10.52 ,  9.46 ,  7.74 ,  9.56 ,  8.83 ,  5.49 ,  3.44 ,  3.88 ,  1.49 ,  2.94 ,  1.41 ,  2.43 ,  2.94 
CCP         ,,  10.37 ,  7.68 ,  2.04 ,  (2.31),  1.53 ,  0.25 ,  (0.83),  2.70 ,  5.77 ,  14.94 ,  23.57 ,  9.12 ,  3.64 
CEN         ,  (5.78),  1.51 ,  9.78 ,  7.92 ,  (24.14),  11.58 ,  10.61 ,  5.61 ,  6.48 ,  1.10 ,  2.38 ,  0.86 ,  6.59 ,  (3.88)
CENTEL      ,  9.20 ,  7.53 ,  13.11 ,  12.36 ,  9.31 ,  7.23 ,  4.69 ,  2.43 ,  2.56 ,  5.95 ,  9.40 ,  8.20 ,  7.32 ,  9.68 
CFRESH      ,  2.98 ,  0.08 ,  6.18 ,  7.12 ,  4.66 ,  1.35 ,  3.41 ,  13.17 ,  10.53 ,  12.94 ,  22.94 ,  (7.86),  13.85 ,  12.59 
CGD         ,  (0.25),  (3.77),  (1.81),  1.42 ,  (4.38),,,,,,,,  3.06 ,  (3.89)
CHARAN      ,  4.21 ,  3.42 ,  3.60 ,  4.97 ,  7.81 ,  7.13 ,  5.57 ,  4.12 ,  2.61 ,  (4.14),  3.68 ,  0.92 ,  3.23 ,  5.40 
CHOTI       ,  1.85 ,  (0.56),  8.06 ,  4.53 ,  3.98 ,  8.14 ,  8.55 ,  13.12 ,  15.43 ,  20.60 ,  15.30 ,  2.11 ,  (1.76),  2.51 
CHOW        ,,,,,,,,,,  9.65 ,  3.43 ,  5.17 ,  2.97 ,  1.18 
CHUO        ,  7.67 ,  7.40 ,  5.65 ,  10.39 ,  6.97 ,  6.53 ,  3.50 ,  0.62 ,  2.58 ,  (1.54),  (2.86),  0.73 ,  1.32 ,  (18.49)
CI          ,  5.94 ,  7.17 ,  4.32 ,  7.23 ,  4.51 ,  4.77 ,  7.06 ,  5.64 ,  2.58 ,  3.29 ,  9.91 ,  16.76 ,  2.25 ,  7.38 
CIG         ,,,,  10.04 ,  4.81 ,,  1.85 ,  (0.11),  (4.51),  (5.78),  (2.21),  2.92 ,  11.66 ,  0.98 
CIMBT       ,  0.71 ,  (1.48),  0.22 ,  0.25 ,  (0.22),  (3.27),  (0.92),  0.03 ,  0.51 ,  0.89 ,  0.87 ,  0.58 ,  0.45 ,  0.46 
CITY        ,,,,,  20.23 ,  17.32 ,  13.79 ,  10.15 ,  7.93 ,  9.22 ,  14.22 ,  11.67 ,  12.68 ,  10.88 
CK          ,  2.55 ,  6.62 ,  4.22 ,  6.27 ,  0.55 ,  3.74 ,  5.76 ,  3.74 ,  2.27 ,  7.69 ,  5.32 ,  17.50 ,  5.45 ,  4.90 
CM          ,  7.14 ,  5.58 ,  4.45 ,  4.87 ,  7.32 ,  8.20 ,  11.43 ,  16.55 ,  11.98 ,  4.61 ,  15.39 ,  10.85 ,  4.96 ,  10.55 
CMO         ,,,  19.83 ,  10.39 ,  23.46 ,  3.61 ,  1.05 ,  2.44 ,  11.24 ,  (0.74),  16.79 ,  8.75 ,  (0.21),  7.56 
CMR         ,  10.20 ,  14.24 ,  12.11 ,  11.99 ,  15.79 ,  14.22 ,  8.38 ,  14.51 ,  11.85 ,  11.05 ,  11.68 ,  14.27 ,  12.73 ,  14.33 
CNS         ,  3.45 ,  3.28 ,  10.20 ,  4.90 ,  3.19 ,  2.89 ,  3.79 ,  2.03 ,  2.97 ,  1.23 ,  3.47 ,  5.15 ,  4.75 ,  4.42 
CNT         ,  8.19 ,  22.81 ,  6.58 ,  5.42 ,  1.75 ,  3.01 ,  1.47 ,  4.92 ,  10.96 ,  4.42 ,  10.74 ,  8.69 ,  (6.83),  1.57 
COLOR       ,,,,,,,,,,  6.05 ,  2.96 ,  (0.11),  0.61 ,  4.09 
CPALL       ,,  9.17 ,  10.22 ,  3.98 ,  (0.22),  0.23 ,  9.43 ,  16.05 ,  19.83 ,  21.30 ,  22.00 ,  8.40 ,  6.84 ,  7.77 
CPF         ,  8.61 ,  4.58 ,  3.84 ,  11.98 ,  5.23 ,  3.86 ,  5.62 ,  13.33 ,  14.93 ,  14.87 ,  12.78 ,  5.17 ,  6.85 ,  6.51 
CPH         ,  6.14 ,  1.79 ,  7.28 ,  8.94 ,  3.34 ,  (0.47),  (0.37),  1.73 ,  (5.25),  (1.10),  (2.23),  (2.52),  1.23 ,  5.34 
CPI         ,  19.41 ,  14.38 ,  12.90 ,  (2.44),  2.42 ,  3.63 ,  14.20 ,  5.89 ,,  8.39 ,  2.45 ,  1.75 ,  3.31 ,  0.28 
CPL         ,  24.10 ,  10.25 ,  9.24 ,  2.76 ,  8.83 ,  (1.80),  10.26 ,  11.21 ,  8.43 ,  11.01 ,  5.66 ,  7.51 ,  8.67 ,  3.77 
CPN         ,  7.84 ,  8.53 ,  8.64 ,  16.40 ,  8.53 ,  8.21 ,  8.38 ,  15.62 ,  4.88 ,  5.61 ,  11.84 ,  11.38 ,  11.39 ,  10.37 
CPR         ,,,,  16.15 ,  4.54 ,  3.00 ,  6.83 ,  5.08 ,  15.89 ,  12.27 ,  15.22 ,  10.04 ,  9.47 ,  11.80 
CRANE       ,,,,,,,,,,,,,  12.00 ,  0.77 
CSC         ,  8.54 ,  12.04 ,  10.91 ,  4.05 ,  17.59 ,  10.83 ,  11.08 ,  12.59 ,  16.08 ,  13.89 ,  15.07 ,  15.44 ,  13.74 ,  12.65 
CSL         ,,,  13.09 ,  11.02 ,  12.60 ,  15.69 ,  13.37 ,  18.72 ,  24.60 ,  27.48 ,  25.76 ,  27.32 ,  (1.59),  22.05 
CSP         ,,,,  7.69 ,  6.88 ,  5.91 ,  8.20 ,  3.11 ,  8.68 ,  8.17 ,  7.47 ,  6.34 ,  8.82 ,  (5.35)
CSR         ,  2.26 ,  2.20 ,  2.58 ,  3.27 ,  3.57 ,  4.42 ,  3.64 ,  4.21 ,  4.12 ,  3.18 ,  4.40 ,  5.42 ,  4.83 ,  5.27 
CTW         ,  10.91 ,  11.11 ,  8.32 ,  8.75 ,  13.26 ,  6.91 ,  (6.65),  7.04 ,  13.34 ,  5.62 ,  11.79 ,  6.96 ,  2.68 ,  (1.31)
CWT         ,  2.38 ,  4.71 ,  8.65 ,  (0.86),  (6.12),  (4.47),  (1.50),  (2.44),  22.03 ,  4.95 ,  9.43 ,  1.05 ,  4.11 ,  4.85 
DCC         ,  17.25 ,  23.38 ,  29.74 ,  29.47 ,  20.85 ,  22.33 ,  24.97 ,  38.28 ,  46.15 ,  45.14 ,  36.78 ,  33.55 ,  31.03 ,  33.87 
DCON        ,,,  21.08 ,  12.26 ,  7.05 ,  5.74 ,  4.48 ,  2.06 ,  12.71 ,  14.33 ,  19.93 ,  23.64 ,  31.19 ,  16.78 
DELTA       ,  13.42 ,  7.45 ,  4.93 ,  8.97 ,  8.05 ,  13.36 ,  11.27 ,  8.46 ,  14.73 ,  10.14 ,  14.14 ,  15.86 ,  16.29 ,  17.17 
DEMCO       ,,,,,,,,,,  7.30 ,  14.85 ,  9.41 ,  7.74 ,  (9.50)
DIMET       ,,,,,,,  3.11 ,  4.33 ,  3.40 ,  (4.86),  (3.17),  (5.54),  (3.63),  (2.58)
DRACO       ,  10.17 ,  10.02 ,  4.97 ,  1.59 ,  5.28 ,  16.71 ,  12.44 ,  5.11 ,  7.39 ,  5.88 ,  (1.86),  2.45 ,  (2.56),  (6.07)
DRT         ,,,,  16.92 ,  24.02 ,  28.36 ,  18.85 ,  21.68 ,  25.59 ,  24.15 ,  21.26 ,  15.40 ,  10.34 ,  12.22 
DSGT        ,,,,,  15.06 ,  16.09 ,  16.21 ,  17.24 ,  14.65 ,  7.45 ,  11.96 ,  8.87 ,  7.38 ,  2.20 
DTAC        ,,,,,,  10.92 ,  14.03 ,  10.04 ,  15.61 ,  17.24 ,  15.54 ,  15.54 ,  13.82 ,  8.12 
DTC         ,  13.83 ,  9.42 ,  9.74 ,  7.27 ,  7.94 ,  4.04 ,  6.35 ,  (0.93),  4.35 ,  0.89 ,  1.78 ,  3.31 ,  1.09 ,  3.70 
DTCI        ,  (1.36),  (3.41),  (0.06),  1.99 ,  3.82 ,  8.13 ,  3.31 ,  3.42 ,  6.44 ,  6.27 ,  5.41 ,  5.12 ,  1.67 ,  6.63 
E           ,,,,  2.92 ,  (19.56),  (38.99),  (31.93),  0.31 ,  12.30 ,  2.76 ,  (1.76),  (5.61),  (12.73),  (10.52)
EARTH       ,  (2.16),  3.24 ,  (19.62),  (31.35),  (19.14),  (11.42),  (40.58),  (12.98),  20.64 ,,,,  9.91 ,  7.79 
