Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BAT-3K      ,  0.15 ,  0.28 ,  0.38 ,  0.13 ,  0.43 ,  1.04 ,  1.28 ,  0.72 ,  0.89 ,  0.96 ,  1.13 ,  1.21 ,  0.87 ,  0.50 
BAY         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BBL         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BCP         ,  3.78 ,  5.88 ,  1.53 ,  1.05 ,  0.68 ,  0.52 ,  0.79 ,  0.63 ,  0.74 ,  0.63 ,  0.60 ,  0.60 ,  0.94 ,  0.95 
BEC         ,  0.01 ,  0.01 ,  0.01 ,  0.00 ,  -   ,  -   ,  0.00 ,  -   ,  0.00 ,  -   ,  0.00 ,  0.02 ,  0.60 ,  0.49 
BFIT        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   
BGT         ,,,,,,  0.39 ,  0.23 ,  0.17 ,  0.34 ,  0.40 ,  0.47 ,  0.37 ,  0.28 ,  0.55 
BH          ,  4.20 ,  1.99 ,  1.02 ,  0.68 ,  0.53 ,  0.41 ,  0.39 ,  0.30 ,  0.25 ,  0.74 ,  0.59 ,  0.54 ,  0.47 ,  0.41 
BIGC        ,  0.39 ,  0.24 ,  0.15 ,  0.11 ,  0.05 ,  0.13 ,  0.17 ,  -   ,  -   ,  1.55 ,  0.92 ,  0.72 ,  0.26 ,  0.26 
BJC         ,  0.37 ,  0.17 ,  0.30 ,  0.38 ,  0.35 ,  0.55 ,  0.70 ,  0.58 ,  0.71 ,  0.88 ,  0.96 ,  1.13 ,  1.11 ,  0.88 
BKI         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BLA         ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BLAND       ,  5.61 ,  6.98 ,  2.13 ,  1.65 ,  1.02 ,  0.89 ,  0.34 ,  0.19 ,  0.16 ,  0.12 ,  0.11 ,  0.12 ,  0.06 ,  0.14 
BLISS       ,,,  0.90 ,  1.22 ,  2.14 ,  0.59 ,  11.30 ,  20.49 ,  0.86 ,  0.89 ,  2.21 ,  0.50 ,  0.82 ,  0.00 
BOL         ,,,  -   ,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.16 ,  0.11 ,  0.00 ,  -   
BRC         ,  8.34 ,  (1.20),  (1.19),  (1.12),  (1.12),  (1.47),  (1.52),  (1.42),  (0.79),  (0.70),  (1.36),  (1.44),  (0.79),  (0.87)
BROCK       ,,,,,,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.00 ,  0.00 ,  0.00 
