,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
JCT         ,  -   ,  0.35 ,  2.00 ,  2.00 ,  2.50 ,  4.50 ,  4.50 ,  4.50 ,  3.50 ,  3.60 ,  4.00 ,  4.20 ,  5.00 ,  4.00 
JMART       ,,,,,,,,  0.18 ,  0.19 ,  0.31 ,  0.43 ,  0.46 ,  0.48 ,  0.47 
JTS         ,,,,,  0.30 ,  0.09 ,  -   ,  0.06 ,  0.08 ,  -   ,  0.05 ,,,
JUBILE      ,,,,,,,,  0.21 ,  0.35 ,  0.52 ,  0.60 ,  0.70 ,  0.71 ,  0.46 
JUTHA       ,  -   ,  -   ,  -   ,  -   ,  0.75 ,  0.40 ,  -   ,  0.10 ,  -   ,  -   ,  -   ,,,
KAMART      ,  -   ,  -   ,  0.16 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.21 ,  0.24 ,  0.24 ,  0.26 
KASET       ,,,,  -   ,  0.02 ,  0.03 ,  0.22 ,  0.04 ,  0.04 ,  -   ,  -   ,,,
KBANK       ,  -   ,  -   ,  1.00 ,  1.25 ,  1.75 ,  2.00 ,  2.00 ,  2.50 ,  2.50 ,  2.50 ,  3.00 ,  3.50 ,  4.00 ,  4.00 
KBS         ,,,,,,,,,,  0.65 ,  0.65 ,  0.50 ,  0.30 ,  0.10 
KC          ,,  -   ,  -   ,  0.07 ,  0.06 ,  0.03 ,  -   ,  0.02 ,  -   ,  -   ,  0.02 ,,  0.02 ,
KCAR        ,,,,  0.39 ,  0.44 ,  0.50 ,  0.25 ,  0.57 ,  0.74 ,  0.76 ,  0.82 ,  0.63 ,  0.47 ,  0.45 
KCE         ,  0.16 ,  0.12 ,  0.08 ,  -   ,  -   ,  0.08 ,  -   ,  0.15 ,  0.44 ,  0.20 ,  0.53 ,  0.75 ,  1.10 ,  1.50 
KDH         ,  2.73 ,  1.96 ,  1.96 ,  1.72 ,  0.98 ,,  0.49 ,  0.49 ,  0.49 ,  1.96 ,  -   ,,,
KGI         ,  -   ,  0.10 ,  0.10 ,  -   ,  0.07 ,  0.12 ,  0.08 ,  0.10 ,  0.33 ,  0.25 ,  0.23 ,  0.36 ,  0.37 ,  0.29 
KIAT        ,,,,,,,,,  0.05 ,  0.04 ,  0.05 ,  0.35 ,  0.12 ,  0.04 
KKC         ,  -   ,  0.60 ,  0.48 ,  0.27 ,  -   ,  -   ,  -   ,  -   ,  0.34 ,  -   ,  0.17 ,,  0.50 ,  0.15 
KSL         ,,,,  0.06 ,  0.08 ,  0.08 ,  0.08 ,  0.06 ,  0.03 ,  0.19 ,  0.20 ,  0.35 ,  0.08 ,  0.06 
KTB         ,  0.24 ,  0.44 ,  0.44 ,  0.47 ,  0.48 ,  0.28 ,  0.41 ,  0.38 ,  0.48 ,  0.58 ,  0.73 ,  0.88 ,  0.90 ,  0.76 
KTC         ,  0.35 ,  0.70 ,  1.31 ,,  1.00 ,  1.20 ,  1.00 ,  -   ,  0.45 ,  -   ,  0.40 ,  2.00 ,  2.75 ,  3.25 
KTECH       ,,,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
KTP         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
KWC         ,  1.00 ,  1.50 ,  1.75 ,  1.75 ,  1.75 ,  1.90 ,  1.90 ,  2.50 ,  3.50 ,  4.20 ,  5.00 ,  5.50 ,  5.50 ,  5.50 
KYE         ,  3.55 ,  4.65 ,  1.60 ,  4.50 ,  4.81 ,  0.56 ,  1.60 ,  9.70 ,  21.25 ,  14.25 ,  15.82 ,  19.55 ,  11.50 ,  21.07 
L&E         ,,,,,,,,,,,,  0.05 ,  0.18 ,  0.09 
LALIN       ,  0.03 ,  0.33 ,  0.30 ,  0.34 ,  0.24 ,  0.06 ,  0.09 ,  0.14 ,  0.19 ,  0.18 ,  0.18 ,  0.25 ,  0.27 ,  0.23 
LANNA       ,  -   ,  0.07 ,  0.61 ,  0.23 ,  0.31 ,  0.43 ,  0.53 ,  0.67 ,  0.70 ,  1.20 ,  0.67 ,  0.75 ,  0.75 ,  0.75 
LEE         ,  0.23 ,  0.19 ,  0.14 ,  0.20 ,  0.30 ,  0.26 ,  0.12 ,  0.36 ,  0.21 ,  0.21 ,  0.21 ,  0.22 ,  0.17 ,  0.12 
LH          ,  0.17 ,  0.44 ,  0.60 ,  0.50 ,  0.32 ,  0.37 ,  0.27 ,  0.34 ,  0.34 ,  0.40 ,  0.45 ,  0.40 ,  0.65 ,  0.60 
LHBANK      ,,,,,,,,,,  0.00 ,  0.01 ,  0.03 ,  0.00 ,  0.03 
LHK         ,,,,,,,  0.07 ,  -   ,  0.15 ,  0.22 ,  0.24 ,  0.34 ,  0.21 ,  0.24 
LOXLEY      ,  -   ,  0.10 ,  0.05 ,  -   ,  0.05 ,  -   ,  -   ,  -   ,  0.05 ,  0.07 ,  0.10 ,  0.10 ,  0.10 ,  0.05 
LPN         ,  0.08 ,  0.20 ,  0.22 ,  0.22 ,  0.26 ,  0.32 ,  0.41 ,  0.50 ,  0.56 ,  0.65 ,  0.76 ,  0.84 ,  0.80 ,  0.90 
LRH         ,  1.06 ,  0.47 ,  0.47 ,  -   ,  0.59 ,  2.80 ,  2.20 ,  2.20 ,  10.00 ,  -   ,  0.13 ,  0.34 ,  0.13 ,  0.36 
LST         ,  0.09 ,  0.18 ,  0.07 ,  0.03 ,  0.20 ,  0.10 ,  0.20 ,  0.25 ,  0.15 ,  0.08 ,  0.20 ,  0.20 ,  0.20 ,  0.15 
LTX         ,  2.75 ,  2.50 ,  2.50 ,  2.50 ,  2.50 ,  2.50 ,  2.50 ,  2.50 ,  3.13 ,  3.50 ,  2.50 ,  2.50 ,  2.50 ,  1.88 
LVT         ,,,  0.03 ,  0.20 ,  -   ,  0.14 ,  0.29 ,  0.21 ,  -   ,  -   ,  -   ,,,
MACO        ,,,,,,,,,,,,  0.50 ,  0.26 ,  0.05 
MAJOR       ,  0.05 ,  0.60 ,  0.05 ,  0.64 ,  0.82 ,  1.05 ,  0.64 ,  0.33 ,  0.76 ,  0.82 ,  0.87 ,  1.00 ,  1.05 ,  1.15 
MAKRO       ,  0.18 ,  0.13 ,  0.14 ,  0.45 ,  0.28 ,  0.26 ,  0.33 ,  0.29 ,  0.35 ,  0.53 ,  0.63 ,  0.80 ,  0.77 ,  0.85 
MALEE       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.50 ,  1.05 ,  1.11 ,  1.20 
MANRIN      ,  0.81 ,  0.85 ,  0.81 ,  1.42 ,  1.54 ,  0.57 ,  -   ,  -   ,  0.50 ,  -   ,  -   ,,,
MATCH       ,,,,  -   ,  -   ,  -   ,  0.10 ,  -   ,  0.02 ,  0.09 ,  0.06 ,  0.10 ,  0.06 ,
MATI        ,  0.30 ,  0.45 ,  0.30 ,  0.32 ,  0.32 ,  0.41 ,  0.36 ,  0.25 ,  0.30 ,  0.25 ,  0.35 ,  0.40 ,  0.25 ,
MAX         ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
MBAX        ,,,,,,  0.38 ,  0.11 ,  0.08 ,  -   ,  -   ,  0.22 ,  0.10 ,  0.30 ,  0.50 
MBK         ,  0.23 ,  0.28 ,  0.30 ,  0.35 ,  0.33 ,  0.40 ,  0.40 ,  0.45 ,  0.50 ,  0.50 ,  0.55 ,  5.75 ,  0.60 ,  0.63 
MBKET       ,,  0.76 ,  1.43 ,  1.18 ,  0.87 ,  0.88 ,  0.80 ,  1.25 ,  1.43 ,  1.17 ,  1.25 ,  2.48 ,  1.65 ,  1.79 
M-CHAI      ,  1.25 ,  1.10 ,  1.00 ,  1.50 ,  1.50 ,  1.10 ,  1.50 ,  1.60 ,  2.10 ,  2.67 ,  3.70 ,  3.87 ,  3.00 ,  4.20 
MCOT        ,,,  0.59 ,  1.30 ,  1.60 ,  1.29 ,  1.60 ,  1.80 ,  1.90 ,  2.00 ,  2.30 ,  2.11 ,  0.55 ,  0.08 
MCS         ,,,,  0.30 ,  0.35 ,  0.33 ,  0.30 ,  0.60 ,  0.80 ,  0.50 ,  0.18 ,  0.20 ,  0.20 ,  0.70 
MDX         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
METCO       ,  10.00 ,  14.00 ,  15.50 ,  13.00 ,  9.00 ,  10.00 ,  8.00 ,  4.75 ,  16.15 ,  7.60 ,  2.85 ,  3.00 ,  9.00 ,  18.00 
MFC         ,  0.07 ,  0.10 ,  1.40 ,  0.70 ,  0.60 ,  0.70 ,  0.70 ,  0.85 ,  2.90 ,  2.00 ,  1.70 ,  2.50 ,  1.70 ,  1.65 
MFEC        ,,  0.23 ,  0.36 ,  0.33 ,  0.35 ,  0.50 ,  0.45 ,  0.33 ,  0.45 ,  0.33 ,  0.33 ,  0.45 ,  0.50 ,  0.33 
MIDA        ,,  0.10 ,  0.17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.01 ,  0.01 ,
MILL        ,,,,,,,  0.02 ,  -   ,  0.03 ,  -   ,  -   ,  0.00 ,,  0.02 
MINT        ,  0.10 ,  0.07 ,  0.08 ,  0.10 ,  0.11 ,  0.12 ,  0.24 ,  0.12 ,  0.12 ,  0.12 ,  0.29 ,  0.35 ,  0.25 ,  0.35 
MJD         ,,,,,,  0.25 ,  0.30 ,  0.30 ,  -   ,  -   ,  -   ,,,
MK          ,  -   ,  0.02 ,  0.18 ,  0.20 ,  0.14 ,  0.14 ,  0.15 ,  0.25 ,  0.25 ,  0.18 ,  0.20 ,  0.30 ,  0.35 ,  0.25 
ML          ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.01 ,  0.01 ,  0.03 
MODERN      ,  0.20 ,  0.23 ,  0.28 ,  0.30 ,  0.30 ,  0.29 ,  0.32 ,  0.29 ,  0.43 ,  0.39 ,  0.45 ,  0.55 ,  1.00 ,  1.00 
MOONG       ,,,,,,,,  0.08 ,  0.16 ,  0.17 ,  0.17 ,  0.20 ,  0.30 ,  0.15 
MPIC        ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.05 ,  -   ,,,
MSC         ,  0.10 ,  0.10 ,  0.13 ,  0.24 ,  0.33 ,  0.24 ,  0.20 ,  0.10 ,  0.20 ,  0.25 ,  0.35 ,  0.30 ,  0.30 ,  0.30 
MTI         ,,,,,,,  -   ,  2.65 ,  4.00 ,  0.75 ,  -   ,  5.24 ,  5.80 ,  6.30 
NBC         ,,,,,,,,,  0.24 ,  0.16 ,  0.10 ,  0.06 ,  0.08 ,  0.08 
NC          ,  -   ,  0.25 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.35 ,  0.70 ,  0.75 ,  0.75 ,  0.45 ,  0.40 ,  0.20 
NCH         ,,,  0.08 ,  0.05 ,  -   ,  -   ,  -   ,  0.02 ,  0.03 ,  0.07 ,  0.03 ,  0.03 ,  0.04 ,  0.01 
NEP         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
NEW         ,  -   ,  -   ,  -   ,  -   ,  0.07 ,  0.17 ,  0.05 ,  0.25 ,  0.15 ,  -   ,  0.20 ,  0.30 ,  0.35 ,  0.50 
NFC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
NINE        ,,,,,,,,,  0.09 ,  0.09 ,  0.09 ,  0.10 ,  0.07 ,  0.02 
NKI         ,  1.50 ,  1.50 ,  1.65 ,  2.95 ,  2.95 ,  3.64 ,  3.18 ,  3.18 ,  3.18 ,  -   ,  0.91 ,  3.00 ,  3.00 ,  2.00 
NMG         ,  -   ,  0.03 ,  0.03 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.03 ,  0.03 
NNCL        ,,,  0.06 ,  0.12 ,  0.16 ,  0.15 ,  0.04 ,  0.03 ,  0.07 ,  -   ,  0.08 ,  0.10 ,,
NOBLE       ,  0.15 ,  0.42 ,  0.19 ,  0.27 ,  0.21 ,  0.16 ,  0.25 ,  0.36 ,  0.45 ,  0.30 ,  0.30 ,  0.30 ,  0.10 ,
NPK         ,,,,,,,,,,  -   ,  0.30 ,  0.15 ,  0.15 ,  0.20 
NSI         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.00 ,  1.00 ,  6.50 ,  6.00 ,  9.00 
NTV         ,  0.25 ,  0.39 ,  0.44 ,  0.45 ,  0.54 ,  0.58 ,  0.65 ,  0.66 ,  0.73 ,  0.61 ,  0.93 ,  0.91 ,  1.00 ,  1.12 
NUSA        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
NWR         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.11 ,,,
OCC         ,  0.50 ,  0.50 ,  0.45 ,  0.55 ,  0.55 ,  0.45 ,  0.50 ,  0.55 ,  0.60 ,  0.70 ,  0.80 ,  0.80 ,  0.75 ,  0.70 
OGC         ,  6.08 ,  4.23 ,  4.23 ,  4.33 ,  3.29 ,  3.15 ,  1.40 ,  0.85 ,  2.21 ,  1.35 ,  -   ,,  1.10 ,  3.13 
OHTL        ,  15.00 ,  14.00 ,  20.00 ,  21.00 ,  23.00 ,  25.00 ,  23.00 ,  8.00 ,  6.50 ,  9.00 ,  16.00 ,  22.00 ,  13.00 ,  12.00 
OISHI       ,,,  1.00 ,  1.70 ,  0.52 ,  2.70 ,  3.00 ,  3.20 ,  3.20 ,  2.20 ,  2.20 ,  1.30 ,  1.60 ,  2.00 
PAE         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
PAF         ,  0.46 ,  0.46 ,  0.49 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.02 
PAP         ,,,  0.02 ,  -   ,  0.22 ,  0.09 ,  0.17 ,  0.12 ,  0.18 ,  0.27 ,  0.25 ,  0.40 ,  0.16 ,
PATO        ,  0.02 ,  0.03 ,  0.02 ,  0.04 ,  0.04 ,  0.05 ,  0.08 ,  0.95 ,  1.12 ,  1.08 ,  0.60 ,  0.92 ,  0.92 ,  0.70 
PB          ,  0.08 ,  0.11 ,  0.12 ,  0.17 ,  0.31 ,  0.31 ,  0.45 ,  0.57 ,  0.69 ,  0.91 ,  0.95 ,  1.05 ,  1.16 ,  1.45 
PDI         ,  -   ,  -   ,  0.40 ,  1.10 ,  5.20 ,  2.74 ,  0.82 ,  0.92 ,  1.29 ,  0.50 ,  -   ,  0.30 ,  0.40 ,  0.20 
PE          ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
PERM        ,,,,  0.08 ,  0.03 ,  -   ,  -   ,  -   ,  0.05 ,  0.04 ,  0.05 ,,  0.05 ,
PF          ,  -   ,  -   ,  0.06 ,  0.05 ,  -   ,  0.03 ,  0.05 ,  0.04 ,  0.05 ,  0.04 ,  0.03 ,,  0.04 ,  0.03 
PG          ,  0.39 ,  0.43 ,  0.60 ,  0.86 ,  0.90 ,  0.83 ,  0.54 ,  0.60 ,  0.60 ,  0.60 ,  0.60 ,  0.45 ,  0.37 ,  0.70 
PHOL        ,,,,,,,,,  0.08 ,  0.17 ,  0.11 ,  0.23 ,  0.20 ,  0.20 
PICO        ,,,  0.03 ,  0.17 ,  0.20 ,  0.16 ,  0.20 ,  -   ,  -   ,  0.08 ,  0.10 ,  0.10 ,  0.20 ,  0.22 
PL          ,  0.01 ,  0.02 ,  0.02 ,  0.21 ,  0.21 ,  0.33 ,  0.28 ,  0.35 ,  0.37 ,  0.33 ,  0.37 ,  0.28 ,  0.17 ,  0.17 
PLE         ,  0.02 ,  0.27 ,  0.42 ,  0.27 ,  0.18 ,  0.19 ,  -   ,  -   ,  -   ,  0.04 ,  0.08 ,  0.10 ,  0.05 ,
PM          ,,,,,,,  -   ,  0.16 ,  0.15 ,  0.22 ,  0.34 ,  0.50 ,  0.63 ,  0.58 
POMPUI      ,  -   ,  0.50 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
POST        ,  0.20 ,  0.20 ,  0.30 ,  0.24 ,  0.16 ,  0.06 ,  0.06 ,  -   ,  0.14 ,  0.10 ,  0.16 ,  0.24 ,,
PPM         ,,,  0.15 ,  0.08 ,  0.50 ,  0.11 ,  0.04 ,  0.04 ,  0.11 ,  0.10 ,  0.11 ,  0.10 ,  0.06 ,  0.03 
PR          ,  0.51 ,  0.48 ,  0.45 ,  0.49 ,  0.57 ,  0.48 ,  0.68 ,  1.06 ,  1.09 ,  1.41 ,  1.56 ,  1.59 ,  1.88 ,  1.95 
PRANDA      ,  0.52 ,  0.59 ,  0.75 ,  0.66 ,  0.68 ,  0.55 ,  0.40 ,  0.53 ,  0.50 ,  0.60 ,  0.60 ,  0.20 ,  0.15 ,  0.05 
PREB        ,,,,  0.13 ,  -   ,  -   ,  0.03 ,  0.03 ,  0.07 ,  0.11 ,  0.03 ,  0.40 ,  0.60 ,  0.50 
PRECHA      ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.12 ,  0.05 ,  0.05 ,  0.05 ,  0.05 ,,
PRG         ,  0.10 ,  0.25 ,  0.13 ,  0.25 ,  0.23 ,  0.30 ,  0.28 ,  0.33 ,  0.38 ,  0.45 ,  0.43 ,  4.50 ,  0.50 ,  0.53 
PRIN        ,,,,  0.07 ,  0.11 ,  0.02 ,  -   ,  0.12 ,  0.11 ,  0.05 ,  0.10 ,  0.02 ,  0.05 ,  0.05 
PRO         ,,,  0.02 ,  0.01 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
PS          ,,,,  0.18 ,  0.20 ,  0.22 ,  0.33 ,  0.55 ,  0.50 ,  0.40 ,  0.50 ,  0.85 ,  1.00 ,  1.75 
PSL         ,  -   ,  0.48 ,  0.95 ,  1.14 ,  1.55 ,  1.72 ,  2.14 ,  0.46 ,  0.17 ,  0.11 ,  0.08 ,  0.40 ,  0.10 ,
PT          ,  -   ,  -   ,  -   ,  -   ,  0.10 ,  -   ,  0.10 ,  0.10 ,  0.15 ,  0.20 ,  0.15 ,  0.40 ,  0.40 ,  0.40 
PTL         ,,,,  0.35 ,  0.28 ,  0.17 ,  0.80 ,  0.46 ,  0.76 ,  1.34 ,  0.17 ,  0.14 ,,  0.10 
PTT         ,  2.80 ,  3.93 ,  6.62 ,  9.25 ,  10.49 ,  11.48 ,  2.00 ,  8.49 ,  10.23 ,  7.00 ,  13.00 ,  13.00 ,  11.00 ,  10.00 
PTTEP       ,  1.35 ,  1.35 ,  1.80 ,  2.70 ,  3.20 ,  3.27 ,  5.41 ,  2.68 ,  5.03 ,  5.40 ,  5.34 ,  6.00 ,  4.50 ,  3.00 
PTTGC       ,,,,,,,,,,  1.30 ,  2.45 ,  3.40 ,  2.37 ,  2.80 
PYLON       ,,,,  0.02 ,  0.01 ,  0.03 ,  0.02 ,  0.10 ,  0.06 ,  0.16 ,  0.02 ,  0.30 ,  0.50 ,  0.53 
Q-CON       ,,,  0.25 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.05 ,  0.08 ,  0.32 ,  0.25 ,  0.14 ,  0.14 
QH          ,  0.05 ,  0.07 ,  0.06 ,  0.05 ,  0.07 ,  0.06 ,  0.06 ,  0.09 ,  0.09 ,  0.01 ,  0.10 ,  0.16 ,  0.09 ,  0.14 
QLT         ,,,,,,,,  0.23 ,  0.32 ,  0.27 ,  0.50 ,  0.65 ,  0.70 ,  0.65 
QTC         ,,,,,,,,,,  0.19 ,  0.31 ,  0.21 ,  0.18 ,  0.32 
RAM         ,  5.00 ,  6.00 ,  10.00 ,  10.00 ,  11.00 ,  12.00 ,  12.00 ,  12.00 ,  12.00 ,  12.00 ,  12.00 ,  12.00 ,  12.00 ,  12.00 
RATCH       ,  1.50 ,  1.75 ,  2.00 ,  2.00 ,  2.10 ,  2.10 ,  2.20 ,  2.25 ,  2.25 ,  2.25 ,  1.17 ,  2.27 ,  2.27 ,  2.27 
RCI         ,  -   ,  0.09 ,  0.18 ,  0.05 ,  0.09 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
RCL         ,  0.40 ,  0.45 ,  2.00 ,  2.50 ,  1.50 ,  1.50 ,  -   ,  -   ,  -   ,  -   ,  -   ,,  0.10 ,  0.05 
RICH        ,,,,,  0.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
RML         ,  -   ,  -   ,  0.04 ,  0.05 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  0.06 
ROBINS      ,  -   ,  -   ,  -   ,  -   ,  0.32 ,  0.40 ,  0.40 ,  0.42 ,  0.62 ,  0.65 ,  0.90 ,  0.90 ,  0.90 ,  1.00 
ROCK        ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.30 ,  0.15 ,  -   ,  0.61 ,  -   ,  0.30 ,,,  0.50 
ROH         ,  1.81 ,  0.86 ,  2.30 ,  2.53 ,  2.62 ,  1.74 ,  0.80 ,  -   ,  -   ,  -   ,  0.60 ,  0.60 ,,
ROJNA       ,  0.19 ,  0.29 ,  0.49 ,  0.79 ,  0.96 ,  0.97 ,  0.26 ,  0.53 ,  0.67 ,  0.19 ,  0.30 ,  0.30 ,  0.02 ,  0.45 
RPC         ,,  0.02 ,  0.44 ,  0.30 ,  0.29 ,  0.35 ,  0.13 ,  -   ,  0.10 ,  0.04 ,  -   ,,,
RS          ,,  -   ,  -   ,  -   ,  0.15 ,  -   ,  -   ,  -   ,  0.19 ,  0.15 ,  0.24 ,  0.35 ,  0.30 ,  0.10 
S & J       ,  0.37 ,  0.44 ,  0.49 ,  0.49 ,  0.54 ,  0.62 ,  0.83 ,  0.82 ,  0.90 ,  1.00 ,  0.80 ,  0.80 ,  0.85 ,  1.00 
SABINA      ,,,,,,,  0.13 ,  0.07 ,  0.26 ,  0.03 ,  0.12 ,  0.13 ,  0.17 ,  0.19 
SAFARI      ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
SALEE       ,,,,  0.00 ,  0.01 ,  -   ,  0.01 ,  0.03 ,  0.05 ,  0.03 ,  0.02 ,  0.02 ,  0.35 ,  0.02 
SAM         ,,,  -   ,  -   ,  -   ,  -   ,  0.09 ,  -   ,  -   ,  -   ,  0.19 ,  0.10 ,,
SAMART      ,  -   ,  -   ,  -   ,  0.30 ,  0.42 ,  0.36 ,  0.10 ,  0.24 ,  0.39 ,  0.51 ,  0.40 ,  0.80 ,  0.85 ,  0.50 
SAMCO       ,  0.12 ,  0.14 ,  0.09 ,  0.10 ,  0.05 ,  0.06 ,  0.07 ,  0.10 ,  0.10 ,  0.02 ,  0.05 ,  0.07 ,  0.15 ,  0.12 
SAMTEL      ,  -   ,  -   ,  0.03 ,  0.28 ,  0.32 ,  0.10 ,  0.10 ,  0.25 ,  0.40 ,  0.66 ,  0.70 ,  0.75 ,  0.65 ,  0.40 
SAT         ,,,,  0.32 ,  0.35 ,  0.49 ,  0.21 ,  -   ,  0.68 ,  0.36 ,  0.58 ,  0.75 ,  0.60 ,  0.60 
SAUCE       ,  0.53 ,  0.85 ,  0.85 ,  0.80 ,  0.85 ,  0.87 ,  0.88 ,  1.01 ,  1.05 ,  1.22 ,  1.33 ,  1.35 ,  1.10 ,  1.15 
SAWANG      ,  0.60 ,  0.70 ,  1.30 ,  1.00 ,,  -   ,  -   ,  0.50 ,  -   ,  0.50 ,  0.25 ,,,
SC          ,,  -   ,  0.04 ,  0.03 ,  0.04 ,  0.05 ,  0.06 ,  0.07 ,  0.11 ,  0.10 ,  0.03 ,  0.12 ,  0.08 ,  0.18 
SCAN        ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.75 ,  -   ,  -   ,  -   ,  -   ,,,,
SCB         ,  -   ,  1.44 ,  2.02 ,  3.00 ,  2.00 ,  2.00 ,  2.00 ,  2.50 ,  3.00 ,  3.50 ,  3.50 ,  5.25 ,  6.00 ,  5.50 
SCC         ,  3.00 ,  6.00 ,  15.00 ,  15.00 ,  15.00 ,  15.00 ,  7.50 ,  8.50 ,  12.50 ,  12.50 ,  11.00 ,  15.50 ,  12.50 ,  16.00 
SCCC        ,  8.00 ,  9.00 ,  12.35 ,  13.30 ,  12.95 ,  13.56 ,  10.65 ,  10.65 ,  11.00 ,  13.00 ,  13.00 ,  15.00 ,  15.00 ,  15.00 
SCG         ,,,  0.30 ,  0.30 ,  0.30 ,  0.30 ,  0.15 ,  0.17 ,  0.18 ,  0.15 ,  0.18 ,  0.20 ,  0.18 ,  0.10 
SCP         ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.03 ,  0.02 ,  0.02 ,  0.04 ,  0.11 ,  0.30 ,  0.40 ,  0.40 
SEAFCO      ,,,  0.12 ,  0.10 ,  0.25 ,  0.04 ,  -   ,  0.04 ,  -   ,  -   ,  0.02 ,  0.20 ,  0.29 ,  0.25 
SE-ED       ,  0.38 ,  0.37 ,  0.23 ,  0.49 ,  0.48 ,  0.46 ,  0.49 ,  0.55 ,  0.60 ,  0.34 ,  0.37 ,  0.18 ,  0.18 ,  0.12 
SENA        ,,,,,,,,  0.12 ,  0.14 ,  0.14 ,  0.13 ,  0.15 ,  0.02 ,  0.10 
SF          ,,,  0.11 ,  0.04 ,  0.14 ,  0.10 ,  -   ,  0.07 ,  0.09 ,  0.01 ,  0.01 ,  0.01 ,  0.02 ,  0.15 
SFP         ,  5.00 ,  4.50 ,  0.75 ,  2.50 ,  0.30 ,  -   ,  10.00 ,  4.00 ,  -   ,  4.00 ,  8.00 ,  15.00 ,,
SGF         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
SGP         ,,,,,,,  0.40 ,  0.48 ,  0.48 ,  0.44 ,  0.39 ,  0.60 ,  0.35 ,  0.50 
SHANG       ,  1.00 ,  1.00 ,  1.50 ,  2.50 ,  2.00 ,  2.00 ,  1.00 ,  0.75 ,  0.75 ,  0.75 ,  0.75 ,  3.00 ,  0.75 ,  2.00 
SIAM        ,  -   ,  -   ,  -   ,  -   ,  0.40 ,  0.11 ,  0.18 ,  0.04 ,  0.02 ,  0.16 ,  0.19 ,,,  0.01 
SIM         ,,  0.00 ,  0.01 ,  0.00 ,  0.01 ,  0.01 ,  0.05 ,  0.02 ,  0.02 ,  0.01 ,  0.03 ,  0.11 ,  0.09 ,  0.02 
SIMAT       ,,,,,,  0.03 ,  0.03 ,  0.02 ,  0.06 ,  0.01 ,  0.03 ,  0.01 ,,
SINGER      ,  0.41 ,  0.50 ,  0.35 ,  0.10 ,  -   ,  -   ,  -   ,  -   ,  0.10 ,  0.20 ,  0.30 ,  0.45 ,  0.53 ,  0.30 
SIRI        ,  -   ,  0.02 ,  0.03 ,  0.04 ,  0.02 ,  0.04 ,  0.06 ,  0.10 ,  0.02 ,  0.13 ,  0.15 ,  0.10 ,  0.12 ,  0.12 
SIS         ,,,  0.05 ,  0.08 ,  0.11 ,  0.19 ,  0.27 ,  0.31 ,  0.38 ,  0.11 ,  -   ,  0.20 ,  0.20 ,  0.30 
