,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BAY         ,  -   ,  -   ,  -   ,  0.80 ,  0.20 ,  -   ,  0.30 ,  0.33 ,  0.57 ,  0.70 ,  0.80 ,  0.80 ,  0.80 ,  0.80 
BBL         ,  -   ,  -   ,  1.75 ,  2.00 ,  2.75 ,  3.00 ,  3.00 ,  4.00 ,  5.00 ,  6.00 ,  6.50 ,  6.50 ,  6.50 ,  6.50 
BCP         ,  -   ,  -   ,  -   ,  0.30 ,  0.17 ,  0.30 ,  0.50 ,  0.80 ,  0.55 ,  1.65 ,  0.90 ,  1.35 ,  1.00 ,  2.00 
BEC         ,  0.09 ,  0.12 ,  0.90 ,  0.45 ,  0.75 ,  1.05 ,  1.35 ,  1.30 ,  1.65 ,  1.80 ,  2.25 ,  2.60 ,  2.00 ,  1.40 
BFIT        ,  0.15 ,  0.15 ,  0.15 ,  0.15 ,  0.15 ,  0.40 ,  0.20 ,  0.20 ,  0.20 ,,  0.30 ,  0.35 ,  0.35 ,  0.35 
BGT         ,,,,,,  0.01 ,  0.00 ,  0.04 ,  0.03 ,  0.02 ,  0.02 ,  0.01 ,,
BH          ,  -   ,  -   ,  0.68 ,  0.75 ,  0.75 ,  0.80 ,  0.80 ,  0.85 ,  0.90 ,  1.10 ,  1.80 ,  1.90 ,  1.95 ,  2.35 
BIGC        ,  0.45 ,  0.84 ,  1.14 ,  1.56 ,  1.56 ,  1.56 ,  1.63 ,  1.96 ,  1.96 ,  1.96 ,  2.21 ,  2.55 ,  2.62 ,  2.62 
BJC         ,  0.22 ,  0.38 ,  0.40 ,  0.35 ,  0.30 ,  0.36 ,  0.15 ,  0.21 ,  0.35 ,  0.45 ,  0.52 ,  0.84 ,  0.60 ,  0.84 
BKI         ,  3.38 ,  3.38 ,  4.40 ,  4.40 ,  5.41 ,  5.71 ,  5.71 ,  5.71 ,  7.92 ,  8.57 ,  6.61 ,  12.00 ,  12.00 ,  12.25 
BLA         ,,,,,,,,  0.11 ,  0.43 ,  0.51 ,  0.51 ,  0.91 ,  0.51 ,  0.64 
BLAND       ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 ,  0.03 ,  0.08 ,  0.05 
BLISS       ,,,  0.00 ,  0.03 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
BOL         ,,,  0.00 ,  0.00 ,  0.00 ,  0.06 ,  0.10 ,  0.09 ,  0.09 ,  0.09 ,  0.09 ,  0.09 ,  0.05 ,  0.06 
BRC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
BROCK       ,,,,,,  0.04 ,  0.04 ,  0.01 ,  0.01 ,  0.01 ,  0.00 ,,,  0.02 
BROOK       ,  -   ,  -   ,  -   ,  -   ,  0.00 ,  0.01 ,  -   ,  -   ,  0.02 ,  -   ,  0.02 ,  0.10 ,  0.09 ,  0.07 
