Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BANPU       ,  18.81 ,  13.22 ,  16.14 ,  24.95 ,  16.56 ,  23.66 ,  24.67 ,  32.01 ,  45.20 ,  29.31 ,  12.13 ,  4.18 ,  3.79 ,  (2.34)
BAT-3K      ,  14.54 ,  10.68 ,  15.33 ,  13.54 ,  9.78 ,  17.40 ,  (30.43),  21.53 ,  12.79 ,  13.46 ,  (16.94),  8.00 ,  12.48 ,  12.29 
BAY         ,  13.22 ,  13.42 ,  15.22 ,  16.67 ,  3.89 ,  (6.43),  6.00 ,  7.50 ,  9.19 ,  9.20 ,  13.55 ,  10.11 ,  11.22 ,  11.59 
BBL         ,  12.71 ,  14.40 ,  16.23 ,  15.98 ,  12.42 ,  12.23 ,  11.87 ,  11.17 ,  11.51 ,  11.53 ,  12.77 ,  12.61 ,  11.73 ,  9.98 
BCP         ,  15.21 ,  (33.99),  41.08 ,  25.84 ,  1.24 ,  8.85 ,  (3.66),  33.01 ,  10.66 ,  19.82 ,  13.81 ,  13.92 ,  2.09 ,  12.07 
BEC         ,  22.44 ,  29.81 ,  26.99 ,  14.89 ,  27.94 ,  35.89 ,  42.37 ,  36.95 ,  44.72 ,  47.56 ,  62.26 ,  66.11 ,  50.54 ,  35.94 
BFIT        ,  13.88 ,  12.83 ,  12.95 ,  17.71 ,  15.38 ,  5.41 ,  3.52 ,  1.26 ,  3.32 ,,  5.05 ,  5.31 ,  5.01 ,  5.01 
BGT         ,,,,,,  18.35 ,  18.55 ,  18.50 ,  20.93 ,  20.46 ,  9.97 ,  4.81 ,  (0.68),  1.68 
BH          ,  46.74 ,  72.92 ,  56.65 ,  45.03 ,  37.15 ,  42.06 ,  25.85 ,  24.10 ,  21.81 ,  24.81 ,  35.28 ,  28.03 ,  26.66 ,  29.09 
BIGC        ,  12.80 ,  12.57 ,  13.09 ,  14.27 ,  15.07 ,  16.55 ,  17.23 ,  15.82 ,  14.67 ,  23.86 ,  21.94 ,  20.25 ,  18.28 ,  15.54 
BJC         ,  10.57 ,  16.80 ,  15.40 ,  11.74 ,  10.26 ,  14.26 ,  11.63 ,  12.70 ,  17.51 ,  18.15 ,  18.36 ,  17.03 ,  11.21 ,  17.30 
BKI         ,  7.78 ,  7.75 ,  6.07 ,  5.54 ,  4.92 ,  5.35 ,  7.71 ,  8.24 ,  7.84 ,  0.29 ,  3.08 ,  7.94 ,  9.29 ,  7.50 
BLA         ,,,,,,,,  16.40 ,  30.82 ,  28.07 ,  19.66 ,  20.74 ,  11.13 ,  15.63 
BLAND       ,  (35.16),  (21.93),  26.22 ,  (19.31),  21.96 ,  2.04 ,  31.48 ,  7.26 ,  2.10 ,  3.05 ,  2.34 ,  6.96 ,  4.75 ,  2.59 
BLISS       ,,,  15.06 ,  12.98 ,  (70.15),  51.92 ,  (188.40),  (460.66),  101.89 ,  (84.93),  (116.74),  24.46 ,  2.22 ,  3.97 
BOL         ,,,  11.46 ,  10.46 ,  22.07 ,  29.75 ,  34.10 ,  31.81 ,  31.80 ,  35.41 ,  32.73 ,  31.85 ,  24.94 ,  17.18 
BRC         ,  (100.91),  383.10 ,  23.33 ,  1.96 ,  (2.00),  (2.30),  (7.73),  (4.09),  37.82 ,  34.25 ,  (7.29),  (6.25),  (6.75),  (8.34)
BROCK       ,,,,,,  6.97 ,  6.90 ,  1.49 ,  1.13 ,  1.06 ,  2.51 ,  (1.26),  0.99 ,  0.67 
BROOK       ,  (151.65),  7.52 ,  (19.26),  (15.00),  44.21 ,  10.22 ,  (12.75),  20.24 ,  34.37 ,  (6.48),  50.45 ,  28.36 ,  23.24 ,  51.87 
BSBM        ,,,,  (8.73),  12.22 ,  7.84 ,  6.38 ,  5.98 ,  7.91 ,  5.26 ,  (0.66),  5.40 ,  0.51 ,  (4.75)
BSM         ,,,,,,,  2.90 ,  12.31 ,  (13.27),  (5.60),  13.76 ,  23.08 ,  15.00 ,  7.38 
BTC         ,,  8.01 ,  10.45 ,  5.15 ,  (1.46),  (7.68),  (35.16),  (31.25),  (44.22),  (70.15),,  (108.37),  (61.70),  (16.56)
BTNC        ,  1.33 ,  2.51 ,  3.37 ,  3.42 ,  (5.06),  2.03 ,  0.81 ,  1.76 ,  4.47 ,  3.38 ,  0.58 ,  (0.01),  (1.22),  (1.83)
BTS         ,,,,  10.57 ,  1.66 ,  (197.20),  38.99 ,  0.55 ,  5.28 ,  1.44 ,  6.01 ,  5.93 ,  23.72 ,  5.42 
BUI         ,  9.67 ,  2.73 ,  8.06 ,  6.26 ,  2.96 ,  3.94 ,  4.33 ,  4.93 ,  4.86 ,  0.98 ,  (11.92),  5.97 ,  10.64 ,  6.91 
