Stock,กองทุนทดแทนความเสียหายในระบบการชำระราคาและส่งมอบหลักทรัพย์,กิจการที่เกี่ยวข้องกัน,ค่าความนิยม,ค่าความนิยม - สุทธิ,ค่าลิขสิทธิ์ซอฟแวร์,ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายรอตัดบัญชี,งานระหว่างทำ,จากการให้เช่าและบริการ,จากเงินปันผลและดอกเบี้ย,ดอกเบี้ยค้างรับ,ตราสารหนี้ที่จะถือจนครบกำหนด,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนโครงการพัฒนาอสังหาริมทรัพย์,ทรัพย์สินรอการขาย - สุทธิ,ที่ดิน อาคาร และอุปกรณ์,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,ที่ดิน อาคาร และอุปกรณ์ตามสัญญาเช่าการเงิน,บริษัทย่อย,บริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ภาระของลูกค้าจากการรับรอง,ภาษีซื้อที่ยังไม่ถึงกำหนด,ภาษีมูลค่าเพิ่มค้างรับ,ภาษีมูลค่าเพิ่มรอเรียกคืน,ภาษีเงินได้ระหว่างการขอคืน,ภาษีเงินได้หัก ณ ที่จ่าย,มูลค่างานที่เสร็จยังไม่ได้เรียกเก็บ,รวมสินทรัพย์,รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายได้ค้างรับ,รายได้จากการลงทุนค้างรับ,ลูกหนี้,ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้จากการขายเงินลงทุน,ลูกหนี้จากผลตอบแทนในสิทธิการเช่าอสังหาริมทรัพย์,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่นที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะสั้นอื่น - สุทธิ,ลูกหนี้สำนักหักบัญชี,ลูกหนี้อื่น - สุทธิ,วัตถุดิบ อะไหล่และวัสดุสิ้นเปลือง,สิทธิการเช่า - สุทธิ,สิทธิในการเรียกคืนหลักทรัพย์ / ภาระของลูกค้าจากการประกอบธุรกิจอื่น,สิทธิในสัมปทาน,สินค้าคงเหลือ,สินค้าระหว่างทาง,สินค้าสำเร็จรูป,สินทรัพย์,สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์ชีวภาพ,สินทรัพย์ชีวภาพ - สุทธิ,สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,สินทรัพย์ทางการเงิน,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ภายใต้สัญญาสัมปทาน,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ลงทุน,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,สินทรัพย์อื่น - สุทธิ,สินทรัพย์อื่น - อื่น ๆ,สินทรัพย์ไม่มีตัวตน - สุทธิ,สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่หมุนเวียน - อื่น ๆ,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนอื่น,ส่วนที่เพิ่มขึ้นจากการตีราคาที่ดิน อาคาร และอุปกรณ์,ส่วนที่เพิ่มขึ้นจากการตีสินทรัพย์ไม่มีตัวตน,ส่วนปรับปรุงที่ดิน อาคาร และอุปกรณ์,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หัก ค่าตัดจำหน่ายสะสมสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าของเงินลงทุน,หัก ค่าเผื่อการด้อยค่าค่าความนิยม,หัก ค่าเผื่อการด้อยค่าที่ดิน อาคาร และอุปกรณ์,หัก ค่าเผื่อการด้อยค่าสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าอสังหาริมทรัพย์เพื่อการลงทุน,หัก ค่าเผื่อการปรับมูลค่าจากการปรับโครงสร้างหนี้,หัก ค่าเผื่อการลดมูลค่าของสินค้าคงเหลือ,หัก ค่าเผื่อหนี้สงสัยจะสูญ,หัก ค่าเสื่อมราคาสะสมที่ดิน อาคาร และอุปกรณ์,หัก ค่าเสื่อมราคาสะสมอสังหาริทรัพย์เพื่อการลงทุน,หัก รายได้รอตัดบัญชี,อสังหาริมทรัพย์รอการขาย,อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,อื่น ๆ,เครื่องหมายการค้า,เงินค้างรับเกี่ยวกับการประกันภัยต่อ,เงินจ่ายล่วงหน้า,เงินทดรองจ่ายและเงินให้กู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างรับ,เงินฝากระยะยาวในสถาบันการเงิน,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้,เงินมัดจำ,เงินลงทุน - สุทธิ,เงินลงทุน - อื่น ๆ,เงินลงทุนซึ่งบันทึกโดยวิธีราคาทุน,เงินลงทุนที่จะถือจนครบกำหนด,เงินลงทุนระยะยาว,เงินลงทุนระยะสั้น,เงินลงทุนระยะสั้นที่มีภาระผูกพัน,เงินลงทุนอื่น,เงินลงทุนเผื่อขาย,เงินลงทุนเพื่อค้า,เงินลงทุนแสดงตามมูลค่ายุติธรรม,เงินลงทุนในบริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกันซึ่งบันทึกโดยวิธีส่วนได้เสีย,เงินลงทุนในหลักทรัพย์,เงินลงทุนในอสังหาริมทรัพย์,เงินวางไว้จากการประกันภัยต่อ,เงินสดและรายการเทียบเท่าเงินสด,เงินให้กู้ยืมระยะยาว - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมและลูกหนี้,เงินให้สินเชื่อ ลูกหนี้ และดอกเบี้ยค้างรับ - สุทธิ,เงินให้สินเชื่อแก่สถาบันการเงิน,เบี้ยประกันภัยค้างรับสุทธิ,โดยมีกรมธรรม์ประกันภัยเป็นประกัน,โดยมีทรัพย์สินจำนองเป็นประกัน,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย
CHOTI,,,,,,,,,,,,,,,,,,281.06,,,,,,,,,,,,,"2,052.59","1,586.43",466.16,,,,,189.46,,,,,,,,,,,,,"1,390.29",,,(หน่วย: ล้านบาท),,,,,,,,,,,44.02,,,,,,0.98,,,,0.12,,,,,,,,,,,,,,,,,,17.39,17.39,,,,,,,,,,,,,0.05,,0.05,,,,,,,122.53,,,,6.68,,,,,,,,,,,
EE,,,,,,,,,,,,,,,,,,140.14,,,,,,,,,,,,,"1,390.10",8.62,"1,381.48",,,,,,,,,,,4.91,,,,,,,0.03,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,0.61,0.61,,,,,,,46.81,,,,,,,,,,,,,,,,,,355.19,355.19,,,,,,,,,35.25,,,,,,,,,,,,,804.09,,,,3.06,,,,,,,,,,,
GFPT,,,1.29,1.29,21.11,,,,,,,,,,,,"8,012.60","8,012.60",,,,,,,,,,,,,"17,365.56","5,371.82","11,993.74",,,,,"1,013.27",,,,,,,,,,,,,"3,608.19",,,(หน่วย: ล้านบาท),,482.20,482.20,,,,,,,,383.79,,14.10,14.10,,,21.11,,66.90,,66.90,,,,,,,,,,,,,,,,,,354.07,354.07,,,,,,,,,,,,,,,,,,,,,,"2,671.77",,,,736.26,,,,,,,,,,,
LEE,,,,,,,,,,,,,,,,,691.43,691.43,,,9.18,,,,,,,,,,"2,989.21","2,210.79",778.42,,,,,213.42,,,,,,,,,,,,,682.69,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,13.30,,,,,,,,45.37,,,,,,,,,,,,,,,,,,14.00,14.00,,,,,,,,,,,,,27.61,,18.43,"1,259.85",,,,,,,,,,41.53,,,,,,,,,,,
STA,,,"2,953.78","2,953.78",,,,,,,,,,,,,,"24,189.69",,,,,810.54,,,,,,,,"59,707.78","28,349.37","31,358.42",,,,,"7,212.31",,,,,,810.54,,,,,,,"17,122.98",,,(หน่วย: ล้านบาท),,,"1,832.38",,407.94,,,,,,197.99,,553.70,,,,459.79,,640.43,,640.43,,,,,,,,,,,,,,,,,,188.91,188.91,,,,,,,,,12.14,,,,153.30,,153.30,,,,,,,730.00,,,,"2,241.90",,,,,,,,,,,
TLUXE,,,16.26,16.26,,,,,,,,,,,,,"1,494.46","1,494.46",,,,72.45,,,,,,,,,"3,929.95",908.28,"3,021.68",,,,,193.79,,,,,,,,,,,,,217.86,,,(หน่วย: ล้านบาท),,,,,,,,,,,39.78,,29.66,,,,123.47,,216.32,,398.17,,,,,,,,,,,,,,,,,,10.38,10.38,,,,181.85,,,,,7.80,,,,858.93,,858.93,418.69,,,,,,,,,,48.29,72.45,,,,,,,,,,
TRUBB,,,,,,,,,,,,,,,877.44,,"3,343.09","3,343.09",,,,,107.75,,,,,,,,"8,007.62","2,658.60","5,349.02",,,,,971.29,,,,,,107.75,,,,193.16,,,"1,306.34",,,(หน่วย: ล้านบาท),,,,,,,,,,,19.42,,83.06,,,,5.25,5.25,173.87,,210.41,,,,,,,,,,,,,,,,,,557.95,557.95,,,,36.55,,,,,10.00,,,,100.00,,100.00,,,,,,,32.30,,,,190.17,,,,,,,,,,,
TWPC,,,100.68,100.68,,,,,,,,,,,,,"2,561.42","2,561.42",,,,,,,,,,,,,"7,116.48","3,148.04","3,968.44",,,,,740.42,,,,,,,,,,,,,839.81,,,(หน่วย: ล้านบาท),,,,,,,,,,,3.36,,119.96,,,,543.30,,,,15.27,,,,,,,,,,,,,,,,,,160.81,160.81,,,,,,,,,65.53,,,,484.51,,484.51,620.77,,,,,,33.55,,,,827.07,,,,,,,,,,,
UPOIC,,,,,,,,,,,,,,,,,,878.76,,,31.59,,21.16,,,,,,,,"1,520.11",280.53,"1,239.58",,,,,51.09,,,,,,,,,,,,,106.27,,,(หน่วย: ล้านบาท),,,70.62,,,,,,,230.73,3.60,,11.18,,,,0.41,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,31.59,,,,,,,,,,,,,111.73,21.16,,,,,,,,,,
UVAN,,,17.29,17.29,,13.28,,,,,,,,,,,,"2,262.83",,,,,0.69,,,,,,,,"4,127.45","1,764.68","2,362.77",,,,,271.19,,,,,,,,,,,,,543.26,,,(หน่วย: ล้านบาท),,,,,,,,,,,54.05,,123.46,123.46,,,,,14.01,,27.92,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,826.77,0.69,,,,,,,,,,
VPO,,,,,,,,,,,,,,,,,,"1,211.09",,,,,,,,,,,,,"1,485.90",265.56,"1,220.34",,,,,16.22,,,,,,,,,,,,,248.28,,,(หน่วย: ล้านบาท),,,,,,,,,,,3.47,,,,,,2.24,,2.39,,2.39,,,,,,,,,,,,,,,,,,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,
APURE,,,,,16.54,,,,,,,,,,,,"1,262.02",845.20,3.51,,,3.07,0.65,,3.29,14.15,,,,,"1,642.39",769.71,872.68,,,,,170.51,,,,,,,,,,,,,189.94,,,(หน่วย: ล้านบาท),,,,,,,,,,,0.34,,113.86,45.04,,,1.23,,1.79,,1.79,,,,,15.31,,,,,,,,45.94,420.33,,,,,,,,,,24.60,,,,,51.38,,,23.47,,23.47,22.68,,,,,,0.00,,,,248.12,0.65,,,,,,,,,,
ASIAN,,,,,,,,,,,,,,,,,"2,659.56","2,659.56",,,,,,,,,,,,,"6,810.68","3,948.05","2,862.64",,,,,"1,190.89",,,,,,,,,,,,,"2,682.15",,,(หน่วย: ล้านบาท),,,,,,,,,,,95.11,,36.37,,,,42.81,,24.86,,24.86,,,,,,,,,,,,,,,,,,40.30,40.30,,,,,,,,,,,,,,,,,,,,,,,,,,38.64,,,,,,,,,,,
BR,,,"1,954.46","1,954.46",,,,,,,,,,,,,"3,373.80","3,373.80",,,,18.32,11.00,,,,,,,,"9,229.52","2,460.30","6,769.22",,,,,801.67,,,,,,,,,,,,,"1,244.26",,,(หน่วย: ล้านบาท),,109.24,109.24,,,,,,,,92.13,,116.70,116.70,,,703.97,,,,5.32,,,,,,,,,,,,,,,,,,60.23,60.23,,,,,,,,,,,,,102.93,,102.93,0.24,,,,,,337.83,,,,297.43,29.32,,,,,,,,,,
BRR,,,,,,,,,,,,,,,,,,"4,810.70",,,,,308.24,,,,,,,,"9,232.74","2,655.50","6,577.24",,,,,255.56,,,,,,868.43,,,,,,,"1,060.77",,,(หน่วย: ล้านบาท),,,,,,,,,,,194.43,,16.75,,,,26.23,,,,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,"1,227.13",,,,229.07,308.24,224.92,,,,,,,,,
CBG,,,535.47,535.47,,,,,,,,,,,,,"9,608.94","9,608.94",,,,,,,,,,,,,"12,519.92","2,159.20","10,360.72",,,,,959.86,,,,,,,,,,,,,656.27,,,(หน่วย: ล้านบาท),,,,,,,,,,,31.36,,389.17,389.17,,,67.01,,,,14.78,,,,,,,,,,,,,,,,,,103.16,103.16,,,,,,,,,,,,,,,,7.13,,,,,,,,,,146.77,,,,,,,,,,,
CFRESH,,,,,,,,,,,,,,,,,"1,111.52","1,111.52",,,,348.01,0.47,,,,25.82,,,,"5,615.65","4,020.25","1,595.40",,,,,"1,123.93",,,,,,0.47,,,,,,,"2,580.41",,"2,580.41",(หน่วย: ล้านบาท),,,,,,0.67,,,,,14.00,,78.78,52.96,,,15.01,,91.19,,91.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,,,236.66,348.01,,,,,,,,,,
CM,,37.50,,,9.53,,,,,,,,,,,,352.72,352.72,,,,,124.91,,,,,,,,"1,575.69","1,114.76",460.94,,,,,124.26,,,,,,,,,,,,,433.56,,433.56,(หน่วย: ล้านบาท),,,,,,,,,,,10.77,,,,,,9.53,,2.93,,28.29,,,,,,,,,,,,,0.66,,,,,22.13,22.13,,,,,,,,,,25.36,,,37.50,,,430.20,,,,,,,,,,126.74,,,,,,,,,,,
CPF,,"1,542.01",,"99,522.37",,"2,110.72",,,,,,,,,,,,"189,060.06",,,,2.70,,,,,,,,,"593,496.95","164,447.10","429,049.84",,,,,"36,133.67",,,,,,,,,,"7,869.99",,,"55,117.57",,,(หน่วย: ล้านบาท),,,"7,764.16",,,,,,,,"4,727.32",,"45,799.21","36,860.84",,,"16,484.69",,"3,225.19",,"3,225.19",,,,,,,,,,,,,,,,,,,"1,729.34",,,,"6,657.02",558.54,,170.63,,2.58,,,,"7,486.56",,34.40,"3,866.39",,,"5,910.16",,,"91,174.88",,,,"22,971.72",2.70,,,,,,,,,,
CPI,,,,,,6.82,,,,,,,,,,,"2,722.56","2,722.56",,,,,485.19,,,,,,,,"4,511.64","1,266.62","3,245.02",,,,,485.19,,,,,,,,,,,,,596.94,,596.94,(หน่วย: ล้านบาท),,,,,,,,,,,,,88.17,81.35,,,5.98,5.98,391.84,,516.47,,,,,,,,,,,,,,,,,,,,,,,124.01,,,,,,0.63,,,,,,,,,,,,,,,,96.32,,,,,,,,,,,
F&D,,,,,,,,,,,,,,,,,556.04,556.04,,,,,,,,,,,,,940.86,237.59,703.27,,,,,87.66,,,,,,,,,,,,,109.02,,,(หน่วย: ล้านบาท),,24.88,24.88,,,,,,,,,,26.48,,,,4.25,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,,,,,,,1.15,,,,,,115.69,,,,13.28,,,,,,,,,,,
HTC,,,,,,,,,,,,,,,,,"3,448.32","3,448.32",,,,,31.77,,,,,,,,"4,609.24",919.23,"3,690.02",,,,,536.03,,,,,,31.77,,,,,,,252.62,,,(หน่วย: ล้านบาท),,,,,,,,,,,0.34,,20.21,20.21,,,18.08,,,,16.89,,,,,,,,,,,,,,,,,,206.39,206.39,,,,,,,,,,,,,,,,17.00,,,,,,,,,,61.59,,,,,,,,,,,
ICHI,,,,,,,,,,,,,,,,,"6,808.97","6,808.97",,,,,26.19,,,,,,,,"8,626.30","1,573.10","7,053.20",,,,,670.68,,,,26.19,,55.63,,,,,,,736.83,,,(หน่วย: ล้านบาท),,,,,,,,,,,94.63,,0.11,,,,26.08,,1.39,,36.14,,,,,,,,,,,,,,,,,,,,,,,34.75,,,,,,,,,,,,,,,,,,61.20,,,,109.85,,,,,,,,,,,
KBS,,3.00,,,35.55,39.22,,,,,,,,,,,"10,101.43","6,513.10",,,,9.77,320.99,,,,222.52,,6.47,,"10,157.60","3,110.45","7,047.15",,,,,679.08,,,,320.99,,867.35,,,146.04,,,,"1,043.38",16.51,880.82,(หน่วย: ล้านบาท),,,,,3.79,,,,,,61.86,,284.28,16.07,,,131.68,146.39,9.85,,16.52,,,,,50.26,,,,,,,,,"3,588.33",,,,,,,,,6.68,,,,,,,,,3.00,,,,,,,,,,,,,232.57,,,,,,,,,,,
KSL,,,,,,,,,,,,,,,,,,"26,417.98",,,,,,,,,,,,,"46,509.42","9,631.73","36,877.68",,,,,"1,874.46",,,,92.95,,,,,,,,,"6,208.79",,,(หน่วย: ล้านบาท),,,,,,,,,,,20.18,,200.17,,,,46.40,,,,832.80,,,,,,,,,,,,,,,,,,,"4,924.30",,,,,"1,176.44",,,,,,,,381.72,,27.49,0.02,,,354.23,,,"3,753.36",,,,171.84,407.98,,,,,,,,,,
KTIS,,,,,,,,,,,,,,,,,"10,513.94","10,513.94",,,,,563.82,,,,,,,,"17,816.13","6,200.87","11,615.26",,,,,596.86,,,,,,563.82,,,,,,,"4,047.46",,,(หน่วย: ล้านบาท),,,,,,,,,,,297.79,,663.06,663.06,,,284.19,,,,197.89,,,,,,,,,,,,,,,,,,321.05,321.05,,,,,,,,,,,,,0.39,,0.39,,,,,,,,,,,329.66,,,,,,,,,,,
LST,,,196.38,196.38,,,,,,,,,,,,,"2,350.50","2,350.50",,,,,21.16,,,,,,,,"6,040.28","3,078.19","2,962.09",,,,,"1,105.30",,,,,,,,,,,,,"1,452.46",,,(หน่วย: ล้านบาท),,230.93,230.93,,,,,,,,52.01,,106.29,106.29,,,10.28,,,,4.54,,,,,,,,,,,,,,,,,,63.69,63.69,,,,,,,,,,,,,1.00,,1.00,,,,,,,31.59,,,,414.14,21.16,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,"4,012.25",,,,,,,,,,,,,"16,282.73","10,576.57","5,706.16",,,,,75.82,,,,,,,,,,266.39,,,350.35,,,(หน่วย: ล้านบาท),,,,,,,,,,,73.42,,404.66,,,,85.50,,,,399.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.00,,,793.72,,793.72,"9,336.13",,,,,,75.88,,,,409.62,,,,,,,,,,,
MALEE,,,,,,,,,,,,,,,,,,"2,071.16",,,,30.66,25.55,,,,,,,,"4,390.19","2,104.50","2,285.68",,,,,780.86,,,,,,132.61,,,,,,,"1,044.20",,,(หน่วย: ล้านบาท),,,,,,,,,,,40.46,,38.51,,,,36.53,,5.51,,37.85,,,,,,,,,,,,,5.94,,,,,,,,,,,,,,,21.00,32.33,,,,,,,,,,,,53.14,,,,100.47,25.55,7.86,,,,,,,,,
MINT,,,,,,"2,012.67",,,,,,,,,104.44,,"51,271.86","51,271.86",,,,"6,174.38","3,237.94",,,,,,,,"118,443.55","21,529.82","96,913.74",,,,,"8,261.57",,,,"3,237.94",,,,,,,,,"5,003.21",,,(หน่วย: ล้านบาท),,,,,,,,,,,805.41,,"1,233.64",,,,"19,664.82",,"1,792.90",,"3,805.57",,,,,,,,,,,,,,,,,,"1,189.71","1,189.71",,,,,,,,,,,,,30.01,,0.07,"1,695.24",,,29.94,,,"10,629.59",,,,"5,336.16","6,174.38",,,,,,,,,,
OISHI,,,,,,,,,,,,,,,,,"5,892.72","5,892.72",,,,,70.29,,,,,,,,"9,767.34","3,475.95","6,291.38",,,,,934.82,,,,,,70.29,,,,39.28,,,316.29,,,(หน่วย: ล้านบาท),,,,,,,,,,,57.48,,776.81,776.81,,,37.16,,,,264.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,377.74",,,,,,,,,,,
PB,,,,,,,,,,,,,,,,,"4,509.28","4,509.28",,,,,,,,,,,,,"7,997.33","2,619.79","5,377.53",,,,,894.01,,,,,,,,,,0.93,,,205.02,,,(หน่วย: ล้านบาท),,,,,,,,,,,5.95,,24.04,,,,10.58,,4.38,,6.76,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,36.35,,,,778.85,,778.85,811.65,,,,,,28.83,,,,685.08,,,,,,,,,,,
PM,,,,,,37.04,,,,,,,,,,,732.23,732.23,,,,,,,,,,,,,"2,553.07","1,475.79","1,077.28",,,,,777.82,,,,,,,,,,,,,407.16,,,(หน่วย: ล้านบาท),,,,,,,,,,,6.24,,26.37,,,,,,29.64,,66.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,272.01,,100.44,205.54,,,171.57,,,,,,,58.90,,,,,,,,,,,
PRG,,,,,19.82,9.45,,,,,,,,,,,729.65,221.91,,,,1.09,15.57,,,,7.19,,22.45,,"10,899.50",589.89,"10,309.61",,,,,251.54,,,,,,,,,144.96,,,,239.92,,97.39,(หน่วย: ล้านบาท),,,,,,,,,,,3.42,,57.05,14.80,,,8.44,,13.07,,357.07,,,,,11.26,,,21.97,0.12,,,2.44,2.00,485.76,84.80,,,129.41,44.61,,,,343.99,,,,,,3.15,,,"9,658.58",,3.41,,,,"9,655.18",,,,,,,38.27,15.57,3.11,,,,,,,,,
SAPPE,,,,,,,,,,,,,,,,,"1,048.12","1,048.12",,,,8.00,43.13,,,,,,,,"2,758.41","1,498.26","1,260.15",,,,,203.21,,,,,,43.13,,,,,,,176.19,,,(หน่วย: ล้านบาท),,,,,,,,,,,9.40,,6.84,,,,56.30,,,,4.40,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,905.21,,,,,,141.93,,,,155.68,,,,,,,,,,,
SAUCE,,,,,,,,,,,,,,,,,"1,133.92","1,133.92",,,,,12.74,,,,,,,,"2,610.40","1,213.90","1,396.50",,,,,298.20,,,,,,12.74,,,,,,,436.59,,,(หน่วย: ล้านบาท),,,,,,,,,,,14.15,,13.55,,,,8.60,,,,2.16,,,,,,,,,,,,,,,,,,189.90,189.90,,,,13.55,,,,,4.60,,,,20.55,,20.55,117.58,,,,,,22.61,,,,335.24,,,,,,,,,,,
SFP,,,,,,,,,,,,,,,,,623.46,623.46,,,,,3.99,,,,,,,,"2,890.68","1,649.95","1,240.73",,,,,182.53,,,,,,3.99,,,,,,,496.40,,,(หน่วย: ล้านบาท),,120.54,120.54,,,,,,,,37.74,,27.88,27.88,,,3.28,,,,8.80,,,,,,,,,,,,,,,,,,64.33,64.33,,,,,,,,,,,,,177.74,,,,,,177.74,,,204.85,,,,939.15,,,,,,,,,,,
SNP,,,,,,45.17,,,,,,,,,,,,"1,529.25",,,,4.96,36.56,,,,,,,,"3,970.32","1,669.78","2,300.54",,,,,276.25,,,,,,41.52,,,,69.88,,,317.53,,,(หน่วย: ล้านบาท),,,,,,,,,,,49.20,,61.97,16.80,,,38.53,,13.13,,293.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05,280.11,,,,,,176.09,,,,,,304.39,,,,796.42,,,,,,,,,,,
SORKON,,,,,,,,,,,,,,,,647.55,930.18,930.18,,,,,5.00,,,,,,,,"2,475.75",720.03,"1,755.73",,,,,418.20,,,,,,,,,,,,,160.68,,,(หน่วย: ล้านบาท),,18.85,18.85,,,,,,,,1.26,,59.64,59.64,,,14.61,,9.78,,136.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,127.00,,,,,,0.83,,,,,,,,,,80.68,5.00,,,,,,,,,,
SSC,,,,,,3.71,,,,,,,,,,,"8,577.73","8,577.73",,,,3.00,106.11,,,,,,,,"11,943.06","2,199.45","9,743.62",,,,,552.49,,,,,,485.58,,,,,,,716.29,,,(หน่วย: ล้านบาท),,,,,,,,,,,34.88,,51.59,47.88,,,20.91,,,,148.67,,,,,,,,,,,,,,,,,,313.58,313.58,,,,,,,,,0.51,,,,137.07,,137.07,,,,,,,507.26,,,,393.50,3.00,,,,,,,,,,
SSF,,,,,,,,,,,,,,,,,"2,199.46","2,199.46",,,,,60.73,,,,,,,,"3,625.45","1,227.48","2,397.97",,,,,234.17,,,,,,60.73,,,,,,,430.40,,,(หน่วย: ล้านบาท),,,,,,,,,,,9.15,,,,,,21.02,,,,20.81,,,,,,,,,,,,,,,,,,124.65,124.65,,,,,,,,,,,,,2.00,,2.00,,,,,,,20.88,,,,502.17,,,,,,,,,,,
SST,,,"1,896.04","1,896.04",,,,,,,,,,,,,"1,082.00","1,082.00",,,,,,,,,,,,,"6,190.45","1,103.68","5,086.77",,,,,152.29,,,,,,,,,,82.92,,,192.95,,,(หน่วย: ล้านบาท),,,,,,,,,,,10.14,,50.24,,,,833.13,,353.89,,502.01,,,,,,,,,,,,,,,,,,366.35,366.35,,,,,,,,,2.68,148.11,,,86.72,,,496.65,,,86.72,,,224.78,,,,211.55,,,,,,,,,,,
TC,,,,,,,,,,,,,,,,,437.49,437.49,,,,,1.75,,,,,,,,"2,267.99","1,648.90",619.09,,,,,741.89,,,,,,44.86,,,,,,,807.99,,,(หน่วย: ล้านบาท),,,,,,,,,,,36.35,,1.03,,,,,,,,1.56,,,,,,,,,,,,,,,,,,134.55,134.55,,,,,,,,,,,,,7.38,,7.38,,,,,,,,,,,51.93,1.75,1.20,,,,,,,,,
TFG,,,43.92,43.92,,,,,,,,,,,,,"7,930.16","7,930.16",,,,,16.64,,,,,,,,"18,893.71","8,798.80","10,094.91",,,,,"1,094.52",,,,16.64,,223.65,,,,,,,"2,891.80",,,(หน่วย: ล้านบาท),,747.79,747.79,,,,,,,,783.38,,"3,097.56","3,097.56",,,111.52,111.52,308.37,,308.37,,,,,,,,,,,,,,,,,,49.35,49.35,,,,,383.95,,,,101.70,,,,0.20,,0.20,2.00,,,,,,1.87,,,,"1,105.32",,,,,,,,,,,
TFMAMA,,,5.54,5.54,,,,,,,,,,,,,"8,790.56","8,790.56",,,,"1,490.57",1.00,,,,,,,,"29,423.17","13,333.57","16,089.60",,,,,"3,625.82",,,,,,,,,,0.93,,,"1,352.54",,,(หน่วย: ล้านบาท),,,,,,,,,,,31.20,,61.12,61.12,,,40.31,40.31,29.62,,123.79,,,,,,,,,,,,,,,,,,98.26,98.26,,,,77.36,1.00,,,,36.35,16.80,,,"5,400.33",,"5,400.33","5,515.71",,,,,,"1,562.33",,,,"2,777.38",,,,,,,,,,,
TIPCO,,,,,,,,,,,,,,,,,"1,970.63","1,970.63",,,,,,,,,,,,,"6,938.43","1,781.23","5,157.20",,,,,573.74,,,,,,,,,,,,,915.88,,,(หน่วย: ล้านบาท),,,,,,,,,,,56.80,,87.24,76.39,,,72.46,,,,19.67,,,,,,,,,,,,,,,,,,7.27,7.27,,,,10.85,,,,,,,,,,,,4.91,,,,,,"3,030.38",,,,199.46,,,,,,,,,,,
