Stock,กองทุนทดแทนความเสียหายในระบบการชำระราคาและส่งมอบหลักทรัพย์,กิจการที่เกี่ยวข้องกัน,ค่าความนิยม,ค่าความนิยม - สุทธิ,ค่าลิขสิทธิ์ซอฟแวร์,ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายรอตัดบัญชี,งานระหว่างทำ,จากการให้เช่าและบริการ,จากเงินปันผลและดอกเบี้ย,ดอกเบี้ยค้างรับ,ตราสารหนี้ที่จะถือจนครบกำหนด,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนโครงการพัฒนาอสังหาริมทรัพย์,ทรัพย์สินรอการขาย - สุทธิ,ที่ดิน อาคาร และอุปกรณ์,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,ที่ดิน อาคาร และอุปกรณ์ตามสัญญาเช่าการเงิน,บริษัทย่อย,บริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ภาระของลูกค้าจากการรับรอง,ภาษีซื้อที่ยังไม่ถึงกำหนด,ภาษีมูลค่าเพิ่มค้างรับ,ภาษีมูลค่าเพิ่มรอเรียกคืน,ภาษีเงินได้ระหว่างการขอคืน,ภาษีเงินได้หัก ณ ที่จ่าย,มูลค่างานที่เสร็จยังไม่ได้เรียกเก็บ,รวมสินทรัพย์,รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายได้ค้างรับ,รายได้จากการลงทุนค้างรับ,ลูกหนี้,ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้จากการขายเงินลงทุน,ลูกหนี้จากผลตอบแทนในสิทธิการเช่าอสังหาริมทรัพย์,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่นที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะสั้นอื่น - สุทธิ,ลูกหนี้สำนักหักบัญชี,ลูกหนี้อื่น - สุทธิ,วัตถุดิบ อะไหล่และวัสดุสิ้นเปลือง,สิทธิการเช่า - สุทธิ,สิทธิในการเรียกคืนหลักทรัพย์ / ภาระของลูกค้าจากการประกอบธุรกิจอื่น,สิทธิในสัมปทาน,สินค้าคงเหลือ,สินค้าระหว่างทาง,สินค้าสำเร็จรูป,สินทรัพย์,สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์ชีวภาพ,สินทรัพย์ชีวภาพ - สุทธิ,สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,สินทรัพย์ทางการเงิน,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ภายใต้สัญญาสัมปทาน,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ลงทุน,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,สินทรัพย์อื่น - สุทธิ,สินทรัพย์อื่น - อื่น ๆ,สินทรัพย์ไม่มีตัวตน - สุทธิ,สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่หมุนเวียน - อื่น ๆ,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนอื่น,ส่วนที่เพิ่มขึ้นจากการตีราคาที่ดิน อาคาร และอุปกรณ์,ส่วนที่เพิ่มขึ้นจากการตีสินทรัพย์ไม่มีตัวตน,ส่วนปรับปรุงที่ดิน อาคาร และอุปกรณ์,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หัก ค่าตัดจำหน่ายสะสมสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าของเงินลงทุน,หัก ค่าเผื่อการด้อยค่าค่าความนิยม,หัก ค่าเผื่อการด้อยค่าที่ดิน อาคาร และอุปกรณ์,หัก ค่าเผื่อการด้อยค่าสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าอสังหาริมทรัพย์เพื่อการลงทุน,หัก ค่าเผื่อการปรับมูลค่าจากการปรับโครงสร้างหนี้,หัก ค่าเผื่อการลดมูลค่าของสินค้าคงเหลือ,หัก ค่าเผื่อหนี้สงสัยจะสูญ,หัก ค่าเสื่อมราคาสะสมที่ดิน อาคาร และอุปกรณ์,หัก ค่าเสื่อมราคาสะสมอสังหาริทรัพย์เพื่อการลงทุน,หัก รายได้รอตัดบัญชี,อสังหาริมทรัพย์รอการขาย,อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,อื่น ๆ,เครื่องหมายการค้า,เงินค้างรับเกี่ยวกับการประกันภัยต่อ,เงินจ่ายล่วงหน้า,เงินทดรองจ่ายและเงินให้กู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างรับ,เงินฝากระยะยาวในสถาบันการเงิน,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้,เงินมัดจำ,เงินลงทุน - สุทธิ,เงินลงทุน - อื่น ๆ,เงินลงทุนซึ่งบันทึกโดยวิธีราคาทุน,เงินลงทุนที่จะถือจนครบกำหนด,เงินลงทุนระยะยาว,เงินลงทุนระยะสั้น,เงินลงทุนระยะสั้นที่มีภาระผูกพัน,เงินลงทุนอื่น,เงินลงทุนเผื่อขาย,เงินลงทุนเพื่อค้า,เงินลงทุนแสดงตามมูลค่ายุติธรรม,เงินลงทุนในบริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกันซึ่งบันทึกโดยวิธีส่วนได้เสีย,เงินลงทุนในหลักทรัพย์,เงินลงทุนในอสังหาริมทรัพย์,เงินวางไว้จากการประกันภัยต่อ,เงินสดและรายการเทียบเท่าเงินสด,เงินให้กู้ยืมระยะยาว - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมและลูกหนี้,เงินให้สินเชื่อ ลูกหนี้ และดอกเบี้ยค้างรับ - สุทธิ,เงินให้สินเชื่อแก่สถาบันการเงิน,เบี้ยประกันภัยค้างรับสุทธิ,โดยมีกรมธรรม์ประกันภัยเป็นประกัน,โดยมีทรัพย์สินจำนองเป็นประกัน,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย
WHA,,,"17,575.05","17,575.05",,,,,,,,,,,"13,740.36",,,"4,385.37",,,,"1,031.76",,,,,,,,,"73,618.96","19,366.75","54,252.21",,,,,531.05,,,,,,,,,,,,,"13,740.36",,,(หน่วย: ล้านบาท),,,,,,,,,,,204.08,,739.91,,,,"4,118.66",,,835.20,511.88,,,,,,,,,,,,,,,,,,,"9,422.01",,,,,"1,031.76",,,,,,,,"4,119.32",,,568.75,,,,,,"13,915.85",,,,"1,919.71",,,,,,,,,,,
WIN,,,2.22,2.22,,,,,,,,,,,,,579.18,579.18,,,,,,,,,,,,0.21,617.02,29.93,587.09,,,,,23.44,,,,,,,,,,,,,1.44,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,1.08,0.99,,,0.28,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,2.68,,2.68,,,,,,,,,,,3.76,,,,,,,,,,,
AIMIRT,,,,,,,,,2.74,0.01,,,,,,,,,,,,,,,,,,,,,"2,293.59",,,,,,17.83,,,,,,,,,15.08,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,140.00",,,,,,,,,,"2,140.00",,,"2,140.00",,135.63,,,,,,,,,,,
AMATAR,,,,,,,16.62,,1.07,0.03,,,,,,,,,,,,,,,,,,,,,"4,968.00",,,,,,1.12,,,,,,,,,0.01,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,870.30",,,,,,,,,,"4,870.30",,153.40,"4,716.90",,78.80,,,,,,,,,,,
BKKCP,,,,,,1.97,0.18,,,,,,,,,,,,,,,,,,,,,,,,"1,289.71",,,,,,0.78,,,,,,,,,0.78,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,"1,277.01",,,,,,,,,,"1,277.01",,77.91,"1,199.10",,7.90,,,,,,,,,,,
CPNCG,,,,,,,,,3.15,0.02,,,,,,,,,,,,,,,,,,,,,"5,225.89",,,,,,3.17,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,097.58",,,,,,,,,,"5,097.58",,251.58,"4,846.00",,123.35,,,,,,,,,,,
CPNREIT,,,,,,,,,188.62,,,,,,,,,,,,,,,,,,,,,,"47,055.55",,,,0.08,,188.62,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,514.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,299.99","44,310.00",,,,,,,,,"45,299.99",,989.99,,,"1,052.36",,,,,,,,,,,
CPTGF,,,,,,,,,88.82,0.07,,,,,,,,,,,,,,,,,,,,,"10,472.22",,,,,,88.89,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,104.62","9,667.00",,,,,,,,,"10,104.62",,437.62,,,269.33,,,,,,,,,,,
CRYSTAL,,,,,,0.43,,,16.32,0.01,,,,,,,,,,,,,,,,,,,,,"4,323.21",,,,,,17.11,,,,,,,,,0.78,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,242.26",,,,,,,,,,"4,242.26",,130.26,"4,112.00",,63.30,,,,,,,,,,,
CTARAF,,,,,,0.12,,,14.33,,,,,,,,,,,,,,,,,,,,,,"2,082.08",,,,0.00,,14.33,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,038.00",,,,,,,,,,"2,038.00",,,"2,038.00",,29.58,,,,,,,,,,,
DREIT,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,"4,344.29",,,,,,,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,172.77",,,,,,,,,,"4,172.77",,,,,164.76,,,,,,,,,,,
ERWPF,,,,,,,,,8.14,0.00,,,,,,,,,,,,,,,,,,,,,"1,626.34",,,,,,8.15,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,602.55",,,,,,,,,,"1,602.55",,,,,15.59,,,,,,,,,,,
FUTUREPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,342.71",,,,,,45.66,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,"7,224.19",,,,,,,,,,"7,224.19",,,,,35.53,,,,,,,,,,,
GAHREIT,,,,,,,0.98,,21.34,0.12,,,,,,,,,,,,,,,,,,,,,"1,871.82",,,,,,21.46,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.00,,"1,753.39",,,,,,,,,,"1,753.39",,6.99,"1,746.41",,7.35,,,,,,,,,,,
GLANDRT,,,,,,,2.80,,54.41,0.08,,,,,,,,,,,,,,,,,,,,,"5,619.16",,,,,,54.49,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,308.49",,,,,,,,,,"5,308.49",,50.00,"5,258.49",,248.05,,,,,,,,,,,
GOLDPF,,,,,,0.38,,,8.71,0.00,,,,,,,,,,,,,,,,,,,,,"1,993.90",,,,,,10.92,,,,,,,,,2.20,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,932.00",,,,,,,,,,"1,932.00",,,"1,932.00",,50.60,,,,,,,,,,,
GVREIT,,,,,,9.12,96.74,,23.68,,,,,,,,,,,,,,,,,,,,,,"10,620.63",,,,0.05,,23.68,,,,,,,,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,399.69","9,756.00",,,,,,,,,"10,399.69",,643.69,,,90.04,,,,,,,,,,,
