Stock,กำไร (ขาดทุน) จากการทำสัญญาป้องกันความเสี่ยง,กำไร (ขาดทุน) ที่ยังไม่เกิดขึ้นจากการเปลี่ยนแปลงสัดส่วนการลงทุน,กำไร (ขาดทุน) สะสม,กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,กำไรสะสม - จัดสรรแล้ว,ค่าตอบแทนค้างจ่ายผู้ให้สัมปทานสิทธิ,ค่าเบี้ยประกันรับล่วงหน้า,ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายเกี่ยวกับพนักงานค้างจ่าย,จำนวนหุ้นทุนซื้อคืน (หน่วย : หุ้น),ดอกเบี้ยค้างจ่าย,ตราสารหนี้,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนค่าก่อสร้างที่ยังไม่เรียกเก็บ,ทุนจดทะเบียน,ทุนที่ออกและชำระเต็มมูลค่าแล้ว,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,บัญชีปรับสมดุล,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ประมาณการหนี้สิน,ประมาณการหนี้สินระยะยาว,ประมาณการหนี้สินระยะสั้น,ผลต่างจากการแปลงค่างบการเงิน,ภาระจากการรับรอง,ภาระในการส่งคืนหลักทรัพย์,ภาษีธุรกิจเฉพาะค้างจ่าย,ภาษีมูลค่าเพิ่มค้างจ่าย,ภาษีสรรพสามิตค้างจ่าย,ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้นของบริษัท,รวมหนี้สิน,รวมหนี้สินหมุนเวียน,รวมหนี้สินไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายการอื่น,รายได้รอการรับรู้ - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รอการรับรู้ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รับล่วงหน้า,สำรองค่าสินไหมทดแทนและค่าสินไหมทดแทนค้างจ่าย,สำรองตามกฎหมาย,สำรองอื่น ๆ,สำรองเบี้ยประกันภัย,สำรองเผื่อหนี้สินจากคดีความฟ้องร้อง,สำรองเพื่อขยายงาน,สำรองเพื่อชำระคืนเงินกู้ยืม,สำรองเพื่อซื้อหุ้นทุนซื้อคืน,สินทรัพย์สุทธิ,สินทรัพย์สุทธิต่อหน่วย (หน่วย : บาท),ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนเกิน (ต่ำกว่า) ทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเพิ่มทุนของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากรายการในส่วนของผู้ถือหุ้นของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากหุ้นทุนซื้อคืน,ส่วนเกิน (ต่ำกว่า) ทุนอื่น,ส่วนเกิน (ต่ำกว่า) ทุนอื่น - อื่น ๆ,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น,ส่วนเกินทุนจากการตีราคาสินทรัพย์ถาวร,ส่วนเกินทุนจากการลดทุน,ส่วนเกินทุนจากใบสำคัญแสดงสิทธิที่หมดอายุแล้ว,ส่วนแบ่งผลขาดทุนที่เกินเงินลงทุนในบริษัทร่วม และ/หรือ กิจการร่วมค้า,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,หนี้สินจากสัญญาประกันภัย,หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์หมุนเวียน,หนี้สินตราสารอนุพันธ์ไม่หมุนเวียน,หนี้สินตามสัญญาปรับโครงสร้างหนี้และฟื้นฟูกิจการ,หนี้สินตามสัญญาเช่าการเงิน,หนี้สินตามสัมปทานสิทธิ,หนี้สินทางการเงิน,หนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,หนี้สินทางการเงินหมุนเวียนอื่น,หนี้สินทางการเงินอื่น,หนี้สินทางการเงินไม่หมุนเวียนอื่น,หนี้สินที่เกี่ยวข้องโดยตรงกับสินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินระยะยาว - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินระยะยาวอื่น,หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น - อื่น ๆ,หนี้สินอื่น,หนี้สินและทุน,หนี้สินไม่หมุนเวียน - อื่น ๆ,หนี้สินไม่หมุนเวียนอื่น,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หุ้นกู้และตราสารหนี้อื่น,หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นทุนซื้อคืน,หุ้นทุนรับซื้อคืน / หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นบุริมสิทธิ,หุ้นสามัญ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,อื่น ๆ,เงินกู้ยืม,เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการอื่น,เงินกู้ยืมระยะยาว - สถาบันการเงิน,เงินกู้ยืมระยะสั้น,เงินกู้ยืมและเงินรับฝาก,เงินค้างจ่ายเกี่ยวกับการประกันภัยต่อ,เงินถือไว้จากการประกันภัยต่อ,เงินทดรองรับและเงินกู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างจ่าย,เงินฝากที่เป็นเงินตราต่างประเทศ,เงินฝากที่เป็นเงินบาท,เงินมัดจำ,เงินมัดจำการเช่าและบริการ,เงินรับฝาก,เงินรับล่วงหน้าค่าหุ้น,เงินรับล่วงหน้าจากลูกค้า - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินรับล่วงหน้าจากลูกค้า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินสำรองการเสี่ยงภัยที่ยังไม่สิ้นสุด,เงินเบิกเกินบัญชีและเงินกู้ยืมจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เจ้าหนี้,เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้ค่าที่ดินและค่าก่อสร้าง,เจ้าหนี้ค้างจ่าย,เจ้าหนี้จากการซื้อเงินลงทุน,เจ้าหนี้จากการแบ่งปันส่วนทุน,เจ้าหนี้ทรัสต์รีซีท,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะยาวอื่นที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะสั้นอื่น - สุทธิ,เจ้าหนี้สำนักหักบัญชี,เจ้าหนี้อื่น,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย,ใบสำคัญแสดงสิทธิ สิทธิซื้อหุ้น และสิทธิในการเลือกซื้อหุ้น
PE,,,-339.95,-339.95,,,,,,,,,,,,406.08,400.00,,,,,,,,,,,,,,0.05,,63.00,63.00,"1,928.89",,,,,,,,,,,,,,,,,,,,13.14,,,,13.14,,,,,,,0.00,,,,,,,,,"1,529.51",,,"1,529.51",,,,,,42.61,,,,,323.35,(หน่วย: ล้านบาท),,,,,10.19,,10.19,,400.00,13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.37,,,
PL,,,"1,620.50","1,555.88",64.62,,,,,,,,,,,646.20,596.49,,,,,53.36,,,,,,,,,,,"2,862.11","2,862.11","10,349.34",,,,,,,,,64.62,,,,,,,,,,,,,,,,,645.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.79,(หน่วย: ล้านบาท),,,,"6,646.57",,,,,645.12,,,"2,903.57","2,075.78",,,,827.79,"2,903.57",,,,,,,,,,,,,,,,,,,,223.12,,,,,,,,,,192.92,,,
S11,,,"1,039.64",978.34,61.30,,,,,,,,,,,613.00,613.00,,,,,9.70,,,,,,,,,68.81,,"2,095.76","2,095.76","2,921.06",,,,,,,,,61.30,,,,,,,,,,,,,,,15.30,15.30,427.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47,(หน่วย: ล้านบาท),,,,649.10,,,,,427.82,15.30,,"2,093.89","1,830.63",,,,263.26,"2,093.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10,,,
SAWAD,,,"6,882.01","6,769.01",113.00,,,,,,,,,,,"1,129.95","1,087.37",,,,,29.42,,,-3.49,,,,,,301.50,,"11,174.54","9,426.83","22,202.33",,,"6,419.44",36.19,,,,,113.00,,,,,,,,,,,,,,,,,"1,424.76",,,,,"1,747.71",,,,,,,,,70.74,,,70.74,,,,,,141.23,,,,,48.66,(หน่วย: ล้านบาท),,,,"8,571.00",,,,,"1,424.76",32.70,,,,,,,,"6,067.78",,,,,,,"6,067.78",,,"6,067.78",,,,,,,,,,,,,,,,,,,,552.56,"6,419.44",,
THANI,,,"2,891.18","2,649.18",242.00,,,,,,123.18,,,,,"2,416.23","2,416.23",,,,,25.57,,,,,,,,,177.87,,"5,627.30","5,627.30","33,864.50",,,,,,,,,242.00,,,,,,,,,,,,,,,,,319.89,,,,,,,,,,,,,,10.77,,,10.77,,,,,,,,,,,166.95,(หน่วย: ล้านบาท),,,,"18,648.85",,,,,319.89,,,"14,441.77","1,238.97",,,,"13,202.80","14,441.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.55,,,
TK,,,"3,299.95","3,249.95",50.00,,,,,,,,,,,500.00,500.00,,,,,39.60,,,-0.52,,,,,,71.53,,"4,785.30","4,772.41","5,232.87",,,,,,,,,50.00,,,,,,,,,,,,,,,,,972.99,,,,,12.89,,,,,,,,,,,,,,,,,,,,,,,242.99,(หน่วย: ล้านบาท),,,,"4,000.00",,,,,972.99,-0.52,,787.91,40.24,,,,747.68,787.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.83,,,
TNITY,,,331.15,265.92,65.22,,,,,,,,,,,987.48,987.48,,,,,28.27,,,,,,,,,16.04,,"1,604.21","1,604.21","2,350.64",,,,,,,,,65.22,,,,,,,,,,,,,,,,,288.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.19,(หน่วย: ล้านบาท),,,,635.00,,,,,288.89,-3.30,,"1,141.96",,,,,"1,141.96","1,141.96",,,,,,,,,,,,,,,,,,,,,,,,376.62,,,,,56.53,72.02,,,
UOBKH,,,"2,373.16","2,322.92",50.24,,,,47.95,,,,,,,502.45,502.45,,,,,82.89,,,,,,,,,20.01,,"3,331.36","3,331.36","3,015.04",,,,,,,,,50.24,,,45.46,,,,,,,,,,,,,,455.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,(หน่วย: ล้านบาท),,,,,,,,,455.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100.58",,,,,675.55,,,,
ZMICO,,,236.91,128.52,108.38,,,5.61,11.57,,,,,,,941.96,653.87,,,,,,,,,,,,,,,,"2,356.94","2,356.94",855.17,,,,-4.56,,,,,108.38,,,,,,,,,,,-19.03,,-29.22,,-25.68,,"1,496.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,162.09,(หน่วย: ล้านบาท),,,,,,,,,"1,496.41",-30.24,-10.19,675.91,,,,,675.91,675.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYUD,,,"2,700.80","2,650.80",50.00,,,96.82,,,,,,,,500.00,250.00,,,,,,,,,,,,,,3.55,,"7,693.96","7,693.96","3,361.01",,,,"1,270.00",,,,,50.00,,,,,,,,,,,-39.02,,,,-39.02,,"3,512.18",,,,,,"2,417.34",,,,,,,,,,,,,,86.82,,,,,,,,88.62,(หน่วย: ล้านบาท),,,,,,,,,"3,512.18","1,230.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.86,,,,,,,,
BKI,,,"9,588.33","6,381.86","3,206.47",,,968.86,,,,,,,,"1,064.70","1,064.70",,,,,,,,,,,,,,112.22,,"35,145.44","35,145.44","24,957.34",,,,,,,,,106.47,"3,100.00",,,,,,,,,,,,,,,,"1,442.50",,,,,,"15,564.74",,,,,,,,,,,,,,351.20,,,"5,039.47",,,,,869.34,(หน่วย: ล้านบาท),,,,,,,,,"1,442.50","23,049.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,051.52",,,,,,,,
BLA,,,"24,412.71","23,841.91",570.80,,,,,,,,,,,"1,708.00","1,707.57",,,,,,,,-4.44,,,,,,,,"38,764.76","38,751.46","269,964.43",,,,,,,,,170.80,400.00,,,,,,,,,,"9,274.64",,,,"9,274.64",,"3,360.99",,,,,13.29,"265,978.19",,,,,,,,,,,,,,228.83,,,,,,,,"2,754.21",(หน่วย: ล้านบาท),,,,,,,,,"3,360.99","9,270.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,003.20",,,,,,,,
BUI,,,57.35,37.94,19.42,,,73.78,,,,,,,,300.00,300.00,,,,,,,,,,,,,,,,702.56,702.56,"1,351.90",,,,1.43,,,,,19.42,,,,,,,,,,,52.64,,,,257.19,,86.59,204.54,,,,,"1,140.56",,,,,,,,,,,,,,12.15,,,,,,,,36.21,(หน่วย: ล้านบาท),,,,,,,,,86.59,258.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.20,,,,,,,,
CHARAN,,,156.01,144.01,12.00,,9.32,,,,,,,,,120.00,120.00,,,,,,,,,,,,,,0.23,,602.05,602.05,205.43,,,,,,,,34.37,12.00,,100.16,,,,,,,,,68.04,,,,68.04,,258.00,,,,,,143.85,,,,,,,,,,,,,,9.53,,,17.01,,,,,17.22,(หน่วย: ล้านบาท),,,,,,,,,258.00,68.04,,,,,,,,,8.72,8.87,,,,,,,,,,,,,,,,,,,,,,,17.60,,,,,,,,
INSURE,,,-14.74,-24.74,10.00,,,27.68,,,,,,,,,100.00,,,,,,,,,,,,,,,,223.37,223.37,829.75,,,,,,,,,10.00,,,,,,,,,,,,,,,,,138.11,,,,,,596.58,,,,,,,,,,,,,,11.60,,,,,,,,2.60,(หน่วย: ล้านบาท),,,,,,,,,138.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.68,,,,,17.62,,,
MTI,,,"3,263.76","3,204.76",59.00,,"1,319.71",34.48,,,,,,,,590.00,590.00,,,,,,,,,,,,,,,,"5,357.61","5,357.61","14,701.75",,,,,,,,"3,209.49",59.00,,"5,866.30",,,,,,,,823.37,-1.09,,,,822.28,,681.57,,,,,,"10,395.50",,,,,,,,,,,,,,206.69,,,0.16,,,,,"1,104.21",(หน่วย: ล้านบาท),,,,,,,,,681.57,822.28,,,,,,,,,"1,074.66","1,886.04",,,,,,,,,,,,,,,,,,,,,,,"2,960.70",,,,,,,,
NKI,,,"1,111.79","1,058.79",53.00,,,43.89,,,,,,,,330.00,330.00,,,,,,,,-2.29,,,,,,,,"2,172.42","2,172.42","2,992.53",,,,,,,,709.42,33.00,20.00,"1,430.67",,,,,,,,,85.68,,,,85.68,,647.25,,,,,,"2,140.09",,,,,,,,,,,,,,45.82,,,,,,,,135.65,(หน่วย: ล้านบาท),,,,,,,,,647.25,83.39,,,,,,,,,388.39,238.68,,,,,,,,,,,,,,,,,,,,,,,627.07,,,,,,,,
NSI,,,561.16,530.14,31.01,,,32.18,,,,,,,,200.00,139.00,,,,,,,,,,,,,,12.10,,"1,322.02","1,322.02","2,356.66",,,,,,,,,24.85,6.16,,,,,,,,,,27.43,,,,27.43,,594.44,,,,,,"1,938.28",,,,,,,,,,,,,,39.70,,,,,,,,118.06,(หน่วย: ล้านบาท),,,,,,,,,594.44,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.34,,,,,,,,
SMK,,,"4,972.46","4,952.46",20.00,,,,,,,,,,,200.00,200.00,,,,,,,,,,,,,,134.02,,"5,912.57","5,912.57","8,572.59",,,,,,,,,20.00,,,,,,,,,,,312.61,,,,312.61,,427.50,,,,,,"7,239.80",,,,,,,,,,,,,,138.23,,,,,,,,968.78,(หน่วย: ล้านบาท),,,,,,,,,427.50,312.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.77,,,,,,,,
THRE,,-93.82,785.82,701.42,84.40,,"1,560.58",,,,,,,,,"4,214.99","4,214.99",,,,,,,,,,,,,,6.60,,"4,866.31","4,866.31","7,528.77",,,,,,,,"1,674.50",84.40,,"1,936.74",,,,,,,,,-40.69,,,,-134.51,,,,,,,,"5,171.82",,,,,,,,,,,,,,37.88,,,,,,,,890.84,(หน่วย: ล้านบาท),,,,,,,,,"4,214.99",-134.51,,,,,,,,,575.03,838.05,,,,,,,,,,,,,8.55,,,,,,,,,,"1,413.08",,,,,,,,
THREL,,,821.49,761.49,60.00,,,2.53,,,,,,,,,600.00,,,,,,,,,,,,,,71.44,,"1,543.46","1,543.46",853.60,,,,,,,,,60.00,,,,,,,,,,,,,,,,,79.16,,,,,,578.36,,,,,,,,,,,,,,9.09,,,,,,,,10.24,(หน่วย: ล้านบาท),,,,,,,,,79.16,42.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.94,,,,,,,,
TIC,,15.69,331.50,288.00,43.50,,8.88,58.25,,,,,,,,235.00,235.00,,,,,,,,,,,,,,,,685.79,685.79,"2,665.80",,,,,,,,727.27,23.50,20.00,"1,168.28",,,,,,,,,,,,,15.69,,103.60,,,,,,"1,986.76",,,,,,,,,,,,,,17.66,,,,,,,,93.48,(หน่วย: ล้านบาท),,,,,,,,0.01,103.60,15.69,,,,,,,,,70.90,390.81,,,,,,,,,,,,82.33,,,,,,,,,,,461.72,,,,,47.94,,,
TIP,,,"6,388.60","5,659.32",729.28,,"13,100.53",706.57,,,,,,,,300.00,300.00,,,,,,,,,,,,,,109.21,,"7,551.63","7,551.63","41,924.06",,,,,,,,"20,241.67",30.00,699.28,,,,,,,,,,,,,,,,904.00,,,,,,"33,342.19",,,,,,,,,,,,,,,,,,,,,,"2,028.75",(หน่วย: ล้านบาท),,,,,,,,,300.00,-40.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,457.06",,,,,280.29,,,
TSI,,,-798.86,-823.67,24.81,,,52.76,,,,,,,,"1,326.52","1,052.23",,,,,,,,,,,,,,,,196.44,196.44,"1,500.48",,,,,,,,,18.81,6.00,,,,,,,,,,,,,,,,-157.63,,,,,,851.28,,,,,,,,,,,,,,14.81,,,17.89,,,,,90.40,(หน่วย: ล้านบาท),,,,,,,,,-157.63,100.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.35,,,,,,,,
TVI,,,558.52,528.22,30.30,,,,,,,,,,,303.00,303.00,,,,,,,,-4.80,,,,,,2.73,,"1,182.75","1,164.67","4,038.91",,,,,,,,,30.30,,,,,,,,,,,144.15,,,,144.15,,163.80,,,,,18.08,"2,825.44",,,,,,,,,,,,,,87.82,,,,,,,,615.36,(หน่วย: ล้านบาท),,,,,,,,,163.80,139.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.55,,,,,,,,
AH,,,"4,556.06","4,343.42",212.63,,,,,"6,007.70",,599.51,,,,322.65,322.58,,,11.28,,,,27.12,,,,,,,,,"7,182.76","6,969.95","7,537.75","4,590.24","2,947.51",,,,,,,212.63,,,,,,,,,"1,642.15",,,,,,,,"2,164.35",,,,,212.81,,,,,,,15.07,,,,,,,,,112.61,,,"2,833.35",,181.27,,,(หน่วย: ล้านบาท),,1.56,,,,75.71,75.71,,"2,164.35",2.67,,,,,"2,218.76",,,,,,11.28,,,,,,,,,,,,,490.97,,"2,237.44",,,,,,,,,,,,,,,
APCS,,,291.51,244.11,47.40,,,,,,,,,,,660.00,660.00,,,72.67,172.44,,,,,,,,,,,0.13,"1,470.62","1,320.70",401.27,273.69,127.57,,,,,,,47.40,,,,,,,,,8.47,,,,,,,,369.18,,,,,149.92,,,,,,,,,,,,,,,,10.67,,38.23,78.66,,0.13,,,(หน่วย: ล้านบาท),0.01,0.01,,,,,,,660.00,,,,,,,78.66,,,,,,,,,,,,,,,,,,19.97,,172.44,,,,,,,,,,72.67,,,,,
BAT-3K,,,981.35,961.35,20.00,,,,,,,,,,,200.00,200.00,,,,,,,58.02,,,,,,,,11.17,"1,571.78","1,569.20","1,874.85","1,809.63",65.22,,,,,,,20.00,,,,,,,,,,,,,,,,,389.50,,,,,2.58,,,,,,,,,,,,,,,,65.22,,,,,210.16,198.99,,(หน่วย: ล้านบาท),,,,,,,,,389.50,-1.64,,,,,,,,,,,,,,,,,,,,,,,,"1,105.00",,436.46,,,,,,,,,,,,,,,
CWT,,,150.45,129.21,21.24,,,,,,,700.00,,,,819.05,619.05,,,,,,,,,,,,,,,,"1,367.38","1,292.16","2,185.15","1,638.73",546.41,,,,,,,21.24,,,,,,,,,752.33,,,,,,,,334.78,,,,,75.22,,,,,,,52.83,,,,,,,,,28.10,,46.98,466.59,,35.25,35.25,,(หน่วย: ล้านบาท),4.74,4.74,,,,,,,334.78,187.89,,,,,,413.76,,,,,,,,,,,,,,,,,,353.41,,497.74,,,,,,,,,,,,,,,
EASON,,,448.18,409.85,38.33,,,,,,,,,,,567.08,566.76,,,,75.17,,,,-42.60,,,,,,,5.96,"1,228.55","1,198.94",201.49,159.81,41.69,,,,,,,38.33,,,,,,,,,23.56,,-5.67,,,,-5.67,,232.26,,,,,29.61,,,,,,,2.44,,,,,,,,,27.70,,,13.99,,11.08,5.11,,(หน่วย: ล้านบาท),,,,,,,,,232.26,-48.27,,,,,,11.55,,,,,,,,,,,,,,,,,,50.00,,75.17,,,,,,,,,,,,,,,
GYT,,,"3,842.07","3,834.67",7.40,,,14.12,,,,,,,,74.00,74.00,,,,,,,,,,,,,,,39.26,"4,008.07","4,008.07","1,667.92","1,480.15",187.77,,,,,,,7.40,,,,,,,,,,,,,,,,,92.00,,,,,,,,,,,,,,,,,,,,,187.77,,,,,58.70,5.32,,(หน่วย: ล้านบาท),,,,,,,,,92.00,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,421.45",,,,,,,,,,,,,,,
HFT,,,"1,870.48","1,804.63",65.84,,,71.66,,,,,,,,658.43,658.43,,,,92.54,,,,,,,,,,,25.00,"2,731.29","2,731.29",431.07,398.22,32.85,,-27.16,,,,,65.84,,,,,,,,,,,,,,7.43,7.43,,222.10,,,,,,,,,,,,,,,,,,,,,32.85,,,,,115.44,18.78,,(หน่วย: ล้านบาท),,,,,,,,,222.10,-19.73,,,,,,,,,,,,,,,,,,,,,,,,,,190.24,,,,,,,,,,92.54,,,,,
IHL,,,699.51,628.51,71.00,,,,,,,,,,,595.00,509.09,,,,,,,,,,,,,,,24.60,"1,467.91","1,467.91","1,580.23","1,298.42",281.81,,,,,,,71.00,,,,,,,,,177.36,,,,,,,,259.31,,,,,,,,,,,,6.45,,,,,,,,,16.77,,,265.04,,31.39,6.79,,(หน่วย: ล้านบาท),,,,,,,,,259.31,,,,,,258.59,,,,,,,,,,,,,,,,,,,501.90,,405.60,,,,,182.17,,,,,,,,,,
INGRS,,-6.40,195.89,178.89,17.00,,,,,,,,,,,"1,446.94","1,446.94",,,,,,,,,,,,,,,16.97,"2,548.33","1,742.97","1,932.87","1,155.54",777.33,,139.89,,,,,17.00,,,,,,,,,209.13,-114.09,,,,,-120.49,,80.75,,,,,805.36,,,,,,,28.65,,,,,,,,,35.51,,156.90,584.92,,45.08,19.05,,(หน่วย: ล้านบาท),,,,,,,,,80.75,19.39,,,,,556.27,,,,,,,,9.06,,,,,,,,,,,445.64,,455.69,,,,,,,,,,,,,,,
IRC,,,"3,023.91","3,003.91",20.00,,,,,,,,,,,200.00,200.00,,,,957.38,,184.96,,,,,,,,,54.82,"3,521.16","3,521.16","1,202.87","1,016.03",186.84,,-0.75,,,,,20.00,,,,,,,,,,,,,,,,,298.00,,,,,0.00,,,,,,,,,,,,,,,,,,1.88,,,58.66,3.84,,(หน่วย: ล้านบาท),,,,,,,,,298.00,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,957.38,,,,,,,,,,,,,,,
PCSGH,,,734.87,441.42,293.44,,,,,"20,000.00",,,,,,"1,545.00","1,545.00",,,1.92,370.30,,,,,,,,,,,1.13,"5,097.56","5,097.56",446.44,373.63,72.82,,,,,,,118.42,,,,,,175.02,,,0.27,,,,,,95.95,,"2,896.76",,,,,,,,,,,,0.86,,,,,,,,,71.96,,,0.86,,1.13,,,(หน่วย: ล้านบาท),,,,,,175.02,175.02,,"2,896.76",95.95,,,,,,,,,,,,,,,,,,,,,,,,,,372.22,,,,,,,,,,,,,,,
SAT,,,"5,277.13","5,221.46",55.67,,,,,,,,,,,425.19,425.19,,,,467.42,,,,,,,,,,,43.20,"6,419.97","6,419.97","3,152.00","2,464.59",687.41,,,,,,,55.67,,,,,,,,,537.88,,1.21,,,,1.21,,716.44,,,,,,,,,,,,0.54,,,,,,,,,217.15,,,469.49,,43.20,,,(หน่วย: ล้านบาท),,0.77,,,,,,,716.44,1.21,,,,,,469.49,,,,,,,,,,,,,,,,,,200.00,,"1,216.10",,,,,,,,,,467.42,,,,,
SPG,,,"4,163.70","4,129.20",34.50,,,,,,,,,,,345.00,345.00,,,,103.52,,,,,,,,,,,33.17,"4,838.56","4,806.00",367.06,309.39,57.68,,,,,,,34.50,,,,,,,,,,,,,,,,,297.30,,,,,32.56,,,,,,,,,,,,,,,,,,6.54,,,66.68,33.50,,(หน่วย: ล้านบาท),51.14,51.14,,,,,,,297.30,,,,,,,,,,,,,,,,,,,,,,,,,,,139.18,,,,,,,,,,103.52,,,,,
STANLY,,,"13,271.60","13,233.28",38.31,,,379.62,,,,,,,,383.12,383.12,,,130.67,184.85,,,,,,,,,,,62.36,"14,008.92","14,008.92","2,047.57","1,718.50",329.07,,-150.06,,,,,38.31,,,,,,,,,,,,,,,,,504.25,,,,,,,,,,,,,,,,,,,,,202.45,,126.62,,,441.98,,,(หน่วย: ล้านบาท),,,,,,,,,504.25,-150.06,,,,,,,,,,,,,,,,,,,,,,,,,,961.00,,,,,,,,,,315.52,,,,,
TKT,,,-33.43,-54.83,21.40,,,,,,,,,,,214.00,214.00,,,,,,,,,,,,,,,,444.31,444.31,648.72,624.23,24.49,,,,,,,21.40,,,,,,,,,19.69,,,,,,,,144.24,,,,,,,,,,,,,,,,,,,,,15.77,2.05,3.74,4.98,,,,,(หน่วย: ล้านบาท),,,,,,,,,144.24,119.50,,,,,4.98,,,,,,,,,,,,,,,,,,,464.08,,138.42,,,,,,,,,,,,,,,
