ROA(%),ROE(%),กำไรต่อหุ้น (บาท),กำไรสุทธิ,งวดงบการเงิน ณ วันที่,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,สินทรัพย์รวม,ส่วนของผู้ถือหุ้น,หนี้สินรวม,อัตรากำไรสุทธิ(%),Stock
6.82,9.81,2.71,676.91,31/12/2558,250.00,"2,450.13","10,629.52","7,029.66","3,599.86",27.63,AYUD
6.22,8.74,2.46,615.16,31/12/2559,250.00,"2,538.77","10,616.65","7,042.31","3,574.34",24.23,AYUD
4.48,6.28,1.85,462.91,31/12/2560,250.00,"2,145.01","11,054.97","7,693.96","3,361.01",21.58,AYUD
5.18,9.29,21.66,"2,305.75",31/12/2557,"1,064.70","11,994.24","53,574.23","27,971.35","25,602.88",19.22,BKI
4.83,7.50,22.00,"2,342.33",31/12/2558,"1,064.70","12,427.31","60,024.02","34,456.17","25,567.85",18.85,BKI
4.81,7.17,22.78,"2,425.79",31/12/2559,"1,064.70","12,347.00","57,332.60","33,253.73","24,078.87",19.65,BKI
4.70,7.03,22.57,"2,403.10",31/12/2560,"1,064.70","12,407.23","60,102.78","35,145.44","24,957.34",19.37,BKI
1.60,11.13,1.57,"2,661.75",31/12/2557,"1,697.85","61,498.43","215,589.59","25,576.27","190,013.31",4.33,BLA
2.10,15.63,2.41,"4,108.20",31/12/2558,"1,703.81","55,509.16","249,575.61","26,990.21","222,585.24",7.40,BLA
2.28,16.95,3.00,"5,110.30",31/12/2559,"1,705.95","55,482.25","282,356.15","33,320.94","249,027.08",9.21,BLA
1.40,10.09,2.13,"3,635.39",31/12/2560,"1,707.57","56,276.81","308,729.19","38,751.46","269,964.43",6.46,BLA
5.07,10.64,3.03,60.52,31/12/2557,200.00,504.72,"1,481.29",600.12,881.17,11.99,BUI
1.70,3.25,1.03,20.54,31/12/2558,200.00,625.02,"1,568.40",664.52,903.89,3.29,BUI
0.66,1.18,0.26,7.79,31/12/2559,300.00,765.95,"1,512.83",659.67,853.16,1.02,BUI
2.44,5.13,1.17,34.96,31/12/2560,300.00,818.56,"2,054.46",702.56,"1,351.90",4.27,BUI
3.23,3.85,3.60,21.59,31/12/2557,60.00,220.60,810.38,578.25,232.13,9.78,CHARAN
5.40,6.17,3.00,35.96,31/12/2558,120.00,236.91,798.10,586.75,211.35,15.18,CHARAN
3.75,4.32,2.12,25.50,31/12/2559,120.00,191.52,803.71,593.91,209.80,13.31,CHARAN
1.81,2.22,1.11,13.29,31/12/2560,120.00,181.91,807.48,602.05,205.43,7.31,CHARAN
-3.10,-23.09,-3.23,-32.30,31/12/2557,100.00,376.32,"1,397.20",126.16,"1,271.04",-8.58,INSURE
6.65,48.44,8.07,80.74,31/12/2558,100.00,433.50,"1,167.41",207.19,960.22,18.63,INSURE
0.73,3.53,0.75,7.45,31/12/2559,100.00,263.11,992.03,215.20,776.83,2.83,INSURE
0.95,4.17,0.92,9.15,31/12/2560,100.00,409.43,"1,053.12",223.37,829.75,2.24,INSURE
6.14,22.05,14.50,855.61,31/12/2557,590.00,"5,659.29","17,575.97","4,142.62","13,433.35",15.12,MTI
6.20,21.31,15.72,927.75,31/12/2558,590.00,"6,565.97","18,664.27","4,564.63","14,099.64",14.13,MTI
4.07,13.30,10.73,633.22,31/12/2559,590.00,"7,294.39","19,948.53","4,955.86","14,992.68",8.68,MTI
3.74,11.99,10.48,618.44,31/12/2560,590.00,"7,485.56","20,059.36","5,357.61","14,701.75",8.26,MTI
4.94,10.68,7.60,235.47,31/12/2557,310.00,"2,243.97","5,130.25","2,249.36","2,880.89",10.49,NKI
1.25,2.26,1.55,49.68,31/12/2558,320.00,"2,632.29","5,697.12","2,138.89","3,558.22",1.89,NKI
N.A.,N.A.,1.03,34.02,31/12/2559,,"2,725.62",,,,1.25,NKI
2.51,5.09,3.35,110.65,31/12/2560,330.00,"2,245.74","5,164.95","2,172.42","2,992.53",4.93,NKI
6.69,13.46,11.72,162.91,31/12/2557,139.00,"1,670.06","2,981.58","1,248.25","1,733.33",9.75,NSI
5.65,11.30,10.33,143.64,31/12/2558,139.00,"1,680.41","3,303.23","1,294.29","2,008.94",8.55,NSI
3.22,7.11,6.50,90.30,31/12/2559,139.00,"1,843.58","3,410.33","1,244.95","2,165.38",4.90,NSI
3.96,9.20,8.49,118.02,31/12/2560,139.00,"1,916.39","3,678.68","1,322.02","2,356.66",6.16,NSI
9.23,26.72,48.67,973.38,31/12/2557,200.00,"9,560.09","13,709.44","4,025.17","9,684.27",10.18,SMK
7.75,21.09,44.32,886.38,31/12/2558,200.00,"10,070.76","14,322.78","4,379.53","9,943.25",8.80,SMK
7.12,17.65,4.19,838.16,31/12/2559,200.00,"9,918.84","14,071.65","5,118.19","8,953.45",8.45,SMK
7.73,16.35,4.51,901.70,31/12/2560,200.00,"9,121.19","14,485.16","5,912.57","8,572.59",9.89,SMK
-5.32,-73.34,-0.52,"-1,953.36",31/12/2557,"4,214.99","6,863.11","14,681.63","3,053.56","10,899.42",-28.46,THRE
21.99,62.72,0.63,"2,655.12",31/12/2558,"4,214.99","5,770.36","15,111.95","5,412.66","9,655.59",46.01,THRE
2.52,5.17,0.07,277.66,31/12/2559,"4,214.99","3,921.43","14,417.93","5,320.43","9,037.64",7.08,THRE
2.03,-2.18,-0.03,-111.15,31/12/2560,"4,214.99","3,669.44","12,395.08","4,866.31","7,528.77",-3.03,THRE
23.74,32.59,0.62,371.72,31/12/2557,600.00,"1,702.03","1,978.54","1,189.71",788.83,21.84,THREL
23.88,31.44,0.65,388.67,31/12/2558,600.00,"1,891.27","2,025.33","1,282.46",742.86,20.55,THREL
19.13,24.79,0.54,321.75,31/12/2559,600.00,"2,058.01","2,052.53","1,313.02",739.52,15.63,THREL
24.37,30.50,0.73,435.68,31/12/2560,600.00,"2,220.33","2,397.06","1,543.46",853.60,19.62,THREL
1.84,8.78,1.99,46.70,31/12/2557,235.00,"1,400.92","2,687.82",540.71,"2,147.11",3.33,TIC
0.95,3.20,0.72,17.01,31/12/2558,235.00,"1,366.73","2,525.37",523.54,"2,001.83",1.24,TIC
1.70,7.17,1.72,40.38,31/12/2559,235.00,"1,357.76","3,025.75",602.88,"2,422.87",2.97,TIC
2.92,11.81,3.24,76.07,31/12/2560,235.00,"1,319.35","3,351.59",685.79,"2,665.80",5.77,TIC
2.48,27.25,4.49,"1,348.43",31/12/2557,300.00,"6,060.87","71,081.88","5,333.82","65,748.07",22.25,TIP
2.87,26.61,4.95,"1,486.28",31/12/2558,300.00,"6,664.42","56,068.02","5,839.06","50,228.97",22.30,TIP
3.46,25.23,5.23,"1,567.62",31/12/2559,300.00,"6,482.27","55,211.39","6,587.81","48,623.58",24.18,TIP
3.86,23.42,5.52,"1,656.07",31/12/2560,300.00,"6,145.20","49,475.68","7,551.63","41,924.06",26.95,TIP
-1.47,-95.38,-2.58,-109.85,31/12/2557,446.91,522.97,"1,643.80",91.80,"1,552.00",-21.01,TSI
0.57,4.89,0.02,10.23,31/12/2558,744.84,434.25,"1,628.73",326.87,"1,301.85",2.36,TSI
-11.43,-63.42,-0.22,-183.43,31/12/2559,918.07,517.98,"1,583.07",251.63,"1,331.44",-35.41,TSI
-7.06,-51.60,-0.13,-115.60,31/12/2560,"1,052.23",538.55,"1,696.93",196.44,"1,500.48",-21.47,TSI
4.93,17.69,1.18,178.97,31/12/2557,151.50,"2,357.31","4,329.85","1,101.30","3,228.55",7.59,TVI
0.48,2.03,0.07,22.32,31/12/2558,303.00,"2,424.58","4,589.94","1,094.77","3,495.17",0.92,TVI
0.54,2.28,0.08,25.10,31/12/2559,303.00,"2,593.36","4,853.69","1,104.58","3,749.11",0.97,TVI
0.63,2.89,0.11,32.76,31/12/2560,303.00,"2,588.26","5,221.66","1,164.67","4,038.91",1.27,TVI
5.01,6.78,1.14,366.96,31/12/2557,322.58,"15,330.24","12,082.36","5,513.94","6,400.96",2.39,AH
4.54,5.53,0.97,313.07,31/12/2558,322.58,"15,144.95","11,507.07","5,801.50","5,524.23",2.07,AH
6.43,9.17,1.70,543.09,31/12/2559,322.58,"15,364.23","11,113.33","6,045.96","4,877.20",3.53,AH
10.54,17.79,3.66,"1,157.61",31/12/2560,322.58,"17,130.08","14,720.51","6,969.95","7,537.75",6.76,AH
-4.08,-8.40,-0.21,-70.70,31/12/2557,330.00,806.06,"1,214.21",809.04,405.17,-8.77,APCS
0.44,-0.77,-0.02,-7.49,31/12/2558,660.00,826.19,"1,428.84","1,138.94",289.90,-0.91,APCS
4.51,4.76,0.08,55.60,31/12/2559,660.00,990.79,"1,706.38","1,194.78",330.98,5.61,APCS
9.01,11.80,0.22,148.37,31/12/2560,660.00,"1,287.09","1,871.88","1,320.70",401.27,11.53,APCS
7.86,12.48,10.26,205.18,31/12/2557,200.00,"5,293.78","3,870.41","1,718.57","2,105.50",3.88,BAT-3K
8.52,12.29,11.00,219.91,31/12/2558,200.00,"5,128.51","3,549.15","1,861.53","1,640.98",4.29,BAT-3K
6.20,8.19,7.83,156.51,31/12/2559,200.00,"5,355.82","3,759.25","1,958.48","1,753.35",2.92,BAT-3K
-9.64,-19.77,-17.44,-348.73,31/12/2560,200.00,"5,325.23","3,446.63","1,569.20","1,874.85",-6.55,BAT-3K
4.11,4.16,0.08,30.07,31/12/2557,361.29,953.04,"1,524.61",742.68,769.31,3.16,CWT
4.85,5.30,0.11,43.31,31/12/2558,427.04,"1,388.41","1,908.01",890.89,"1,004.71",3.12,CWT
3.55,4.32,0.08,43.60,31/12/2559,561.85,"1,635.26","2,660.25","1,126.30","1,459.92",2.67,CWT
4.59,4.37,0.09,52.83,31/12/2560,619.05,"1,980.20","3,552.53","1,292.16","2,185.15",2.67,CWT
9.60,10.62,0.23,65.66,31/12/2557,285.89,503.65,845.73,624.99,186.81,13.04,EASON
8.90,11.09,0.25,71.25,31/12/2558,285.89,513.70,848.71,659.83,153.71,13.87,EASON
9.62,10.58,0.28,88.61,31/12/2559,466.47,562.09,"1,307.18","1,015.05",257.00,15.76,EASON
8.11,7.89,0.18,87.30,31/12/2560,566.76,607.17,"1,430.05","1,198.94",201.49,14.38,EASON
6.46,6.53,32.05,237.17,31/12/2557,74.00,"3,830.41","4,703.16","3,678.41","1,024.76",6.19,GYT
9.80,10.17,52.09,385.48,31/12/2558,74.00,"4,090.79","5,160.13","3,905.21","1,254.92",9.42,GYT
6.81,7.05,37.77,279.51,31/12/2559,74.00,"3,916.32","5,284.65","4,023.63","1,261.02",7.14,GYT
3.24,3.44,18.65,138.04,31/12/2560,74.00,"4,009.44","5,675.99","4,008.07","1,667.92",3.44,GYT
15.46,14.93,0.44,290.77,31/12/2557,658.43,"2,567.18","2,482.17","2,040.29",441.89,11.33,HFT
19.53,18.91,0.63,413.77,31/12/2558,658.43,"2,623.76","2,779.40","2,335.02",444.38,15.77,HFT
14.45,13.80,0.51,337.76,31/12/2559,658.43,"2,558.92","2,989.16","2,558.52",430.64,13.20,HFT
10.44,9.67,0.39,255.65,31/12/2560,658.43,"2,757.73","3,162.36","2,731.29",431.07,9.27,HFT
11.14,18.01,0.46,193.70,31/12/2557,420.00,"1,862.62","2,142.37","1,098.39","1,043.98",10.40,IHL
11.07,18.09,0.48,201.78,31/12/2558,420.00,"2,406.70","2,670.81","1,132.17","1,538.63",8.38,IHL
9.61,15.90,0.39,191.27,31/12/2559,490.00,"1,957.45","2,740.03","1,273.67","1,466.36",9.77,IHL
12.47,21.11,0.58,289.38,31/12/2560,509.09,"2,166.81","3,048.14","1,467.91","1,580.23",13.36,IHL
4.83,6.14,0.07,97.80,31/01/2561,"1,446.94","2,982.48","4,481.20","1,742.97","1,932.87",3.28,INGRS
9.60,12.68,1.57,313.47,30/09/2557,200.00,"5,496.52","3,869.32","2,549.81","1,319.50",5.70,IRC
13.46,16.31,2.21,441.52,30/09/2558,200.00,"5,186.25","3,973.45","2,863.77","1,109.67",8.51,IRC
15.20,16.94,2.57,513.63,30/09/2559,200.00,"5,002.40","4,272.37","3,200.80","1,071.56",10.27,IRC
11.48,12.81,2.12,423.79,30/09/2560,200.00,"5,331.47","4,631.76","3,416.87","1,214.89",7.95,IRC
9.74,10.86,0.52,104.37,31/12/2560,200.00,"1,366.11","4,724.04","3,521.16","1,202.87",7.64,IRC
12.96,21.09,0.49,717.21,31/12/2557,"1,545.00","4,094.77","5,464.57","5,118.22",346.34,17.52,PCSGH
10.12,10.84,0.35,541.73,31/12/2558,"1,545.00","4,145.87","5,371.17","4,874.94",496.24,13.07,PCSGH
7.31,7.83,0.25,382.08,31/12/2559,"1,545.00","3,742.05","5,193.22","4,884.13",309.09,10.21,PCSGH
12.12,12.85,0.42,641.45,31/12/2560,"1,545.00","3,984.35","5,544.01","5,097.56",446.44,16.10,PCSGH
8.77,12.88,1.53,649.83,31/12/2557,425.19,"8,237.92","9,813.78","5,217.48","4,596.31",7.89,SAT
8.23,11.94,1.51,641.54,31/12/2558,425.19,"8,873.61","9,633.53","5,530.83","4,102.70",7.23,SAT
7.75,10.64,1.43,607.56,31/12/2559,425.19,"8,470.37","9,421.05","5,886.86","3,534.19",7.17,SAT
10.03,13.18,1.91,811.24,31/12/2560,425.19,"8,894.41","9,571.97","6,419.97","3,152.00",9.12,SAT
12.37,10.90,1.28,443.25,31/12/2557,345.00,"3,569.26","4,634.49","4,202.97",402.12,12.42,SPG
13.09,11.43,1.41,487.85,31/12/2558,345.00,"3,456.88","4,734.65","4,331.43",373.01,14.11,SPG
14.50,12.55,1.64,564.14,31/12/2559,345.00,"3,329.82","5,045.45","4,656.94",356.38,16.94,SPG
10.45,9.03,1.24,427.42,31/12/2560,345.00,"3,380.97","5,205.62","4,806.00",367.06,12.64,SPG
15.23,14.38,19.41,"1,487.51",31/03/2557,383.12,"10,766.04","12,506.08","10,831.84","1,674.24",13.82,STANLY
11.20,10.35,15.11,"1,157.65",31/03/2558,383.12,"9,981.61","13,293.90","11,539.33","1,754.57",11.60,STANLY
11.72,10.84,17.01,"1,303.44",31/03/2559,383.12,"11,326.88","14,407.27","12,507.95","1,899.32",11.51,STANLY
10.68,9.83,16.58,"1,270.77",31/03/2560,383.12,"11,466.49","15,185.83","13,341.48","1,844.35",11.08,STANLY
11.47,10.60,14.40,"1,103.54",31/12/2560,383.12,"9,945.57","16,056.48","14,008.92","2,047.57",11.10,STANLY
3.51,4.10,0.09,19.45,31/12/2557,214.00,"1,629.47","1,216.37",469.82,746.56,1.19,TKT
2.74,2.66,0.06,12.40,31/12/2558,214.00,"1,364.70","1,138.50",460.81,677.69,0.91,TKT
-6.07,-16.06,-0.32,-67.54,31/12/2559,214.00,"1,110.77","1,054.32",380.44,673.89,-6.08,TKT
-4.39,-12.45,-0.24,-51.33,31/12/2560,214.00,"1,080.64","1,093.04",444.31,648.72,-4.75,TKT
2.53,-1.45,-0.16,-9.34,31/12/2557,299.55,"1,143.84","1,173.29",566.20,580.12,-0.82,TNPC
2.89,5.84,0.11,34.06,31/12/2558,319.52,"1,028.39","1,134.28",601.04,509.93,3.31,TNPC
7.27,4.03,0.08,24.30,31/12/2559,319.52,"1,046.51","1,046.02",604.09,441.93,2.32,TNPC
4.56,-2.11,-0.04,-12.37,31/12/2560,319.52,"1,121.80","1,026.95",567.74,459.21,-1.10,TNPC
4.90,4.95,0.26,152.41,31/12/2557,590.85,"2,449.94","3,636.27","3,106.77",424.81,6.22,TRU
4.28,4.63,0.25,145.14,31/12/2558,590.85,"2,208.57","3,641.82","3,169.19",377.23,6.57,TRU
2.31,2.48,0.13,78.48,31/12/2559,590.85,"1,868.29","3,580.52","3,147.85",348.80,4.20,TRU
2.66,2.63,0.14,83.02,31/12/2560,590.85,"2,100.89","3,651.85","3,167.54",403.85,3.95,TRU
5.36,7.57,0.49,126.75,30/09/2557,259.80,"2,760.03","2,689.59","1,676.05","1,013.54",4.59,TSC
5.90,8.69,0.56,144.44,30/09/2558,259.80,"2,865.52","2,790.53","1,649.99","1,140.55",5.04,TSC
5.84,8.34,0.53,137.20,30/09/2559,259.80,"2,756.74","2,750.99","1,638.60","1,112.39",4.98,TSC
7.36,10.59,0.68,176.00,30/09/2560,259.80,"2,938.91","2,782.16","1,684.71","1,097.45",5.99,TSC
8.09,11.42,0.16,40.80,31/12/2560,259.80,734.07,"2,708.66","1,725.51",983.16,5.56,TSC
2.62,N.A.,0.06,97.70,31/12/2557,"1,600.00","9,381.13","6,470.06","-2,979.33","9,449.39",1.04,YNP
-0.81,N.A.,-0.11,-181.58,31/12/2558,"1,600.00","7,715.41","5,814.47","-3,160.91","8,975.38",-2.35,YNP
-0.73,N.A.,-0.15,-247.23,31/12/2559,"1,600.00","5,530.28","5,271.90","-3,408.14","8,680.04",-4.47,YNP
-2.80,N.A.,-0.16,-256.97,31/12/2560,"1,600.00","5,258.60","4,614.89","-3,507.17","8,122.06",-4.89,YNP
10.03,11.00,0.12,59.01,31/12/2559,300.00,607.46,900.04,728.34,171.70,9.71,ALLA
7.94,7.65,0.10,57.55,31/12/2560,300.00,620.96,953.03,776.64,176.39,9.27,ALLA
14.06,22.13,0.45,206.75,31/12/2558,550.00,"2,563.17","2,257.77","1,256.52","1,001.68",8.07,ASEFA
15.84,21.44,0.52,288.23,31/12/2559,550.00,"2,814.21","2,253.48","1,431.67",832.67,10.24,ASEFA
13.92,17.24,0.46,253.38,31/12/2560,550.00,"2,817.59","2,342.26","1,507.61",842.61,8.99,ASEFA
14.35,17.89,0.22,140.71,31/12/2560,450.00,"1,239.29","1,523.14","1,087.21",435.93,11.35,CPT
12.00,18.22,0.38,236.38,31/12/2557,626.78,"1,244.20","2,726.23","1,413.02","1,313.22",19.00,CRANE
0.77,-3.26,-0.06,-45.19,31/12/2558,696.42,902.16,"2,788.45","1,358.62","1,429.84",-5.01,CRANE
-6.14,-22.97,-0.40,-280.13,31/12/2559,696.42,659.93,"2,885.20","1,080.84","1,804.36",-42.45,CRANE
3.47,2.63,0.04,30.42,31/12/2560,757.06,"1,182.67","2,935.74","1,234.47","1,701.27",2.57,CRANE
2.68,2.63,0.28,112.91,31/12/2557,"1,989.53","6,880.53","6,716.74","4,198.79","2,348.72",1.64,CTW
-1.31,-2.42,-0.25,-98.33,31/12/2558,"1,989.53","6,451.25","5,612.02","3,911.61","1,550.12",-1.52,CTW
6.71,7.03,0.71,281.80,31/12/2559,"1,989.53","6,641.02","5,743.91","4,104.61","1,514.60",4.24,CTW
5.95,6.74,0.71,280.99,31/12/2560,"1,989.53","7,994.84","6,412.21","4,238.58","2,055.81",3.51,CTW
4.56,6.90,1.73,83.06,31/12/2557,480.00,"6,490.84","2,982.82","1,236.48","1,746.34",1.28,FMT
5.62,8.66,2.30,110.59,31/12/2558,480.00,"5,999.57","2,710.86","1,318.86","1,391.99",1.84,FMT
8.49,12.75,3.66,175.45,31/12/2559,480.00,"5,618.82","2,807.97","1,434.31","1,373.65",3.12,FMT
6.46,9.53,2.89,138.79,31/12/2560,480.00,"6,209.63","3,038.74","1,477.10","1,561.64",2.24,FMT
10.29,11.09,0.26,67.79,31/12/2557,260.80,701.00,966.22,632.96,258.46,9.67,HTECH
9.88,9.66,0.24,63.22,31/12/2558,260.80,724.33,"1,023.30",676.35,259.04,8.73,HTECH
14.57,14.78,0.45,117.89,31/12/2559,300.00,826.20,"1,276.82",918.63,253.32,14.27,HTECH
16.05,15.57,0.49,148.30,31/12/2560,300.00,"1,004.22","1,595.39",986.36,491.68,14.77,HTECH
2.99,2.51,0.06,57.42,31/12/2557,"1,000.00","11,747.44","8,949.39","2,059.48","6,889.91",0.49,KKC
5.25,9.02,0.19,212.38,31/12/2558,"1,200.00","10,770.92","8,216.80","2,649.53","5,567.27",1.97,KKC
3.69,2.44,0.05,63.30,31/12/2559,"1,200.00","8,851.82","7,746.91","2,537.97","5,208.94",0.72,KKC
-0.22,-7.25,-0.14,-172.75,31/12/2560,"1,200.00","9,559.52","7,297.34","2,225.49","5,071.84",-1.81,KKC
9.95,24.73,0.56,229.55,31/12/2557,494.10,"4,139.71","3,202.94","1,094.14","2,100.96",5.54,PK
5.60,8.93,0.27,112.13,31/12/2558,494.10,"3,583.80","3,386.13","1,417.94","1,961.77",3.13,PK
4.04,5.78,0.20,84.22,31/12/2559,494.10,"3,738.33","3,614.94","1,497.68","2,108.92",2.25,PK
9.47,15.38,0.57,237.92,31/12/2560,494.10,"4,796.11","3,838.62","1,596.47","2,225.36",4.96,PK
10.54,17.73,1.31,377.36,31/12/2557,287.78,"7,443.22","4,165.67","2,216.45","1,854.70",5.07,SNC
10.96,17.86,1.42,409.86,31/12/2558,287.78,"8,186.81","4,138.60","2,372.77","1,678.51",5.01,SNC
9.57,16.43,1.40,401.65,31/12/2559,287.78,"7,527.19","5,219.85","2,515.48","2,489.03",5.34,SNC
8.85,15.53,1.38,401.31,31/12/2560,287.78,"7,590.32","4,859.42","2,651.56","2,025.85",5.29,SNC
5.15,5.50,0.80,68.59,31/12/2557,855.91,"1,594.06","2,840.44","1,281.49","1,285.75",4.30,TCJ
4.22,3.83,0.57,49.93,31/12/2558,877.31,"1,519.37","2,988.59","1,326.24","1,387.89",3.29,TCJ
2.27,-0.17,-0.03,-2.20,31/12/2559,877.60,"1,245.38","3,322.37","1,314.52","1,719.71",-0.18,TCJ
4.21,2.34,0.34,32.89,31/12/2560,"1,035.26","1,475.29","3,118.01","1,501.79","1,295.87",2.23,TCJ
1.19,0.27,0.03,2.94,31/12/2557,499.51,"1,577.12","1,972.37","1,077.73",894.63,0.19,VARO
-0.91,-2.58,-0.28,-27.49,31/12/2558,499.51,"1,509.00","1,618.48","1,050.25",568.23,-1.82,VARO
1.73,1.74,0.18,18.46,31/12/2559,499.51,"1,467.01","1,708.06","1,069.87",638.19,1.26,VARO
0.95,1.09,0.12,11.69,31/12/2560,499.51,"1,579.40","1,891.50","1,069.58",821.92,0.74,VARO
12.59,11.02,0.31,199.41,31/12/2557,650.00,"2,044.55","2,207.35","1,848.69",358.66,9.75,UTP
8.60,8.64,0.25,163.99,31/12/2558,650.00,"1,865.80","2,571.73","1,949.37",622.36,8.79,UTP
8.25,9.59,0.29,191.47,31/12/2559,650.00,"1,876.57","3,259.38","2,043.34","1,216.04",10.20,UTP
10.13,14.65,0.49,315.26,31/12/2560,650.00,"2,587.15","3,715.48","2,261.10","1,454.38",12.19,UTP
6.43,12.08,0.24,47.61,31/12/2557,200.00,"3,658.72","1,171.04",388.80,782.24,1.30,GC
8.89,19.56,0.40,79.30,31/12/2558,200.00,"3,659.37","1,378.40",422.10,956.30,2.17,GC
9.55,21.69,0.46,92.55,31/12/2559,200.00,"3,985.21","1,361.09",431.15,929.94,2.32,GC
9.66,20.44,0.45,89.53,31/12/2560,200.00,"3,740.74","1,242.08",444.68,797.40,2.39,GC
4.66,5.48,0.56,520.94,31/12/2560,"10,236.67","19,641.37","14,534.82","11,073.18","3,461.64",2.65,GGC
15.43,21.64,0.25,75.54,31/12/2557,302.69,826.53,696.64,380.49,311.45,9.14,GIFT
16.47,21.30,0.30,90.15,31/12/2558,302.69,753.25,729.51,465.98,258.68,11.97,GIFT
17.41,20.62,0.35,105.74,31/12/2559,302.69,785.02,845.08,559.70,285.38,13.47,GIFT
15.15,17.05,0.33,105.66,31/12/2560,341.73,765.04,939.05,679.56,259.43,13.81,GIFT
3.61,2.22,0.28,"1,485.38",31/12/2557,"4,814.26","247,736.87","195,488.08","73,481.04","119,933.33",0.60,IVL
5.96,8.62,1.20,"6,609.26",31/12/2558,"4,814.27","240,133.58","221,640.62","79,825.24","138,687.65",2.75,IVL
9.43,19.18,3.15,"16,197.10",31/12/2559,"4,814.27","263,445.09","258,380.48","89,055.38","166,565.55",6.15,IVL
8.71,20.26,3.98,"20,882.86",31/12/2560,"5,245.41","291,267.66","282,358.37","117,061.65","163,371.68",7.17,IVL
24.72,24.86,0.92,129.15,31/12/2557,140.00,725.12,638.82,521.27,117.55,17.81,PATO
19.54,19.31,0.71,99.82,31/12/2558,142.37,649.93,640.09,512.78,127.32,15.36,PATO
25.28,25.79,0.96,137.29,31/12/2559,142.37,721.64,691.31,552.02,139.29,19.02,PATO
34.22,33.34,1.37,194.72,31/12/2560,142.37,878.64,721.44,615.93,105.51,22.16,PATO
16.17,17.24,2.36,232.99,31/12/2558,"1,012.00","3,310.95","1,961.62","1,538.48",423.14,7.04,PMTA
16.82,17.17,2.74,277.03,31/12/2559,"1,012.00","3,238.38","2,012.08","1,688.57",323.51,8.55,PMTA
11.97,11.78,1.89,191.75,31/12/2560,"1,012.00","2,876.92","2,006.71","1,566.73",439.98,6.67,PMTA
4.68,6.29,3.33,"15,036.03",31/12/2557,"45,088.49","580,030.54","404,752.39","239,426.26","162,876.38",2.59,PTTGC
7.14,8.71,4.55,"20,502.50",31/12/2558,"45,088.49","410,353.67","377,544.86","231,551.55","143,280.09",5.00,PTTGC
8.60,10.72,5.74,"25,601.63",31/12/2559,"45,088.49","353,036.20","393,166.20","246,015.75","144,497.44",7.25,PTTGC
12.06,15.09,8.79,"39,298.31",31/12/2560,"45,088.49","448,880.62","434,963.93","274,869.72","154,699.83",8.75,PTTGC
18.38,28.25,0.45,127.80,31/12/2557,300.00,"1,082.14",913.54,617.56,295.98,11.81,SUTHA
12.25,15.56,0.32,96.73,31/12/2558,300.00,941.91,"1,012.60",625.67,386.93,10.27,SUTHA
8.22,11.29,0.23,68.00,31/12/2559,300.00,804.35,938.52,578.57,359.95,8.45,SUTHA
9.01,12.22,0.24,70.79,31/12/2560,300.00,919.76,982.48,580.51,401.97,7.70,SUTHA
8.76,10.39,3.76,"1,127.80",31/03/2557,300.00,"8,465.54","15,632.45","11,393.50","4,238.95",13.32,TCB
8.13,8.69,3.31,993.50,31/03/2558,300.00,"7,156.18","14,778.07","11,481.87","3,296.20",13.88,TCB
7.29,7.84,3.09,927.25,31/03/2559,300.00,"5,408.78","16,978.74","12,181.59","4,797.15",17.14,TCB
14.52,17.28,7.64,"2,292.66",31/03/2560,300.00,"6,602.59","19,168.41","14,353.21","4,815.21",34.72,TCB
17.51,20.72,6.39,"1,917.96",31/12/2560,300.00,"6,548.18","21,209.43","16,029.60","5,179.83",29.29,TCB
20.41,24.88,3.35,"1,956.96",31/12/2557,"1,754.14","21,684.00","12,360.09","8,199.57","3,828.06",9.02,TCCC
16.15,16.62,2.33,"1,364.79",31/12/2558,"1,754.14","12,875.26","9,600.72","8,221.75","1,294.72",10.60,TCCC
27.71,25.80,3.94,"2,305.51",31/12/2559,"1,754.14","12,680.32","11,307.79","9,651.60","1,571.80",18.18,TCCC
21.64,20.00,3.30,"1,932.40",31/12/2560,"1,754.14","11,653.30","11,197.97","9,672.24","1,437.26",16.58,TCCC
4.12,5.15,0.26,31.42,31/12/2557,121.50,"1,245.35",934.32,610.52,323.80,2.52,TPA
8.55,9.88,0.51,62.14,31/12/2558,121.50,"1,150.37",927.96,647.48,280.49,5.40,TPA
9.08,10.54,0.57,69.36,31/12/2559,121.50,"1,047.04",985.99,668.23,317.75,6.62,TPA
8.02,9.84,0.52,62.84,31/12/2560,121.50,"1,275.33",978.69,609.57,369.12,4.93,TPA
7.22,8.05,1.90,47.41,31/12/2557,250.00,800.01,735.09,577.08,158.01,5.93,UP
4.01,5.01,1.13,28.33,31/12/2558,250.00,796.94,700.52,553.42,147.10,3.56,UP
4.94,6.03,1.34,33.54,31/12/2559,250.00,728.16,703.47,559.22,144.25,4.61,UP
3.95,5.24,1.17,29.17,31/12/2560,250.00,722.78,696.73,554.89,141.84,4.04,UP
-5.18,-6.17,-0.81,-963.72,31/12/2557,"7,111.16","17,847.84","19,772.72","15,071.61","4,701.11",-5.40,VNT
3.40,3.70,0.48,566.02,31/12/2558,"7,111.16","16,654.81","19,047.96","15,495.97","3,552.00",3.40,VNT
