ROA(%),ROE(%),กำไรต่อหุ้น (บาท),กำไรสุทธิ,งวดงบการเงิน ณ วันที่,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,สินทรัพย์รวม,ส่วนของผู้ถือหุ้น,หนี้สินรวม,อัตรากำไรสุทธิ(%),Stock
8.53,16.11,0.78,290.41,31/12/2559,370.00,"1,216.23","4,163.96","1,935.84","2,228.12",23.88,JMT
10.61,18.59,1.06,396.13,31/12/2560,379.98,"1,361.69","5,247.91","2,325.20","2,922.71",29.09,JMT
7.57,12.84,0.85,213.71,31/12/2557,250.00,"1,887.80","3,652.09","1,707.78","1,944.31",11.32,KCAR
6.75,11.64,0.81,203.44,31/12/2558,250.00,"1,945.79","3,819.20","1,786.65","2,032.55",10.46,KCAR
7.87,17.54,1.32,330.60,31/12/2559,250.00,"2,002.97","4,639.50","1,982.22","2,657.29",16.51,KCAR
6.49,17.04,1.36,340.44,31/12/2560,250.00,"2,092.39","4,999.09","2,013.91","2,985.18",16.27,KCAR
10.25,14.83,0.38,761.34,31/12/2557,"1,991.76","2,583.64","10,522.44","5,158.52","5,361.33",29.47,KGI
7.39,11.52,0.29,587.22,31/12/2558,"1,991.76","2,481.95","9,649.30","5,040.59","4,606.00",23.66,KGI
10.77,19.43,0.51,"1,022.37",31/12/2559,"1,991.76","3,245.86","14,130.73","5,480.53","8,647.07",31.50,KGI
7.11,16.02,0.45,886.88,31/12/2560,"1,991.76","3,058.27","17,025.07","5,593.60","11,427.91",29.00,KGI
4.15,26.01,6.81,"1,754.98",31/12/2557,"2,578.33","12,497.56","54,494.83","7,367.80","47,127.03",14.04,KTC
